Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:30:00+08:00,24.45,24.45,24.45,24.45,0,0,0
2019-12-18 10:37:00+08:00,24.45,24.45,24.45,24.45,1000,0,0
2019-12-18 11:18:00+08:00,24.47,24.47,24.47,24.47,2000,0,0
2019-12-18 11:46:00+08:00,24.45,24.45,24.45,24.45,1000,0,0
2019-12-18 11:47:00+08:00,24.47,24.47,24.47,24.47,1000,0,0
2019-12-18 12:04:00+08:00,24.5,24.5,24.5,24.5,7000,0,0
2019-12-18 12:30:00+08:00,24.5,24.5,24.5,24.5,4000,0,0
2019-12-18 12:57:00+08:00,24.5,24.5,24.5,24.5,1000,0,0
2019-12-19 09:13:00+08:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-20 09:22:00+08:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-20 09:55:00+08:00,24.52,24.52,24.52,24.52,3000,0,0
2019-12-23 09:03:00+08:00,24.52,24.52,24.52,24.52,0,0,0
2019-12-23 10:27:00+08:00,24.39,24.39,24.39,24.39,1000,0,0
2019-12-23 12:02:00+08:00,24.42,24.42,24.42,24.42,1000,0,0
2019-12-23 13:11:00+08:00,24.42,24.42,24.42,24.42,1000,0,0
2019-12-23 13:20:00+08:00,24.42,24.42,24.42,24.42,9000,0,0
2019-12-24 09:02:00+08:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-24 10:18:00+08:00,24.42,24.42,24.41,24.41,30000,0,0
