Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:30:00+08:00,35.45,35.5,35.45,35.5,0,0,0
2019-12-18 09:34:00+08:00,35.5,35.5,35.5,35.5,4000,0,0
2019-12-18 10:14:00+08:00,35.5,35.5,35.5,35.5,1500,0,0
2019-12-18 10:31:00+08:00,35.5,35.5,35.5,35.5,100,0,0
2019-12-18 13:00:00+08:00,35.45,35.45,35.45,35.45,600,0,0
2019-12-18 13:28:00+08:00,35.5,35.5,35.5,35.5,100,0,0
2019-12-18 14:11:00+08:00,35.5,35.5,35.5,35.5,600,0,0
2019-12-18 14:38:00+08:00,35.5,35.5,35.5,35.5,100,0,0
2019-12-18 15:28:00+08:00,35.45,35.45,35.45,35.45,15000,0,0
2019-12-18 15:35:00+08:00,35.45,35.45,35.45,35.45,1400,0,0
2019-12-18 15:45:00+08:00,35.45,35.45,35.45,35.45,500,0,0
2019-12-18 15:49:00+08:00,35.5,35.5,35.5,35.5,0,0,0
2019-12-19 09:30:00+08:00,35.45,35.45,35.45,35.45,200,0,0
2019-12-19 09:44:00+08:00,35.45,35.45,35.45,35.45,100,0,0
2019-12-19 10:08:00+08:00,35.45,35.45,35.45,35.45,2000,0,0
2019-12-19 10:32:00+08:00,35.45,35.45,35.45,35.45,300,0,0
2019-12-19 11:28:00+08:00,35.5,35.5,35.5,35.5,500,0,0
2019-12-19 13:00:00+08:00,35.5,35.55,35.5,35.55,1900,0,0
2019-12-19 13:22:00+08:00,35.55,35.55,35.55,35.55,300,0,0
2019-12-19 14:32:00+08:00,35.5,35.5,35.5,35.5,100,0,0
2019-12-19 14:37:00+08:00,35.5,35.5,35.5,35.5,100,0,0
2019-12-19 14:42:00+08:00,35.5,35.55,35.5,35.55,100,0,0
2019-12-20 09:36:00+08:00,35.55,35.55,35.55,35.55,0,0,0
2019-12-20 09:48:00+08:00,35.6,35.6,35.6,35.6,1400,0,0
2019-12-20 09:51:00+08:00,35.65,35.65,35.55,35.6,200,0,0
2019-12-20 09:59:00+08:00,35.6,35.6,35.6,35.6,1000,0,0
2019-12-20 10:32:00+08:00,35.65,35.65,35.6,35.6,3600,0,0
2019-12-20 13:00:00+08:00,35.55,35.55,35.55,35.55,7000,0,0
2019-12-20 13:43:00+08:00,35.6,35.6,35.6,35.6,116,0,0
2019-12-20 13:47:00+08:00,35.6,35.6,35.6,35.6,1500,0,0
2019-12-20 13:51:00+08:00,35.6,35.6,35.6,35.6,1200,0,0
2019-12-20 14:25:00+08:00,35.55,35.55,35.55,35.55,200,0,0
2019-12-20 14:26:00+08:00,35.6,35.6,35.6,35.6,100,0,0
2019-12-20 14:27:00+08:00,35.55,35.55,35.55,35.55,9600,0,0
2019-12-20 14:37:00+08:00,35.55,35.55,35.55,35.55,100,0,0
2019-12-23 09:30:00+08:00,35.55,35.65,35.55,35.6,0,0,0
2019-12-23 09:40:00+08:00,35.55,35.55,35.55,35.55,1300,0,0
2019-12-23 10:22:00+08:00,35.6,35.6,35.6,35.6,100,0,0
2019-12-23 11:13:00+08:00,35.6,35.6,35.6,35.6,115,0,0
2019-12-23 13:10:00+08:00,35.6,35.6,35.6,35.6,1700,0,0
2019-12-23 13:40:00+08:00,35.6,35.6,35.6,35.6,1500,0,0
2019-12-23 14:06:00+08:00,35.6,35.6,35.6,35.6,500,0,0
2019-12-23 14:08:00+08:00,35.6,35.6,35.6,35.6,600,0,0
2019-12-23 14:09:00+08:00,35.6,35.6,35.6,35.6,600,0,0
2019-12-23 14:10:00+08:00,35.6,35.6,35.6,35.6,500,0,0
2019-12-23 14:11:00+08:00,35.6,35.6,35.6,35.6,600,0,0
2019-12-23 14:12:00+08:00,35.6,35.6,35.6,35.6,500,0,0
2019-12-23 14:13:00+08:00,35.6,35.6,35.6,35.6,600,0,0
2019-12-23 14:28:00+08:00,35.6,35.6,35.6,35.6,2000,0,0
2019-12-23 15:01:00+08:00,35.65,35.65,35.65,35.65,1200,0,0
2019-12-23 15:36:00+08:00,35.65,35.65,35.65,35.65,5000,0,0
2019-12-23 15:58:00+08:00,35.7,35.7,35.7,35.7,300,0,0
2019-12-24 10:51:00+08:00,35.8,35.8,35.8,35.8,10000,0,0
2019-12-24 10:54:00+08:00,35.8,35.8,35.8,35.8,1000,0,0
2019-12-24 10:57:00+08:00,35.8,35.8,35.8,35.8,300,0,0
2019-12-24 10:58:00+08:00,35.8,35.8,35.8,35.8,4000,0,0
2019-12-24 11:22:00+08:00,35.8,35.8,35.8,35.8,2000,0,0
2019-12-24 11:48:00+08:00,35.75,36.25,35.75,36.25,200,0,0
