Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,98.92,98.92,98.92,98.92,0,0,0
2019-12-18 13:12:00+01:00,98.93,98.93,98.93,98.93,0,0,0
2019-12-18 16:19:00+01:00,98.94,98.94,98.94,98.94,3,0,0
2019-12-19 09:04:00+01:00,98.92,98.92,98.92,98.92,0,0,0
2019-12-19 13:12:00+01:00,98.92,98.92,98.92,98.92,0,0,0
2019-12-20 09:04:00+01:00,99.02,99.02,99.02,99.02,2,0,0
2019-12-20 10:28:00+01:00,98.93,98.93,98.93,98.93,2,0,0
2019-12-20 13:12:00+01:00,98.92,98.92,98.92,98.92,0,0,0
2019-12-20 16:30:00+01:00,99.02,99.02,99.02,99.02,5,0,0
2019-12-23 09:04:00+01:00,99.02,99.02,99.02,99.02,11,0,0
2019-12-23 13:12:00+01:00,98.92,98.92,98.92,98.92,0,0,0
2019-12-23 15:36:00+01:00,98.93,98.93,98.93,98.93,19,0,0
2019-12-23 16:30:00+01:00,98.93,98.93,98.93,98.93,15,0,0
