Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:27:00+01:00,57.08,57.09,57.08,57.08,0,0,0
2019-12-17 09:25:00+01:00,57.34,57.34,57.34,57.34,0,0,0
2019-12-17 09:41:00+01:00,57.31,57.31,57.3,57.3,691,0,0
2019-12-17 09:47:00+01:00,57.38,57.38,57.38,57.38,200,0,0
2019-12-17 12:05:00+01:00,57.13,57.13,57.13,57.13,224,0,0
2019-12-17 12:53:00+01:00,57.24,57.24,57.24,57.24,18,0,0
2019-12-17 13:58:00+01:00,57.19,57.19,57.19,57.19,129,0,0
2019-12-17 14:34:00+01:00,57.24,57.24,57.24,57.24,262,0,0
2019-12-17 15:30:00+01:00,57.18,57.27,57.18,57.27,2,0,0
2019-12-18 10:28:00+01:00,57.43,57.43,57.43,57.43,0,0,0
2019-12-18 11:01:00+01:00,57.47,57.47,57.47,57.47,170,0,0
2019-12-18 12:01:00+01:00,57.5,57.5,57.5,57.5,19,0,0
2019-12-18 12:26:00+01:00,57.51,57.51,57.51,57.51,56,0,0
2019-12-18 14:56:00+01:00,57.52,57.52,57.52,57.52,339,0,0
2019-12-18 15:13:00+01:00,57.66,57.68,57.66,57.68,3610,0,0
2019-12-18 15:50:00+01:00,57.78,57.78,57.78,57.78,87,0,0
2019-12-18 16:41:00+01:00,57.68,57.68,57.68,57.68,38,0,0
2019-12-18 16:54:00+01:00,57.66,57.66,57.66,57.66,85,0,0
2019-12-18 17:22:00+01:00,57.74,57.74,57.7,57.7,5,0,0
2019-12-19 09:52:00+01:00,57.45,57.45,57.45,57.45,0,0,0
2019-12-19 10:42:00+01:00,57.52,57.52,57.52,57.52,206,0,0
2019-12-19 11:44:00+01:00,57.48,57.48,57.48,57.48,706,0,0
2019-12-19 12:37:00+01:00,57.52,57.52,57.52,57.52,294,0,0
2019-12-19 13:11:00+01:00,57.54,57.54,57.54,57.54,600,0,0
2019-12-19 15:17:00+01:00,57.58,57.58,57.58,57.58,549,0,0
2019-12-19 16:23:00+01:00,57.58,57.64,57.58,57.58,10,0,0
2019-12-20 09:53:00+01:00,57.74,57.74,57.74,57.74,0,0,0
2019-12-20 10:43:00+01:00,57.74,57.74,57.74,57.74,8,0,0
2019-12-20 10:49:00+01:00,57.74,57.74,57.74,57.74,32,0,0
2019-12-20 11:49:00+01:00,57.8,57.8,57.8,57.8,300,0,0
2019-12-20 12:02:00+01:00,57.82,57.82,57.82,57.82,95,0,0
2019-12-20 12:29:00+01:00,57.95,57.95,57.95,57.95,1,0,0
2019-12-20 12:46:00+01:00,57.88,57.88,57.88,57.88,20,0,0
2019-12-20 12:47:00+01:00,57.88,57.88,57.88,57.88,231,0,0
2019-12-20 14:06:00+01:00,57.9,57.9,57.9,57.9,100,0,0
2019-12-20 14:35:00+01:00,57.99,57.99,57.99,57.99,133,0,0
2019-12-20 15:07:00+01:00,57.94,57.94,57.94,57.94,51,0,0
2019-12-20 15:21:00+01:00,58.0,58.0,58.0,58.0,150,0,0
2019-12-20 15:43:00+01:00,58.04,58.04,58.04,58.04,40,0,0
2019-12-20 16:18:00+01:00,57.94,57.94,57.94,57.94,358,0,0
2019-12-20 16:24:00+01:00,57.93,57.93,57.93,57.93,357,0,0
2019-12-20 17:06:00+01:00,57.96,57.96,57.96,57.96,15,0,0
2019-12-20 17:28:00+01:00,58.11,58.11,58.11,58.11,10,0,0
2019-12-23 09:04:00+01:00,57.95,57.95,57.95,57.95,0,0,0
