Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,128.55,128.55,128.55,128.55,0,0,0
2019-12-18 10:22:00+01:00,128.84,128.85,128.84,128.85,198,0,0
2019-12-18 10:25:00+01:00,128.84,128.84,128.84,128.84,25,0,0
2019-12-18 11:01:00+01:00,128.92,128.92,128.92,128.92,148,0,0
2019-12-18 12:47:00+01:00,128.98,128.98,128.98,128.98,80,0,0
2019-12-18 13:01:00+01:00,128.92,128.92,128.71,128.71,32,0,0
2019-12-18 13:16:00+01:00,128.75,128.75,128.75,128.75,11,0,0
2019-12-18 14:11:00+01:00,128.85,128.85,128.85,128.85,7,0,0
2019-12-18 14:14:00+01:00,128.85,128.85,128.85,128.85,39,0,0
2019-12-18 14:26:00+01:00,128.98,128.98,128.98,128.98,17,0,0
2019-12-18 14:27:00+01:00,129.0,129.0,129.0,129.0,13,0,0
2019-12-18 14:41:00+01:00,129.22,129.23,129.22,129.23,161,0,0
2019-12-18 15:17:00+01:00,129.23,129.24,129.23,129.24,200,0,0
2019-12-18 15:29:00+01:00,129.21,129.21,129.21,129.21,114,0,0
2019-12-18 16:44:00+01:00,128.86,129.08,128.86,129.08,50,0,0
2019-12-19 09:04:00+01:00,128.71,128.71,128.71,128.71,0,0,0
2019-12-19 10:34:00+01:00,129.01,129.01,129.01,129.01,60,0,0
2019-12-19 12:39:00+01:00,128.68,128.68,128.68,128.68,145,0,0
2019-12-19 12:44:00+01:00,128.68,128.68,128.68,128.68,40,0,0
2019-12-19 13:05:00+01:00,128.99,128.99,128.99,128.99,319,0,0
2019-12-19 13:17:00+01:00,128.7,128.7,128.7,128.7,271,0,0
2019-12-19 14:54:00+01:00,128.71,128.71,128.71,128.71,3,0,0
2019-12-19 15:12:00+01:00,128.99,128.99,128.99,128.99,8,0,0
2019-12-19 15:35:00+01:00,128.88,128.88,128.88,128.88,40,0,0
2019-12-19 15:49:00+01:00,128.55,128.55,128.55,128.55,370,0,0
2019-12-19 17:01:00+01:00,128.55,128.55,128.55,128.55,300,0,0
2019-12-19 17:09:00+01:00,128.56,128.56,128.56,128.56,5,0,0
2019-12-19 17:15:00+01:00,128.57,128.72,128.57,128.57,58,0,0
2019-12-20 09:04:00+01:00,128.98,128.98,128.98,128.98,0,0,0
2019-12-20 09:25:00+01:00,128.94,128.94,128.94,128.94,89,0,0
2019-12-20 11:22:00+01:00,128.65,128.65,128.65,128.65,64,0,0
2019-12-20 11:32:00+01:00,128.65,128.65,128.56,128.56,54,0,0
2019-12-20 11:37:00+01:00,128.56,128.56,128.56,128.56,29,0,0
2019-12-20 11:43:00+01:00,128.56,128.56,128.56,128.56,8,0,0
2019-12-20 11:48:00+01:00,128.59,128.8,128.59,128.8,112,0,0
2019-12-20 12:02:00+01:00,128.8,128.99,128.8,128.99,16,0,0
2019-12-20 12:08:00+01:00,128.65,128.65,128.65,128.65,23,0,0
2019-12-20 12:10:00+01:00,128.67,128.67,128.67,128.67,8,0,0
2019-12-20 12:15:00+01:00,128.8,128.8,128.8,128.8,324,0,0
2019-12-20 12:16:00+01:00,128.81,128.81,128.81,128.81,27,0,0
2019-12-20 13:10:00+01:00,128.85,128.85,128.85,128.85,260,0,0
2019-12-20 13:22:00+01:00,128.79,128.79,128.79,128.79,20,0,0
2019-12-20 14:04:00+01:00,128.8,128.8,128.8,128.8,25,0,0
2019-12-20 14:12:00+01:00,129.13,129.13,129.13,129.13,237,0,0
2019-12-20 14:36:00+01:00,129.16,129.16,129.16,129.16,78,0,0
2019-12-20 15:00:00+01:00,128.89,128.89,128.89,128.89,2,0,0
2019-12-20 15:01:00+01:00,129.18,129.18,129.18,129.18,3,0,0
2019-12-20 15:21:00+01:00,128.96,128.96,128.96,128.96,80,0,0
2019-12-20 15:23:00+01:00,129.19,129.19,129.19,129.19,108,0,0
2019-12-20 15:53:00+01:00,128.97,128.97,128.97,128.97,70,0,0
2019-12-20 16:29:00+01:00,129.31,129.31,129.27,129.31,70,0,0
2019-12-23 10:44:00+01:00,129.31,129.31,129.31,129.31,0,0,0
2019-12-23 10:48:00+01:00,129.31,129.31,129.31,129.31,25,0,0
2019-12-23 11:03:00+01:00,129.47,129.47,129.47,129.47,23,0,0
2019-12-23 11:28:00+01:00,129.31,129.31,129.08,129.08,151,0,0
2019-12-23 11:30:00+01:00,129.47,129.48,129.47,129.48,623,0,0
2019-12-23 12:05:00+01:00,129.45,129.45,129.45,129.45,232,0,0
2019-12-23 12:18:00+01:00,129.1,129.1,129.1,129.1,3,0,0
2019-12-23 12:32:00+01:00,129.12,129.12,129.12,129.12,3,0,0
2019-12-23 13:14:00+01:00,129.12,129.12,129.12,129.12,23,0,0
2019-12-23 13:44:00+01:00,129.51,129.51,129.51,129.51,30,0,0
2019-12-23 15:31:00+01:00,129.11,129.11,129.11,129.11,36,0,0
2019-12-23 16:05:00+01:00,129.39,129.39,129.39,129.39,186,0,0
2019-12-23 16:10:00+01:00,129.09,129.3,129.09,129.3,39,0,0
