Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:23:00+01:00,85.12,85.12,85.12,85.12,0,0,0
2019-12-18 09:48:00+01:00,85.29,85.29,85.29,85.29,0,0,0
2019-12-18 10:04:00+01:00,85.31,85.31,85.31,85.31,100,0,0
2019-12-18 10:08:00+01:00,85.33,85.33,85.33,85.33,20,0,0
2019-12-18 11:29:00+01:00,85.35,85.35,85.35,85.35,4161,0,0
2019-12-18 11:36:00+01:00,85.34,85.34,85.33,85.33,322,0,0
2019-12-18 12:02:00+01:00,85.35,85.35,85.35,85.35,88,0,0
2019-12-18 12:30:00+01:00,85.43,85.43,85.43,85.43,170,0,0
2019-12-18 12:39:00+01:00,85.37,85.37,85.37,85.37,45,0,0
2019-12-18 12:40:00+01:00,85.39,85.39,85.39,85.39,1,0,0
2019-12-18 16:28:00+01:00,85.52,85.52,85.52,85.52,20,0,0
2019-12-18 17:05:00+01:00,85.52,85.7,85.52,85.7,0,0,0
2019-12-19 09:04:00+01:00,85.51,85.51,85.51,85.51,842,0,0
2019-12-19 09:12:00+01:00,85.5,85.5,85.5,85.5,250,0,0
2019-12-19 09:20:00+01:00,85.48,85.48,85.48,85.48,2,0,0
2019-12-19 10:15:00+01:00,85.45,85.45,85.45,85.45,117,0,0
2019-12-19 10:44:00+01:00,85.49,85.49,85.49,85.49,120,0,0
2019-12-19 11:02:00+01:00,85.47,85.47,85.47,85.47,10,0,0
2019-12-19 11:09:00+01:00,85.42,85.42,85.42,85.42,8,0,0
2019-12-19 11:12:00+01:00,85.44,85.44,85.44,85.44,109,0,0
2019-12-19 11:28:00+01:00,85.44,85.44,85.44,85.44,48,0,0
2019-12-19 12:16:00+01:00,85.46,85.46,85.46,85.46,181,0,0
2019-12-19 14:34:00+01:00,85.46,85.46,85.46,85.46,23,0,0
2019-12-19 14:40:00+01:00,85.44,85.44,85.44,85.44,50,0,0
2019-12-19 14:42:00+01:00,85.5,85.5,85.5,85.5,590,0,0
2019-12-19 15:00:00+01:00,85.56,85.56,85.56,85.56,590,0,0
2019-12-19 16:02:00+01:00,85.65,85.65,85.65,85.65,8,0,0
2019-12-19 16:28:00+01:00,85.76,85.76,85.76,85.76,51,0,0
2019-12-19 16:53:00+01:00,85.76,85.83,85.76,85.83,83,0,0
2019-12-20 09:35:00+01:00,86.02,86.02,86.02,86.02,0,0,0
2019-12-20 09:41:00+01:00,86.07,86.07,86.07,86.07,35,0,0
2019-12-20 11:41:00+01:00,86.06,86.06,86.06,86.06,13,0,0
2019-12-20 11:55:00+01:00,86.16,86.16,86.16,86.16,2,0,0
2019-12-20 13:39:00+01:00,86.28,86.28,86.28,86.28,6,0,0
2019-12-20 15:19:00+01:00,86.59,86.59,86.59,86.59,70,0,0
2019-12-20 15:30:00+01:00,86.77,86.77,86.77,86.77,17,0,0
2019-12-20 15:38:00+01:00,86.65,86.65,86.56,86.56,275,0,0
2019-12-20 17:20:00+01:00,86.74,86.74,86.73,86.74,17,0,0
2019-12-23 09:44:00+01:00,86.83,86.83,86.83,86.83,0,0,0
2019-12-23 10:13:00+01:00,86.83,86.83,86.83,86.83,7,0,0
2019-12-23 10:18:00+01:00,86.87,86.87,86.87,86.87,1900,0,0
2019-12-23 10:49:00+01:00,86.87,86.87,86.87,86.87,130,0,0
2019-12-23 10:59:00+01:00,86.83,86.83,86.83,86.83,903,0,0
2019-12-23 11:07:00+01:00,86.83,86.87,86.83,86.87,205,0,0
2019-12-23 11:25:00+01:00,86.88,86.88,86.88,86.88,32,0,0
2019-12-23 11:41:00+01:00,86.82,86.82,86.82,86.82,250,0,0
2019-12-23 12:57:00+01:00,86.96,86.96,86.96,86.96,12,0,0
2019-12-23 13:07:00+01:00,87.02,87.02,87.02,87.02,82,0,0
2019-12-23 14:27:00+01:00,87.13,87.13,87.13,87.13,30,0,0
2019-12-23 14:44:00+01:00,87.13,87.13,87.13,87.13,12,0,0
2019-12-23 14:47:00+01:00,87.13,87.13,87.13,87.13,10,0,0
2019-12-23 14:55:00+01:00,87.07,87.07,87.07,87.07,57,0,0
2019-12-23 15:16:00+01:00,86.97,86.97,86.97,86.97,50,0,0
2019-12-23 16:09:00+01:00,86.82,86.82,86.82,86.82,6,0,0
2019-12-23 16:18:00+01:00,86.84,86.84,86.84,86.84,131,0,0
2019-12-23 16:31:00+01:00,86.88,86.88,86.88,86.88,5,0,0
2019-12-23 17:17:00+01:00,86.98,86.98,86.98,86.98,0,0,0
2019-12-23 17:26:00+01:00,86.97,86.97,86.97,86.97,3947,0,0
