Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:20:00+01:00,64.75,64.8,64.75,64.8,0,0,0
2019-12-18 09:05:00+01:00,64.76,64.76,64.76,64.76,0,0,0
2019-12-18 11:23:00+01:00,64.45,64.45,64.45,64.45,58,0,0
2019-12-18 16:07:00+01:00,64.31,64.31,64.31,64.31,1049,0,0
2019-12-18 16:40:00+01:00,64.39,64.39,64.39,64.39,2643,0,0
2019-12-19 09:05:00+01:00,64.48,64.48,64.48,64.48,0,0,0
2019-12-19 13:38:00+01:00,63.8,63.8,63.8,63.8,10,0,0
2019-12-19 14:23:00+01:00,63.61,63.61,63.61,63.61,0,0,0
2019-12-19 16:35:00+01:00,63.58,63.58,63.58,63.58,212,0,0
2019-12-19 17:20:00+01:00,63.73,63.73,63.73,63.73,52,0,0
2019-12-20 09:05:00+01:00,63.81,63.81,63.81,63.81,0,0,0
2019-12-20 09:11:00+01:00,64.01,64.01,64.01,64.01,250,0,0
2019-12-20 10:19:00+01:00,63.98,63.98,63.98,63.98,165,0,0
2019-12-20 10:28:00+01:00,63.95,63.95,63.95,63.95,300,0,0
2019-12-20 11:54:00+01:00,64.0,64.0,64.0,64.0,15,0,0
2019-12-20 15:50:00+01:00,63.67,63.67,63.67,63.67,1297,0,0
2019-12-20 15:57:00+01:00,63.66,63.66,63.62,63.62,218,0,0
2019-12-20 15:58:00+01:00,63.69,63.69,63.69,63.69,1060,0,0
2019-12-20 16:05:00+01:00,63.74,63.74,63.74,63.74,2659,0,0
2019-12-20 16:06:00+01:00,63.7,63.7,63.69,63.69,2042,0,0
2019-12-20 16:13:00+01:00,63.69,63.69,63.69,63.69,902,0,0
2019-12-20 16:21:00+01:00,63.75,63.75,63.75,63.75,981,0,0
2019-12-23 09:05:00+01:00,63.98,63.98,63.98,63.98,0,0,0
2019-12-23 10:18:00+01:00,63.39,63.39,63.39,63.39,7,0,0
2019-12-23 13:35:00+01:00,63.3,63.3,63.3,63.3,1111,0,0
2019-12-23 13:40:00+01:00,63.29,63.29,63.29,63.29,374,0,0
2019-12-23 16:37:00+01:00,63.44,63.44,63.44,63.44,50,0,0
2019-12-23 16:41:00+01:00,63.54,63.56,63.54,63.56,103,0,0
2019-12-23 17:10:00+01:00,63.56,63.56,63.56,63.56,5,0,0
2019-12-23 17:11:00+01:00,63.56,63.56,63.56,63.56,106,0,0
2019-12-24 09:05:00+01:00,63.61,63.61,63.61,63.61,0,0,0
2019-12-24 09:54:00+01:00,63.4,63.4,63.35,63.35,1117,0,0
2019-12-24 10:46:00+01:00,63.63,63.63,63.63,63.63,700,0,0
2019-12-24 14:00:00+01:00,63.52,63.52,63.52,63.52,0,0,0
