Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 16:22:00+00:00,132.4,132.4,132.4,132.4,0,0,0
2019-12-18 08:00:00+00:00,132.32,132.32,132.32,132.32,0,0,0
2019-12-18 08:03:00+00:00,132.39,132.39,132.39,132.39,0,0,0
2019-12-18 09:02:00+00:00,132.43,132.43,132.43,132.43,4723,0,0
2019-12-18 09:09:00+00:00,132.41,132.41,132.41,132.41,2,0,0
2019-12-18 09:39:00+00:00,132.37,132.37,132.37,132.37,146,0,0
2019-12-18 09:42:00+00:00,132.39,132.39,132.39,132.39,602,0,0
2019-12-18 09:56:00+00:00,132.31,132.39,132.31,132.39,180,0,0
2019-12-18 10:11:00+00:00,132.42,132.42,132.42,132.42,898,0,0
2019-12-18 10:15:00+00:00,132.42,132.42,132.42,132.42,1280,0,0
2019-12-18 10:21:00+00:00,132.42,132.42,132.42,132.42,65,0,0
2019-12-18 10:35:00+00:00,132.39,132.39,132.39,132.39,461,0,0
2019-12-18 11:05:00+00:00,132.33,132.33,132.33,132.33,43,0,0
2019-12-18 11:24:00+00:00,132.34,132.34,132.34,132.34,67,0,0
2019-12-18 12:34:00+00:00,132.33,132.33,132.33,132.33,705,0,0
2019-12-18 12:43:00+00:00,132.34,132.34,132.34,132.34,377,0,0
2019-12-18 12:50:00+00:00,132.34,132.34,132.34,132.34,188,0,0
2019-12-18 13:16:00+00:00,132.23,132.23,132.23,132.23,65,0,0
2019-12-18 14:22:00+00:00,132.21,132.21,132.21,132.21,49,0,0
2019-12-18 14:23:00+00:00,132.21,132.23,132.21,132.23,102,0,0
2019-12-18 14:24:00+00:00,132.21,132.21,132.21,132.21,59,0,0
2019-12-18 14:40:00+00:00,132.29,132.3,132.29,132.3,1430,0,0
2019-12-18 14:59:00+00:00,132.22,132.22,132.22,132.22,270,0,0
2019-12-18 15:19:00+00:00,132.24,132.24,132.24,132.24,758,0,0
2019-12-18 15:21:00+00:00,132.24,132.24,132.24,132.24,1943,0,0
2019-12-18 16:17:00+00:00,132.12,132.12,132.12,132.12,544,0,0
2019-12-18 16:19:00+00:00,132.09,132.09,132.09,132.09,500,0,0
2019-12-18 16:20:00+00:00,132.11,132.11,132.11,132.11,253,0,0
2019-12-19 08:00:00+00:00,132.22,132.22,132.22,132.22,0,0,0
2019-12-19 08:01:00+00:00,132.14,132.14,132.14,132.14,922,0,0
2019-12-19 08:04:00+00:00,132.17,132.17,132.17,132.17,1315,0,0
2019-12-19 08:05:00+00:00,132.16,132.16,132.16,132.16,157,0,0
2019-12-19 08:28:00+00:00,132.06,132.06,131.48,132.05,4159,0,0
2019-12-19 08:29:00+00:00,132.15,132.15,132.15,132.15,530,0,0
2019-12-19 09:05:00+00:00,132.11,132.11,132.11,132.11,1800,0,0
2019-12-19 10:03:00+00:00,132.05,132.05,132.05,132.05,25,0,0
2019-12-19 10:41:00+00:00,132.03,132.03,132.03,132.03,330,0,0
2019-12-19 10:53:00+00:00,132.03,132.03,132.03,132.03,125,0,0
2019-12-19 11:28:00+00:00,132.07,132.07,132.07,132.07,12,0,0
2019-12-19 11:35:00+00:00,132.05,132.06,132.05,132.06,446,0,0
2019-12-19 12:00:00+00:00,132.0,132.0,132.0,132.0,540,0,0
2019-12-19 12:50:00+00:00,132.05,132.06,132.05,132.06,372,0,0
2019-12-19 13:30:00+00:00,132.07,132.07,132.07,132.07,1832,0,0
2019-12-19 14:03:00+00:00,132.18,132.18,132.18,132.18,145,0,0
2019-12-19 14:18:00+00:00,132.11,132.11,132.11,132.11,554,0,0
2019-12-19 14:39:00+00:00,132.15,132.15,132.15,132.15,2390,0,0
2019-12-19 14:49:00+00:00,132.17,132.18,132.17,132.18,544,0,0
2019-12-19 14:52:00+00:00,132.08,132.08,132.08,132.08,61,0,0
2019-12-19 15:03:00+00:00,132.19,132.2,132.19,132.2,190,0,0
2019-12-19 15:28:00+00:00,132.11,132.11,132.11,132.11,616,0,0
2019-12-19 15:31:00+00:00,132.19,132.19,132.19,132.19,378,0,0
2019-12-19 16:20:00+00:00,132.27,132.28,132.27,132.27,2026,0,0
2019-12-20 08:00:00+00:00,132.2,132.2,132.2,132.2,0,0,0
2019-12-20 08:01:00+00:00,132.2,132.2,132.2,132.2,1292,0,0
2019-12-20 08:06:00+00:00,132.11,132.11,132.11,132.11,286,0,0
2019-12-20 08:43:00+00:00,132.15,132.15,132.15,132.15,2,0,0
2019-12-20 08:56:00+00:00,132.13,132.14,132.13,132.14,300,0,0
2019-12-20 09:52:00+00:00,132.05,132.05,132.05,132.05,86,0,0
2019-12-20 10:17:00+00:00,132.13,132.14,132.13,132.14,678,0,0
2019-12-20 10:24:00+00:00,132.05,132.05,132.04,132.04,625,0,0
2019-12-20 10:34:00+00:00,132.13,132.13,132.13,132.13,216,0,0
2019-12-20 10:36:00+00:00,132.13,132.13,132.13,132.13,30,0,0
2019-12-20 10:44:00+00:00,132.12,132.12,132.12,132.12,416,0,0
2019-12-20 10:57:00+00:00,132.13,132.13,132.13,132.13,220,0,0
2019-12-20 11:09:00+00:00,132.14,132.14,132.14,132.14,24,0,0
2019-12-20 11:20:00+00:00,132.1,132.1,132.1,132.1,53,0,0
2019-12-20 11:21:00+00:00,132.05,132.05,132.05,132.05,101,0,0
2019-12-20 11:41:00+00:00,132.15,132.15,132.15,132.15,168,0,0
2019-12-20 12:35:00+00:00,132.15,132.15,132.15,132.15,24,0,0
2019-12-20 13:03:00+00:00,132.09,132.09,132.09,132.09,8,0,0
2019-12-20 13:13:00+00:00,132.17,132.17,132.17,132.17,24,0,0
2019-12-20 13:29:00+00:00,132.18,132.18,132.18,132.18,395,0,0
2019-12-20 13:30:00+00:00,132.17,132.24,132.17,132.24,472,0,0
2019-12-20 13:53:00+00:00,132.19,132.2,132.19,132.2,1800,0,0
2019-12-20 14:11:00+00:00,132.2,132.2,132.2,132.2,3000,0,0
2019-12-20 14:21:00+00:00,132.11,132.11,132.1,132.1,756,0,0
2019-12-20 14:24:00+00:00,132.17,132.17,132.17,132.17,8,0,0
2019-12-20 14:38:00+00:00,132.11,132.11,132.11,132.11,60,0,0
2019-12-20 14:41:00+00:00,132.09,132.09,132.09,132.09,10569,0,0
2019-12-20 14:51:00+00:00,132.19,132.2,132.19,132.2,1900,0,0
2019-12-20 15:09:00+00:00,132.17,132.17,132.17,132.17,151,0,0
2019-12-20 15:10:00+00:00,132.1,132.1,132.1,132.1,107,0,0
2019-12-20 15:29:00+00:00,132.27,132.27,132.27,132.27,660,0,0
2019-12-20 15:36:00+00:00,132.27,132.27,132.27,132.27,27,0,0
2019-12-20 15:46:00+00:00,132.15,132.15,132.15,132.15,90,0,0
2019-12-20 15:55:00+00:00,132.25,132.25,132.25,132.25,76,0,0
2019-12-20 15:57:00+00:00,132.26,132.26,132.26,132.26,0,0,0
2019-12-20 16:02:00+00:00,132.26,132.26,132.26,132.26,26487,0,0
2019-12-20 16:18:00+00:00,132.26,132.26,132.26,132.26,518,0,0
2019-12-20 16:28:00+00:00,132.26,132.26,132.26,132.26,20,0,0
2019-12-23 08:00:00+00:00,132.22,132.22,132.22,132.22,0,0,0
2019-12-23 08:11:00+00:00,132.21,132.22,132.2,132.2,4292,0,0
2019-12-23 08:12:00+00:00,132.2,132.22,132.2,132.2,7761,0,0
2019-12-23 09:03:00+00:00,132.31,132.31,132.31,132.31,249,0,0
2019-12-23 09:10:00+00:00,132.32,132.32,132.32,132.32,222,0,0
2019-12-23 09:33:00+00:00,132.24,132.24,132.24,132.24,96,0,0
2019-12-23 10:02:00+00:00,132.33,132.34,132.33,132.34,756,0,0
2019-12-23 10:07:00+00:00,132.34,132.34,132.34,132.34,2,0,0
2019-12-23 10:14:00+00:00,132.34,132.34,132.34,132.34,76,0,0
2019-12-23 10:55:00+00:00,132.31,132.31,132.31,132.31,1505,0,0
2019-12-23 11:32:00+00:00,132.26,132.26,132.26,132.26,60,0,0
2019-12-23 12:07:00+00:00,132.25,132.25,132.25,132.25,66,0,0
2019-12-23 12:45:00+00:00,132.26,132.26,132.26,132.26,20,0,0
2019-12-23 12:48:00+00:00,132.26,132.26,132.26,132.26,20,0,0
2019-12-23 12:50:00+00:00,132.26,132.26,132.26,132.26,18,0,0
2019-12-23 12:53:00+00:00,132.26,132.26,132.26,132.26,21,0,0
2019-12-23 13:04:00+00:00,132.21,132.21,132.21,132.21,74,0,0
2019-12-23 15:07:00+00:00,132.25,132.25,132.25,132.25,49,0,0
2019-12-23 15:29:00+00:00,132.28,132.28,132.28,132.28,3025,0,0
2019-12-23 16:08:00+00:00,132.2,132.2,132.2,132.2,6392,0,0
2019-12-23 16:22:00+00:00,132.16,132.25,132.16,132.25,785,0,0
2019-12-23 16:24:00+00:00,132.16,132.16,132.16,132.16,0,0,0
2019-12-23 16:29:00+00:00,132.18,132.18,132.18,132.18,25597,0,0
2019-12-24 08:00:00+00:00,132.28,132.28,132.28,132.28,0,0,0
2019-12-24 09:41:00+00:00,132.1,132.1,132.1,132.1,25,0,0
2019-12-24 12:19:00+00:00,132.07,132.07,132.04,132.07,289,0,0
