Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:09:00+01:00,15.77,15.77,15.77,15.77,0,0,0
2019-12-17 17:11:00+01:00,15.77,15.77,15.77,15.77,514,0,0
2019-12-17 17:13:00+01:00,15.77,15.77,15.77,15.77,929,0,0
2019-12-17 17:15:00+01:00,15.76,15.76,15.76,15.76,1000,0,0
2019-12-18 09:05:00+01:00,15.75,15.75,15.75,15.75,1,0,0
2019-12-18 09:28:00+01:00,15.76,15.76,15.76,15.76,0,0,0
2019-12-18 10:40:00+01:00,15.76,15.76,15.76,15.76,3,0,0
2019-12-18 14:18:00+01:00,15.77,15.77,15.77,15.77,8,0,0
2019-12-18 15:01:00+01:00,15.79,15.79,15.79,15.79,1529,0,0
2019-12-18 16:32:00+01:00,15.8,15.8,15.8,15.8,526,0,0
2019-12-18 17:07:00+01:00,15.81,15.81,15.81,15.81,6,0,0
2019-12-19 09:05:00+01:00,15.79,15.79,15.79,15.79,1,0,0
2019-12-19 10:47:00+01:00,15.76,15.76,15.76,15.76,1927,0,0
2019-12-19 10:49:00+01:00,15.77,15.77,15.77,15.77,12670,0,0
2019-12-19 11:18:00+01:00,15.74,15.74,15.74,15.74,400,0,0
2019-12-19 11:24:00+01:00,15.75,15.75,15.75,15.75,360,0,0
2019-12-19 11:36:00+01:00,15.74,15.74,15.74,15.74,300,0,0
2019-12-19 12:43:00+01:00,15.74,15.74,15.74,15.74,23,0,0
2019-12-19 14:33:00+01:00,15.77,15.77,15.77,15.77,1575,0,0
2019-12-19 14:39:00+01:00,15.76,15.76,15.76,15.76,51,0,0
2019-12-19 15:08:00+01:00,15.8,15.8,15.8,15.8,60,0,0
2019-12-19 15:12:00+01:00,15.8,15.8,15.77,15.77,67,0,0
2019-12-19 15:19:00+01:00,15.8,15.8,15.8,15.8,25,0,0
2019-12-19 15:37:00+01:00,15.77,15.77,15.77,15.77,96,0,0
2019-12-19 15:47:00+01:00,15.77,15.77,15.77,15.77,3319,0,0
2019-12-19 16:02:00+01:00,15.79,15.79,15.79,15.79,100,0,0
2019-12-19 16:16:00+01:00,15.79,15.79,15.79,15.79,90,0,0
2019-12-19 16:18:00+01:00,15.79,15.79,15.79,15.79,100,0,0
2019-12-19 16:20:00+01:00,15.79,15.79,15.79,15.79,300,0,0
2019-12-19 16:23:00+01:00,15.8,15.8,15.8,15.8,71,0,0
2019-12-19 16:36:00+01:00,15.83,15.83,15.83,15.83,19,0,0
2019-12-19 16:56:00+01:00,15.81,15.81,15.81,15.81,87,0,0
2019-12-19 17:02:00+01:00,15.83,15.83,15.83,15.83,578,0,0
2019-12-19 17:06:00+01:00,15.83,15.83,15.83,15.83,53,0,0
2019-12-19 17:11:00+01:00,15.84,15.84,15.84,15.84,408,0,0
2019-12-19 17:13:00+01:00,15.83,15.83,15.83,15.83,395,0,0
2019-12-19 17:21:00+01:00,15.83,15.83,15.83,15.83,250,0,0
2019-12-20 09:05:00+01:00,15.83,15.83,15.83,15.83,1,0,0
2019-12-20 09:50:00+01:00,15.83,15.83,15.83,15.83,0,0,0
2019-12-20 09:55:00+01:00,15.8,15.8,15.8,15.8,211,0,0
2019-12-20 10:09:00+01:00,15.8,15.8,15.8,15.8,581,0,0
2019-12-20 10:24:00+01:00,15.83,15.83,15.83,15.83,125,0,0
2019-12-20 11:16:00+01:00,15.81,15.81,15.81,15.81,207,0,0
2019-12-20 11:58:00+01:00,15.82,15.82,15.82,15.82,209,0,0
2019-12-20 12:04:00+01:00,15.82,15.82,15.82,15.82,210,0,0
2019-12-20 12:20:00+01:00,15.83,15.83,15.83,15.83,218,0,0
2019-12-20 13:29:00+01:00,15.83,15.83,15.83,15.83,60,0,0
2019-12-20 13:46:00+01:00,15.83,15.83,15.83,15.83,202,0,0
2019-12-20 13:59:00+01:00,15.83,15.84,15.83,15.83,1653,0,0
2019-12-20 14:17:00+01:00,15.85,15.85,15.85,15.85,861,0,0
2019-12-20 14:39:00+01:00,15.86,15.86,15.86,15.86,208,0,0
2019-12-20 14:58:00+01:00,15.86,15.87,15.86,15.87,518,0,0
2019-12-20 14:59:00+01:00,15.85,15.85,15.85,15.85,207,0,0
2019-12-20 15:00:00+01:00,15.87,15.87,15.87,15.87,0,0,0
2019-12-20 15:15:00+01:00,15.88,15.88,15.88,15.88,9453,0,0
2019-12-20 15:22:00+01:00,15.85,15.85,15.85,15.85,238,0,0
2019-12-20 15:43:00+01:00,15.84,15.84,15.84,15.84,207,0,0
2019-12-20 15:46:00+01:00,15.84,15.84,15.84,15.84,650,0,0
2019-12-20 15:58:00+01:00,15.84,15.84,15.84,15.84,111,0,0
2019-12-20 16:04:00+01:00,15.84,15.85,15.84,15.85,756,0,0
2019-12-20 16:08:00+01:00,15.84,15.84,15.84,15.84,1150,0,0
2019-12-20 16:23:00+01:00,15.84,15.84,15.83,15.83,8008,0,0
2019-12-20 16:24:00+01:00,15.83,15.83,15.83,15.83,858,0,0
2019-12-20 16:31:00+01:00,15.82,15.82,15.82,15.82,218,0,0
2019-12-20 16:44:00+01:00,15.83,15.83,15.83,15.83,167,0,0
2019-12-20 16:53:00+01:00,15.84,15.84,15.84,15.84,321,0,0
2019-12-20 16:54:00+01:00,15.82,15.82,15.82,15.82,63,0,0
2019-12-20 16:55:00+01:00,15.81,15.81,15.81,15.81,65,0,0
2019-12-20 17:03:00+01:00,15.85,15.85,15.85,15.85,1162,0,0
2019-12-20 17:11:00+01:00,15.84,15.84,15.84,15.84,242,0,0
2019-12-23 09:05:00+01:00,15.82,15.82,15.82,15.82,0,0,0
2019-12-23 09:47:00+01:00,15.82,15.83,15.82,15.83,475,0,0
2019-12-23 10:04:00+01:00,15.84,15.84,15.84,15.84,113,0,0
2019-12-23 13:47:00+01:00,15.81,15.81,15.8,15.8,1400,0,0
2019-12-23 13:48:00+01:00,15.8,15.8,15.8,15.8,1364,0,0
2019-12-23 13:49:00+01:00,15.8,15.8,15.8,15.8,1503,0,0
2019-12-23 13:50:00+01:00,15.8,15.8,15.8,15.8,2733,0,0
2019-12-23 14:36:00+01:00,15.81,15.81,15.81,15.81,1500,0,0
2019-12-23 15:11:00+01:00,15.81,15.81,15.81,15.81,78,0,0
2019-12-23 15:30:00+01:00,15.77,15.77,15.75,15.75,650,0,0
2019-12-23 16:55:00+01:00,15.77,15.77,15.77,15.77,744,0,0
2019-12-24 09:05:00+01:00,15.79,15.79,15.79,15.79,0,0,0
2019-12-24 09:40:00+01:00,15.81,15.81,15.81,15.81,2241,0,0
2019-12-24 14:00:00+01:00,15.85,15.85,15.85,15.85,0,0,0
