Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 16:01:00+00:00,317.43,317.43,317.43,317.43,0,0,0
2019-12-17 16:02:00+00:00,317.45,317.45,317.42,317.42,885,0,0
2019-12-17 16:03:00+00:00,317.46,317.46,317.46,317.46,700,0,0
2019-12-17 16:04:00+00:00,317.45,317.45,317.45,317.45,32,0,0
2019-12-17 16:05:00+00:00,317.48,317.48,317.48,317.48,211,0,0
2019-12-17 16:06:00+00:00,317.43,317.43,317.43,317.43,51,0,0
2019-12-17 16:07:00+00:00,317.4,317.43,317.4,317.43,250,0,0
2019-12-17 16:08:00+00:00,317.4,317.41,317.33,317.33,66,0,0
2019-12-17 16:10:00+00:00,317.36,317.37,317.33,317.33,710,0,0
2019-12-17 16:11:00+00:00,317.3,317.31,317.3,317.31,228,0,0
2019-12-17 16:12:00+00:00,317.36,317.36,317.36,317.36,33,0,0
2019-12-17 16:13:00+00:00,317.33,317.34,317.33,317.34,50923,0,0
2019-12-17 16:14:00+00:00,317.35,317.35,317.35,317.35,7,0,0
2019-12-17 16:15:00+00:00,317.36,317.39,317.36,317.38,343,0,0
2019-12-17 16:16:00+00:00,317.35,317.35,317.3,317.3,1501,0,0
2019-12-17 16:17:00+00:00,317.36,317.36,317.36,317.36,619,0,0
2019-12-17 16:18:00+00:00,317.31,317.31,317.31,317.31,100,0,0
2019-12-17 16:20:00+00:00,317.31,317.35,317.31,317.35,39,0,0
2019-12-17 16:21:00+00:00,317.37,317.37,317.37,317.37,7856,0,0
2019-12-17 16:22:00+00:00,317.36,317.36,317.36,317.36,9,0,0
2019-12-17 16:24:00+00:00,317.25,317.31,317.25,317.31,1073,0,0
2019-12-17 16:25:00+00:00,317.33,317.33,317.31,317.31,200,0,0
2019-12-17 16:26:00+00:00,317.35,317.35,317.35,317.35,100,0,0
2019-12-17 16:27:00+00:00,317.36,317.36,317.36,317.36,100,0,0
2019-12-18 08:00:00+00:00,317.08,317.08,317.08,317.08,662,0,0
2019-12-18 08:01:00+00:00,317.07,317.07,317.07,317.07,382,0,0
2019-12-18 08:03:00+00:00,317.03,317.03,317.03,317.03,0,0,0
2019-12-18 08:05:00+00:00,317.05,317.05,317.05,317.05,1180,0,0
2019-12-18 08:07:00+00:00,317.05,317.05,317.05,317.05,110,0,0
2019-12-18 08:08:00+00:00,317.03,317.03,317.03,317.03,130,0,0
2019-12-18 08:09:00+00:00,317.08,317.08,317.08,317.08,100,0,0
2019-12-18 08:10:00+00:00,317.1,317.1,317.1,317.1,69,0,0
2019-12-18 08:23:00+00:00,317.28,317.28,317.28,317.28,0,0,0
2019-12-18 08:30:00+00:00,317.25,317.25,317.25,317.25,2052,0,0
2019-12-18 08:50:00+00:00,317.18,317.25,317.18,317.25,126,0,0
2019-12-18 08:56:00+00:00,317.16,317.16,317.16,317.16,20,0,0
2019-12-18 09:00:00+00:00,317.3,317.3,317.3,317.3,13,0,0
2019-12-18 09:02:00+00:00,317.25,317.25,317.23,317.23,155,0,0
2019-12-18 09:03:00+00:00,317.29,317.3,317.29,317.3,597,0,0
2019-12-18 09:04:00+00:00,317.28,317.28,317.28,317.28,275,0,0
2019-12-18 09:07:00+00:00,317.31,317.31,317.28,317.3,642,0,0
2019-12-18 09:09:00+00:00,317.25,317.25,317.25,317.25,3,0,0
2019-12-18 09:11:00+00:00,317.18,317.18,317.18,317.18,53,0,0
2019-12-18 09:16:00+00:00,317.28,317.29,317.28,317.29,307,0,0
2019-12-18 09:17:00+00:00,317.29,317.29,317.29,317.29,2083,0,0
2019-12-18 09:18:00+00:00,317.21,317.21,317.21,317.21,350,0,0
2019-12-18 09:21:00+00:00,317.28,317.28,317.28,317.28,50,0,0
2019-12-18 09:22:00+00:00,317.28,317.28,317.28,317.28,130,0,0
2019-12-18 09:29:00+00:00,317.54,317.54,317.54,317.54,350,0,0
2019-12-18 09:33:00+00:00,317.43,317.43,317.43,317.43,312,0,0
2019-12-18 09:35:00+00:00,317.43,317.43,317.43,317.43,127,0,0
2019-12-18 09:36:00+00:00,317.41,317.41,317.41,317.41,312,0,0
2019-12-18 09:40:00+00:00,317.39,317.39,317.39,317.39,280,0,0
2019-12-18 09:47:00+00:00,317.39,317.39,317.39,317.39,226,0,0
2019-12-18 09:48:00+00:00,317.39,317.45,317.39,317.45,114,0,0
2019-12-18 09:49:00+00:00,317.47,317.47,317.47,317.47,54,0,0
2019-12-18 09:50:00+00:00,317.46,317.46,317.46,317.46,151,0,0
2019-12-18 09:56:00+00:00,317.44,317.44,317.44,317.44,100,0,0
2019-12-18 09:57:00+00:00,317.44,317.44,317.44,317.44,208,0,0
2019-12-18 10:07:00+00:00,317.46,317.46,317.46,317.46,425,0,0
2019-12-18 10:10:00+00:00,317.49,317.49,317.49,317.49,60,0,0
2019-12-18 10:15:00+00:00,317.43,317.43,317.43,317.43,290,0,0
2019-12-18 10:17:00+00:00,317.5,317.5,317.5,317.5,71,0,0
2019-12-18 10:18:00+00:00,317.43,317.49,317.43,317.46,47,0,0
2019-12-18 10:19:00+00:00,317.38,317.38,317.38,317.38,174,0,0
2019-12-18 10:23:00+00:00,317.43,317.43,317.43,317.43,142,0,0
2019-12-18 10:24:00+00:00,317.46,317.46,317.4,317.4,100,0,0
2019-12-18 10:25:00+00:00,317.47,317.47,317.4,317.4,408,0,0
2019-12-18 10:27:00+00:00,317.41,317.41,317.4,317.4,398,0,0
2019-12-18 10:29:00+00:00,317.43,317.44,317.43,317.44,305,0,0
2019-12-18 10:33:00+00:00,317.37,317.37,317.37,317.37,42200,0,0
2019-12-18 10:41:00+00:00,317.41,317.41,317.41,317.41,3,0,0
2019-12-18 10:44:00+00:00,317.36,317.41,317.36,317.41,211,0,0
2019-12-18 10:49:00+00:00,317.4,317.4,317.4,317.4,825,0,0
2019-12-18 10:55:00+00:00,317.47,317.47,317.47,317.47,14,0,0
2019-12-18 10:57:00+00:00,317.48,317.48,317.47,317.47,35,0,0
2019-12-18 10:59:00+00:00,317.42,317.42,317.37,317.37,553,0,0
2019-12-18 11:05:00+00:00,317.37,317.37,317.37,317.37,154,0,0
2019-12-18 11:06:00+00:00,317.37,317.4,317.37,317.4,371,0,0
2019-12-18 11:08:00+00:00,317.42,317.42,317.42,317.42,30,0,0
