Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 08:17:00+01:00,47.7,47.7,47.7,47.7,0,0,0
2019-12-18 09:47:00+01:00,47.9,47.9,47.9,47.9,0,0,0
2019-12-18 09:53:00+01:00,47.92,47.92,47.92,47.92,0,0,0
2019-12-18 11:46:00+01:00,47.97,47.97,47.97,47.97,0,0,0
2019-12-18 12:28:00+01:00,48.01,48.01,48.01,48.01,0,0,0
2019-12-18 12:59:00+01:00,47.97,47.97,47.97,47.97,0,0,0
2019-12-18 13:04:00+01:00,48.01,48.01,48.01,48.01,0,0,0
2019-12-18 14:00:00+01:00,48.04,48.04,48.04,48.04,0,0,0
2019-12-18 15:48:00+01:00,48.0,48.0,48.0,48.0,0,0,0
2019-12-18 15:49:00+01:00,48.01,48.01,48.01,48.01,0,0,0
2019-12-18 16:38:00+01:00,47.97,47.97,47.97,47.97,0,0,0
2019-12-18 17:16:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 08:19:00+01:00,47.93,47.93,47.93,47.93,0,0,0
2019-12-19 09:36:00+01:00,47.83,47.83,47.83,47.83,0,0,0
2019-12-19 10:30:00+01:00,47.83,47.83,47.83,47.83,0,0,0
2019-12-19 12:55:00+01:00,47.85,47.85,47.85,47.85,0,0,0
2019-12-19 14:24:00+01:00,47.88,47.88,47.88,47.88,0,0,0
2019-12-19 15:22:00+01:00,47.88,47.88,47.88,47.88,0,0,0
2019-12-19 16:11:00+01:00,47.87,47.87,47.87,47.87,0,0,0
2019-12-19 17:08:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 17:29:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 17:51:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 17:56:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 18:01:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 18:43:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 19:22:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-19 19:29:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-20 08:17:00+01:00,47.94,47.94,47.94,47.94,0,0,0
2019-12-20 09:33:00+01:00,48.01,48.01,48.01,48.01,0,0,0
2019-12-20 09:53:00+01:00,48.06,48.06,48.06,48.06,0,0,0
2019-12-20 10:41:00+01:00,48.04,48.04,48.04,48.04,0,0,0
2019-12-20 13:15:00+01:00,48.14,48.14,48.14,48.14,0,0,0
2019-12-20 14:05:00+01:00,48.18,48.18,48.18,48.18,0,0,0
2019-12-20 14:54:00+01:00,48.19,48.19,48.19,48.19,0,0,0
2019-12-20 16:35:00+01:00,48.24,48.24,48.24,48.24,0,0,0
2019-12-20 17:32:00+01:00,48.24,48.24,48.24,48.24,0,0,0
2019-12-20 17:49:00+01:00,48.23,48.23,48.23,48.23,0,0,0
2019-12-20 19:02:00+01:00,48.26,48.26,48.26,48.26,0,0,0
2019-12-20 19:28:00+01:00,48.26,48.26,48.26,48.26,0,0,0
2019-12-23 09:06:00+01:00,48.24,48.24,48.24,48.24,0,0,0
2019-12-23 14:26:00+01:00,48.34,48.34,48.34,48.34,0,0,0
2019-12-23 18:38:00+01:00,48.26,48.26,48.26,48.26,0,0,0
