Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:08:00+01:00,390.11,390.11,390.11,390.11,0,0,0
2019-12-17 17:38:00+01:00,387.88,387.88,387.88,387.88,0,0,0
2019-12-17 18:09:00+01:00,388.11,388.11,388.11,388.11,0,0,0
2019-12-17 18:39:00+01:00,388.11,388.11,388.11,388.11,0,0,0
2019-12-17 19:09:00+01:00,388.11,388.11,388.11,388.11,0,0,0
2019-12-17 19:39:00+01:00,387.81,387.81,387.81,387.81,0,0,0
2019-12-17 19:50:00+01:00,387.81,387.81,387.81,387.81,0,0,0
2019-12-18 08:27:00+01:00,388.24,388.24,388.24,388.24,0,0,0
2019-12-18 08:52:00+01:00,388.09,388.09,388.09,388.09,0,0,0
2019-12-18 09:35:00+01:00,390.58,390.58,390.58,390.58,0,0,0
2019-12-18 10:05:00+01:00,390.71,390.71,390.71,390.71,0,0,0
2019-12-18 10:35:00+01:00,390.22,390.22,390.22,390.22,0,0,0
2019-12-18 11:05:00+01:00,390.37,390.37,390.37,390.37,0,0,0
2019-12-18 11:36:00+01:00,391.0,391.0,391.0,391.0,0,0,0
2019-12-18 12:06:00+01:00,390.92,390.92,390.92,390.92,0,0,0
2019-12-18 12:36:00+01:00,390.85,390.85,390.85,390.85,0,0,0
2019-12-18 13:07:00+01:00,390.76,390.76,390.76,390.76,0,0,0
2019-12-18 13:37:00+01:00,390.34,390.34,390.34,390.34,0,0,0
2019-12-18 14:07:00+01:00,389.6,389.6,389.6,389.6,0,0,0
2019-12-18 14:38:00+01:00,389.94,389.94,389.94,389.94,0,0,0
2019-12-18 15:08:00+01:00,389.27,389.27,389.27,389.27,0,0,0
2019-12-18 15:38:00+01:00,388.86,388.86,388.86,388.86,0,0,0
2019-12-18 16:08:00+01:00,388.36,388.36,388.36,388.36,0,0,0
2019-12-18 16:38:00+01:00,388.24,388.24,388.24,388.24,0,0,0
2019-12-18 17:09:00+01:00,386.83,386.83,386.83,386.83,0,0,0
2019-12-18 17:39:00+01:00,385.17,385.17,385.17,385.17,0,0,0
2019-12-18 18:09:00+01:00,385.02,385.02,385.02,385.02,0,0,0
2019-12-18 18:39:00+01:00,384.94,384.94,384.94,384.94,0,0,0
2019-12-18 19:09:00+01:00,384.87,384.87,384.87,384.87,0,0,0
2019-12-18 19:40:00+01:00,384.76,384.76,384.76,384.76,0,0,0
2019-12-18 19:50:00+01:00,384.76,384.76,384.76,384.76,0,0,0
2019-12-19 08:27:00+01:00,384.01,384.01,384.01,384.01,0,0,0
2019-12-19 08:52:00+01:00,383.83,383.83,383.83,383.83,0,0,0
2019-12-19 09:35:00+01:00,385.88,385.88,385.88,385.88,0,0,0
2019-12-19 10:05:00+01:00,385.21,385.21,385.21,385.21,0,0,0
2019-12-19 10:35:00+01:00,384.96,384.96,384.96,384.96,0,0,0
2019-12-19 10:54:00+01:00,385.77,385.77,385.77,385.77,26,0,0
2019-12-19 11:06:00+01:00,384.78,384.78,384.78,384.78,0,0,0
2019-12-19 11:36:00+01:00,385.4,385.4,385.4,385.4,0,0,0
2019-12-19 12:06:00+01:00,384.91,384.91,384.91,384.91,0,0,0
2019-12-19 12:36:00+01:00,384.8,384.8,384.8,384.8,0,0,0
2019-12-19 13:06:00+01:00,384.58,384.58,384.58,384.58,0,0,0
