Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:08:00-05:00,49.11,49.12,49.11,49.12,0,0.0,0
2019-12-17 11:18:00-05:00,49.08,49.08,49.08,49.08,1751,0.0,0
2019-12-17 12:14:00-05:00,49.1,49.1,49.1,49.1,224,0.0,0
2019-12-17 12:20:00-05:00,49.1,49.1,49.1,49.1,564,0.0,0
2019-12-17 12:36:00-05:00,49.15,49.15,49.15,49.15,519,0.0,0
2019-12-17 12:39:00-05:00,49.17,49.17,49.16,49.16,200,0.0,0
2019-12-17 12:55:00-05:00,49.17,49.17,49.17,49.17,2169,0.0,0
2019-12-17 13:09:00-05:00,49.14,49.14,49.14,49.14,223,0.0,0
2019-12-17 13:35:00-05:00,49.14,49.14,49.14,49.14,746,0.0,0
2019-12-17 13:36:00-05:00,49.11,49.12,49.11,49.12,832,0.0,0
2019-12-17 13:55:00-05:00,49.11,49.11,49.11,49.11,375,0.0,0
2019-12-17 14:26:00-05:00,49.13,49.13,49.13,49.13,524,0.0,0
2019-12-17 14:37:00-05:00,49.1,49.1,49.1,49.1,283,0.0,0
2019-12-17 15:07:00-05:00,49.13,49.13,49.13,49.13,125,0.0,0
2019-12-17 15:16:00-05:00,49.11,49.11,49.11,49.11,196,0.0,0
2019-12-17 15:22:00-05:00,49.13,49.13,49.13,49.13,175,0.0,0
2019-12-17 15:28:00-05:00,49.11,49.11,49.11,49.11,696,0.0,0
2019-12-17 15:46:00-05:00,49.1,49.12,49.1,49.12,662,0.0,0
2019-12-17 15:53:00-05:00,49.09,49.09,49.06,49.09,2022,0.0,0
2019-12-17 15:59:00-05:00,49.06,49.09,49.06,49.09,15004,0.0,0
2019-12-18 09:30:00-05:00,49.09,49.09,49.09,49.09,0,0.0,0
2019-12-18 09:57:00-05:00,49.04,49.04,49.04,49.04,326,0.0,0
2019-12-18 10:06:00-05:00,49.01,49.01,49.01,49.01,1337,0.0,0
2019-12-18 10:20:00-05:00,49.05,49.05,49.05,49.05,400,0.0,0
2019-12-18 10:22:00-05:00,49.04,49.04,49.04,49.04,953,0.0,0
2019-12-18 10:37:00-05:00,49.03,49.03,49.03,49.03,314,0.0,0
2019-12-18 10:40:00-05:00,49.03,49.03,49.03,49.03,213,0.0,0
2019-12-18 11:06:00-05:00,49.05,49.05,49.05,49.05,114,0.0,0
2019-12-18 11:09:00-05:00,49.03,49.03,49.03,49.03,260,0.0,0
2019-12-18 11:23:00-05:00,49.05,49.05,49.05,49.05,253,0.0,0
2019-12-18 11:34:00-05:00,49.03,49.03,49.03,49.03,400,0.0,0
2019-12-18 11:37:00-05:00,49.01,49.01,49.01,49.01,221,0.0,0
2019-12-18 11:38:00-05:00,49.0,49.0,49.0,49.0,100,0.0,0
2019-12-18 11:44:00-05:00,49.01,49.01,49.01,49.01,178,0.0,0
2019-12-18 11:52:00-05:00,49.01,49.01,49.01,49.01,690,0.0,0
2019-12-18 12:03:00-05:00,48.96,48.96,48.96,48.96,870,0.0,0
2019-12-18 12:05:00-05:00,48.94,48.94,48.94,48.94,1060,0.0,0
2019-12-18 12:07:00-05:00,48.94,48.94,48.94,48.94,2116,0.0,0
2019-12-18 12:19:00-05:00,48.97,48.97,48.97,48.97,357,0.0,0
2019-12-18 13:52:00-05:00,48.96,48.96,48.96,48.96,1008,0.0,0
2019-12-18 14:29:00-05:00,49.0,49.0,49.0,49.0,1000,0.0,0
2019-12-18 14:39:00-05:00,48.97,48.98,48.97,48.98,343,0.0,0
2019-12-18 14:40:00-05:00,48.99,48.99,48.99,48.99,133,0.0,0
2019-12-18 14:43:00-05:00,48.97,48.97,48.97,48.97,391,0.0,0
2019-12-18 15:15:00-05:00,49.0,49.0,49.0,49.0,1742,0.0,0
2019-12-18 15:36:00-05:00,49.0,49.0,49.0,49.0,140,0.0,0
