Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 11:00:00-05:00,26.46,26.52,26.36,26.43,0,0,0
2019-12-16 11:08:00-05:00,26.36,26.37,26.36,26.37,1520,0,0
2019-12-16 11:10:00-05:00,26.4,26.4,26.4,26.4,400,0,0
2019-12-16 11:11:00-05:00,26.4,26.4,26.4,26.4,325,0,0
2019-12-16 11:35:00-05:00,26.4,26.4,26.4,26.4,693,0,0
2019-12-16 11:51:00-05:00,26.6,26.6,26.6,26.6,100,0,0
2019-12-16 11:52:00-05:00,26.52,26.52,26.52,26.52,264,0,0
2019-12-16 12:33:00-05:00,26.4,26.4,26.4,26.4,507,0,0
2019-12-16 12:40:00-05:00,26.41,26.41,26.41,26.41,127,0,0
2019-12-16 12:46:00-05:00,26.45,26.45,26.4,26.4,300,0,0
2019-12-16 12:47:00-05:00,26.4,26.4,26.4,26.4,130,0,0
2019-12-16 12:53:00-05:00,26.43,26.44,26.4,26.44,941,0,0
2019-12-16 12:56:00-05:00,26.44,26.44,26.44,26.44,408,0,0
2019-12-16 13:07:00-05:00,26.4,26.4,26.4,26.4,100,0,0
2019-12-16 13:15:00-05:00,26.4,26.4,26.4,26.4,100,0,0
2019-12-16 13:18:00-05:00,26.4,26.4,26.4,26.4,1039,0,0
2019-12-16 13:34:00-05:00,26.5,26.5,26.5,26.5,150,0,0
2019-12-16 13:38:00-05:00,26.51,26.51,26.51,26.51,886,0,0
2019-12-16 14:07:00-05:00,26.61,26.63,26.61,26.63,2000,0,0
2019-12-16 14:08:00-05:00,26.59,26.59,26.59,26.59,210,0,0
2019-12-16 14:14:00-05:00,26.58,26.58,26.58,26.58,184,0,0
2019-12-16 14:17:00-05:00,26.64,26.64,26.64,26.64,325,0,0
2019-12-16 14:33:00-05:00,26.65,26.65,26.65,26.65,200,0,0
2019-12-16 14:40:00-05:00,26.53,26.53,26.53,26.53,153,0,0
2019-12-16 14:41:00-05:00,26.65,26.65,26.65,26.65,210,0,0
