Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 08:19:00+01:00,143.84,143.84,143.84,143.84,0,0,0
2019-12-18 09:47:00+01:00,145.3,145.3,145.3,145.3,0,0,0
2019-12-18 09:53:00+01:00,145.36,145.36,145.36,145.36,0,0,0
2019-12-18 10:10:00+01:00,145.56,145.56,145.56,145.56,0,0,0
2019-12-18 11:46:00+01:00,146.14,146.14,146.14,146.14,0,0,0
2019-12-18 12:28:00+01:00,146.16,146.16,146.16,146.16,0,0,0
2019-12-18 12:59:00+01:00,146.12,146.12,146.12,146.12,0,0,0
2019-12-18 13:04:00+01:00,146.24,146.24,146.24,146.24,0,0,0
2019-12-18 14:00:00+01:00,145.94,145.94,145.94,145.94,0,0,0
2019-12-18 15:28:00+01:00,146.06,146.06,146.06,146.06,0,0,0
2019-12-18 15:49:00+01:00,145.88,145.88,145.88,145.88,0,0,0
2019-12-18 16:38:00+01:00,145.6,145.6,145.6,145.6,0,0,0
2019-12-18 17:16:00+01:00,145.42,145.42,145.42,145.42,0,0,0
2019-12-19 08:19:00+01:00,145.22,145.22,145.22,145.22,0,0,0
2019-12-19 09:36:00+01:00,145.32,145.32,145.32,145.32,0,0,0
2019-12-19 10:30:00+01:00,145.16,145.16,145.16,145.16,0,0,0
2019-12-19 12:55:00+01:00,145.32,145.32,145.32,145.32,0,0,0
2019-12-19 14:24:00+01:00,144.92,144.92,144.92,144.92,0,0,0
2019-12-19 15:22:00+01:00,145.18,145.18,145.18,145.18,0,0,0
2019-12-19 16:11:00+01:00,145.24,145.24,145.24,145.24,0,0,0
2019-12-19 17:08:00+01:00,145.32,145.32,145.32,145.32,0,0,0
2019-12-19 17:29:00+01:00,145.42,145.42,145.42,145.42,0,0,0
2019-12-19 17:51:00+01:00,145.46,145.46,145.46,145.46,0,0,0
2019-12-19 17:56:00+01:00,145.46,145.46,145.46,145.46,0,0,0
2019-12-19 18:01:00+01:00,145.46,145.46,145.46,145.46,0,0,0
2019-12-19 18:43:00+01:00,145.46,145.46,145.46,145.46,0,0,0
2019-12-19 19:22:00+01:00,145.4,145.4,145.4,145.4,0,0,0
2019-12-19 19:29:00+01:00,145.4,145.4,145.4,145.4,0,0,0
2019-12-20 08:17:00+01:00,145.32,145.32,145.32,145.32,0,0,0
2019-12-20 09:33:00+01:00,145.8,145.8,145.8,145.8,0,0,0
2019-12-20 09:53:00+01:00,146.28,146.28,146.28,146.28,0,0,0
2019-12-20 10:41:00+01:00,146.04,146.04,146.04,146.04,0,0,0
2019-12-20 13:15:00+01:00,146.6,146.6,146.6,146.6,0,0,0
2019-12-20 14:05:00+01:00,146.72,146.72,146.72,146.72,0,0,0
2019-12-20 14:54:00+01:00,146.96,146.96,146.96,146.96,0,0,0
2019-12-20 16:35:00+01:00,147.16,147.16,147.16,147.16,0,0,0
2019-12-20 17:32:00+01:00,147.5,147.5,147.5,147.5,0,0,0
2019-12-20 17:49:00+01:00,147.46,147.46,147.46,147.46,0,0,0
2019-12-20 19:02:00+01:00,147.68,147.68,147.68,147.68,0,0,0
2019-12-20 19:28:00+01:00,147.68,147.68,147.68,147.68,0,0,0
2019-12-23 09:06:00+01:00,147.84,147.84,147.84,147.84,0,0,0
2019-12-23 14:26:00+01:00,148.44,148.44,148.44,148.44,0,0,0
2019-12-23 18:39:00+01:00,148.0,148.0,148.0,148.0,0,0,0
