Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:20:00+01:00,16.6,16.6,16.6,16.6,0,0,0
2019-12-18 09:04:00+01:00,16.56,16.56,16.56,16.56,1906,0,0
2019-12-18 09:17:00+01:00,16.57,16.57,16.57,16.57,162,0,0
2019-12-18 10:13:00+01:00,16.56,16.56,16.56,16.56,25,0,0
2019-12-18 10:18:00+01:00,16.58,16.58,16.58,16.58,227,0,0
2019-12-18 10:25:00+01:00,16.58,16.58,16.58,16.58,610,0,0
2019-12-18 11:50:00+01:00,16.57,16.57,16.57,16.57,75,0,0
2019-12-18 11:59:00+01:00,16.58,16.58,16.58,16.58,140,0,0
2019-12-18 12:02:00+01:00,16.57,16.57,16.57,16.57,4147,0,0
2019-12-18 12:03:00+01:00,16.58,16.58,16.58,16.58,6032,0,0
2019-12-18 12:07:00+01:00,16.57,16.57,16.57,16.57,59,0,0
2019-12-18 12:26:00+01:00,16.57,16.57,16.57,16.57,470,0,0
2019-12-18 12:28:00+01:00,16.58,16.58,16.58,16.58,6487,0,0
2019-12-18 12:40:00+01:00,16.56,16.56,16.56,16.56,24,0,0
2019-12-18 12:42:00+01:00,16.57,16.57,16.57,16.57,175,0,0
2019-12-18 12:43:00+01:00,16.57,16.57,16.57,16.57,117,0,0
2019-12-18 13:12:00+01:00,16.58,16.58,16.58,16.58,0,0,0
2019-12-18 13:13:00+01:00,16.57,16.57,16.57,16.57,20657,0,0
2019-12-18 13:42:00+01:00,16.58,16.58,16.58,16.58,24,0,0
2019-12-18 14:29:00+01:00,16.57,16.57,16.57,16.57,10,0,0
2019-12-18 14:43:00+01:00,16.56,16.56,16.56,16.56,480,0,0
2019-12-18 15:36:00+01:00,16.56,16.56,16.56,16.56,2,0,0
2019-12-18 15:49:00+01:00,16.56,16.56,16.56,16.56,2655,0,0
2019-12-18 16:04:00+01:00,16.58,16.58,16.58,16.58,1000,0,0
2019-12-18 16:05:00+01:00,16.59,16.59,16.59,16.59,1000,0,0
2019-12-18 16:12:00+01:00,16.58,16.58,16.58,16.58,3000,0,0
2019-12-18 16:13:00+01:00,16.59,16.59,16.59,16.59,11044,0,0
2019-12-18 16:30:00+01:00,16.6,16.6,16.6,16.6,3450,0,0
2019-12-18 16:40:00+01:00,16.62,16.62,16.62,16.62,1178,0,0
2019-12-18 16:48:00+01:00,16.61,16.61,16.61,16.61,1000,0,0
2019-12-18 16:50:00+01:00,16.62,16.62,16.62,16.62,1919,0,0
2019-12-18 16:54:00+01:00,16.61,16.61,16.61,16.61,1,0,0
2019-12-18 17:19:00+01:00,16.61,16.61,16.61,16.61,600,0,0
2019-12-18 17:20:00+01:00,16.61,16.61,16.61,16.61,10044,0,0
2019-12-18 17:24:00+01:00,16.61,16.61,16.61,16.61,638,0,0
2019-12-19 09:04:00+01:00,16.61,16.61,16.61,16.61,0,0,0
2019-12-19 09:05:00+01:00,16.58,16.58,16.58,16.58,290,0,0
2019-12-19 09:17:00+01:00,16.58,16.58,16.58,16.58,69,0,0
2019-12-19 11:45:00+01:00,16.6,16.6,16.6,16.6,243,0,0
2019-12-19 13:12:00+01:00,16.61,16.61,16.61,16.61,0,0,0
2019-12-19 14:11:00+01:00,16.6,16.6,16.6,16.6,1138,0,0
2019-12-19 14:18:00+01:00,16.6,16.6,16.6,16.6,100,0,0
2019-12-19 14:28:00+01:00,16.62,16.62,16.62,16.62,52,0,0
2019-12-19 14:52:00+01:00,16.6,16.6,16.6,16.6,670,0,0
2019-12-19 15:36:00+01:00,16.63,16.63,16.63,16.63,1,0,0
2019-12-19 15:59:00+01:00,16.78,16.78,16.78,16.78,136,0,0
2019-12-19 16:16:00+01:00,16.63,16.63,16.63,16.63,15,0,0
2019-12-19 16:20:00+01:00,16.63,16.63,16.63,16.63,28,0,0
2019-12-19 16:47:00+01:00,16.66,16.66,16.66,16.66,1,0,0
2019-12-19 17:18:00+01:00,16.68,16.68,16.68,16.68,956,0,0
2019-12-19 17:19:00+01:00,16.68,16.68,16.68,16.68,4047,0,0
2019-12-20 09:04:00+01:00,16.69,16.69,16.69,16.69,283,0,0
2019-12-20 10:07:00+01:00,16.66,16.66,16.66,16.66,74,0,0
2019-12-20 11:00:00+01:00,16.66,16.66,16.66,16.66,1,0,0
2019-12-20 11:10:00+01:00,16.65,16.65,16.65,16.65,34,0,0
2019-12-20 12:22:00+01:00,16.66,16.66,16.66,16.66,333,0,0
2019-12-20 12:53:00+01:00,16.66,16.66,16.66,16.66,103,0,0
2019-12-20 13:12:00+01:00,16.67,16.67,16.67,16.67,0,0,0
2019-12-20 13:27:00+01:00,16.66,16.66,16.66,16.66,1028,0,0
2019-12-20 14:16:00+01:00,16.68,16.68,16.68,16.68,2036,0,0
2019-12-20 14:17:00+01:00,16.69,16.69,16.69,16.69,8091,0,0
2019-12-20 15:36:00+01:00,16.66,16.66,16.66,16.66,1,0,0
2019-12-20 15:49:00+01:00,16.67,16.67,16.67,16.67,2694,0,0
2019-12-20 16:28:00+01:00,16.65,16.65,16.65,16.65,1699,0,0
2019-12-20 16:42:00+01:00,16.66,16.66,16.66,16.66,200,0,0
2019-12-23 09:04:00+01:00,16.62,16.62,16.62,16.62,0,0,0
2019-12-23 09:08:00+01:00,16.62,16.62,16.62,16.62,3027,0,0
2019-12-23 09:20:00+01:00,16.61,16.61,16.61,16.61,650,0,0
2019-12-23 09:50:00+01:00,16.63,16.63,16.63,16.63,78,0,0
2019-12-23 10:19:00+01:00,16.64,16.64,16.64,16.64,2,0,0
2019-12-23 10:22:00+01:00,16.64,16.64,16.64,16.64,96,0,0
2019-12-23 12:10:00+01:00,16.64,16.64,16.64,16.64,90,0,0
2019-12-23 13:02:00+01:00,16.65,16.65,16.65,16.65,500,0,0
2019-12-23 13:12:00+01:00,16.65,16.65,16.65,16.65,0,0,0
2019-12-23 13:22:00+01:00,16.64,16.66,16.64,16.66,5103,0,0
2019-12-23 13:51:00+01:00,16.63,16.63,16.63,16.63,440,0,0
2019-12-23 14:39:00+01:00,16.64,16.64,16.64,16.64,800,0,0
2019-12-23 14:40:00+01:00,16.63,16.63,16.63,16.63,662,0,0
2019-12-23 15:36:00+01:00,16.63,16.63,16.61,16.61,5236,0,0
2019-12-23 15:38:00+01:00,16.61,16.61,16.61,16.61,628,0,0
2019-12-23 16:18:00+01:00,16.61,16.61,16.61,16.61,100,0,0
2019-12-23 16:29:00+01:00,16.61,16.61,16.61,16.61,1585,0,0
