Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 10:27:00-05:00,61.53,61.53,61.53,61.53,0,0.0,0
2019-12-18 13:48:00-05:00,61.62,61.62,61.62,61.62,219,0.0,0
2019-12-18 15:53:00-05:00,61.56,61.6,61.56,61.6,440,0.0,0
2019-12-19 09:34:00-05:00,61.6,61.6,61.6,61.6,0,0.0,0
2019-12-19 09:37:00-05:00,61.53,61.53,61.53,61.53,418,0.0,0
2019-12-19 10:15:00-05:00,61.55,61.55,61.55,61.55,250,0.0,0
2019-12-19 12:47:00-05:00,61.7,61.7,61.7,61.7,0,0.0,0
2019-12-20 09:30:00-05:00,62.28,62.28,62.28,62.28,150,0.0,0
2019-12-20 09:50:00-05:00,62.1,62.1,62.1,62.1,200,0.0,0
2019-12-20 10:12:00-05:00,62.05,62.05,62.05,62.05,2713,0.0,0
2019-12-20 11:21:00-05:00,62.11,62.11,62.11,62.11,122,0.0,0
2019-12-20 12:21:00-05:00,62.18,62.18,62.18,62.18,100,0.0,0
2019-12-20 12:29:00-05:00,62.1,62.1,62.1,62.1,147,0.0,0
2019-12-20 14:18:00-05:00,62.15,62.15,62.09,62.15,370,0.0,0
2019-12-23 09:30:00-05:00,61.74,61.74,61.74,61.74,0,0.39,0
2019-12-23 09:34:00-05:00,61.77,61.77,61.77,61.77,100,0.0,0
2019-12-23 09:38:00-05:00,61.67,61.67,61.67,61.67,300,0.0,0
2019-12-23 09:49:00-05:00,61.69,61.69,61.69,61.69,303,0.0,0
2019-12-23 12:21:00-05:00,61.68,61.68,61.68,61.68,937,0.0,0
2019-12-23 15:10:00-05:00,61.73,61.84,61.71,61.75,2934,0.0,0
