Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 16:00:00+00:00,100.21,100.21,100.21,100.21,0,0,0
2019-12-17 16:06:00+00:00,100.21,100.21,100.21,100.21,286,0,0
2019-12-17 16:12:00+00:00,100.21,100.21,100.21,100.21,273,0,0
2019-12-17 16:17:00+00:00,100.21,100.21,100.21,100.21,258,0,0
2019-12-17 16:24:00+00:00,100.21,100.21,100.18,100.18,439,0,0
2019-12-18 15:49:00+00:00,100.18,100.18,100.18,100.18,0,0,0
2019-12-18 16:11:00+00:00,100.18,100.18,100.15,100.18,13,0,0
2019-12-19 08:00:00+00:00,100.07,100.07,100.07,100.07,0,0,0
2019-12-19 10:06:00+00:00,100.17,100.17,100.17,100.17,2948,0,0
2019-12-19 16:28:00+00:00,100.13,100.13,100.13,100.13,5000,0,0
2019-12-20 08:09:00+00:00,100.14,100.14,100.14,100.14,0,0,0
2019-12-20 10:55:00+00:00,100.17,100.17,100.17,100.17,6,0,0
2019-12-20 13:53:00+00:00,100.12,100.12,100.12,100.12,5000,0,0
2019-12-20 14:11:00+00:00,100.12,100.12,100.12,100.12,1335,0,0
2019-12-20 14:16:00+00:00,100.13,100.13,100.13,100.13,4000,0,0
2019-12-20 14:19:00+00:00,100.15,100.15,100.15,100.15,12000,0,0
2019-12-20 15:28:00+00:00,101.15,101.15,100.17,100.17,2336,0,0
2019-12-23 10:48:00+00:00,100.13,100.13,100.13,100.13,20523,0,0
2019-12-23 12:01:00+00:00,100.18,100.18,100.18,100.18,6065,0,0
2019-12-23 12:10:00+00:00,100.19,100.19,100.19,100.19,6083,0,0
2019-12-23 15:53:00+00:00,100.19,100.19,100.19,100.19,4000,0,0
