Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,9.38,9.38,9.38,9.38,0,0,0
2019-12-18 13:12:00+01:00,9.39,9.39,9.39,9.39,0,0,0
2019-12-19 09:04:00+01:00,9.38,9.38,9.38,9.38,0,0,0
2019-12-19 13:12:00+01:00,9.34,9.34,9.34,9.34,0,0,0
2019-12-20 09:04:00+01:00,9.36,9.36,9.36,9.36,0,0,0
2019-12-20 13:12:00+01:00,9.42,9.42,9.42,9.42,0,0,0
2019-12-23 09:04:00+01:00,9.45,9.45,9.45,9.45,0,0,0
2019-12-23 09:13:00+01:00,9.44,9.44,9.44,9.44,0,0,0
2019-12-23 13:12:00+01:00,9.44,9.44,9.44,9.44,0,0,0
2019-12-23 17:20:00+01:00,9.47,9.47,9.47,9.47,100,0,0
