Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:22:00+01:00,31.75,31.75,31.75,31.75,0,0,0
2019-12-18 09:04:00+01:00,31.9,31.9,31.9,31.9,63,0,0
2019-12-18 09:34:00+01:00,31.92,31.92,31.92,31.92,290,0,0
2019-12-18 11:05:00+01:00,31.98,31.99,31.98,31.99,2147,0,0
2019-12-18 11:08:00+01:00,32.01,32.01,32.01,32.01,6809,0,0
2019-12-18 11:10:00+01:00,32.01,32.01,32.01,32.01,1714,0,0
2019-12-18 13:12:00+01:00,32.05,32.05,32.05,32.05,0,0,0
2019-12-18 13:17:00+01:00,32.04,32.04,32.04,32.04,11071,0,0
2019-12-18 13:47:00+01:00,32.03,32.03,32.03,32.03,100,0,0
2019-12-18 14:53:00+01:00,32.05,32.05,32.05,32.05,2000,0,0
2019-12-18 15:35:00+01:00,32.01,32.01,32.01,32.01,40,0,0
2019-12-18 15:36:00+01:00,32.02,32.02,32.02,32.02,1,0,0
2019-12-18 15:49:00+01:00,32.06,32.06,32.06,32.06,77,0,0
2019-12-18 16:00:00+01:00,32.06,32.06,32.06,32.06,25,0,0
2019-12-18 16:03:00+01:00,32.06,32.06,32.06,32.06,1834,0,0
2019-12-18 16:33:00+01:00,32.06,32.07,32.06,32.07,6279,0,0
2019-12-18 16:34:00+01:00,32.09,32.09,32.09,32.09,450,0,0
2019-12-18 16:38:00+01:00,32.08,32.08,32.08,32.08,1834,0,0
2019-12-18 16:39:00+01:00,32.08,32.08,32.08,32.08,917,0,0
2019-12-18 16:42:00+01:00,32.07,32.07,32.07,32.07,917,0,0
2019-12-18 16:46:00+01:00,32.05,32.05,32.05,32.05,917,0,0
2019-12-19 09:04:00+01:00,32.03,32.03,32.03,32.03,87,0,0
2019-12-19 09:15:00+01:00,32.04,32.04,32.04,32.04,160,0,0
2019-12-19 10:01:00+01:00,32.02,32.02,32.02,32.02,468,0,0
2019-12-19 11:17:00+01:00,31.99,31.99,31.99,31.99,1701,0,0
2019-12-19 12:47:00+01:00,32.02,32.02,32.02,32.02,71,0,0
2019-12-19 12:48:00+01:00,32.01,32.01,32.01,32.01,917,0,0
2019-12-19 12:51:00+01:00,32.02,32.02,32.02,32.02,917,0,0
2019-12-19 13:12:00+01:00,32.02,32.02,32.02,32.02,0,0,0
2019-12-19 13:13:00+01:00,32.02,32.02,32.02,32.02,4399,0,0
2019-12-19 13:17:00+01:00,32.04,32.04,32.04,32.04,70,0,0
2019-12-19 13:18:00+01:00,32.04,32.04,32.04,32.04,917,0,0
2019-12-19 14:59:00+01:00,32.04,32.04,32.04,32.04,10000,0,0
2019-12-19 15:00:00+01:00,32.04,32.05,32.04,32.05,6509,0,0
2019-12-19 15:03:00+01:00,32.09,32.09,32.09,32.09,1500,0,0
2019-12-19 15:05:00+01:00,32.06,32.06,32.06,32.06,148,0,0
2019-12-19 15:06:00+01:00,32.06,32.06,32.05,32.05,2181,0,0
2019-12-19 15:34:00+01:00,32.04,32.04,32.04,32.04,1695,0,0
2019-12-19 15:37:00+01:00,32.02,32.02,32.02,32.02,1875,0,0
2019-12-19 15:55:00+01:00,32.06,32.07,32.06,32.07,774,0,0
2019-12-19 16:26:00+01:00,32.06,32.06,32.06,32.06,444,0,0
2019-12-19 16:37:00+01:00,32.12,32.12,32.12,32.12,1882,0,0
2019-12-19 17:06:00+01:00,32.07,32.07,32.07,32.07,6,0,0
2019-12-20 09:04:00+01:00,32.14,32.14,32.14,32.14,330,0,0
2019-12-20 09:09:00+01:00,32.13,32.13,32.12,32.12,4001,0,0
2019-12-20 09:28:00+01:00,32.14,32.14,32.14,32.14,1,0,0
2019-12-20 09:29:00+01:00,32.15,32.15,32.15,32.15,5250,0,0
2019-12-20 10:03:00+01:00,32.18,32.18,32.18,32.18,972,0,0
2019-12-20 10:53:00+01:00,32.19,32.19,32.19,32.19,70,0,0
2019-12-20 11:00:00+01:00,32.15,32.15,32.15,32.15,1,0,0
2019-12-20 11:54:00+01:00,32.25,32.25,32.25,32.25,460,0,0
2019-12-20 12:17:00+01:00,32.26,32.26,32.26,32.26,1810,0,0
2019-12-20 12:27:00+01:00,32.29,32.29,32.29,32.29,43,0,0
2019-12-20 12:28:00+01:00,32.29,32.29,32.29,32.29,30,0,0
2019-12-20 12:31:00+01:00,32.26,32.26,32.26,32.26,1707,0,0
2019-12-20 13:12:00+01:00,32.25,32.25,32.25,32.25,0,0,0
2019-12-20 14:05:00+01:00,32.28,32.28,32.28,32.28,15675,0,0
2019-12-20 14:41:00+01:00,32.25,32.25,32.25,32.25,590,0,0
2019-12-20 14:45:00+01:00,32.29,32.29,32.29,32.29,103,0,0
2019-12-20 15:29:00+01:00,32.28,32.28,32.28,32.28,15,0,0
2019-12-20 15:32:00+01:00,32.31,32.31,32.31,32.31,420,0,0
2019-12-20 15:36:00+01:00,32.29,32.29,32.29,32.29,1,0,0
2019-12-20 15:41:00+01:00,32.27,32.27,32.27,32.27,416,0,0
2019-12-20 16:18:00+01:00,32.28,32.28,32.28,32.28,156,0,0
2019-12-20 17:07:00+01:00,32.32,32.32,32.32,32.32,26,0,0
2019-12-20 17:19:00+01:00,32.35,32.35,32.35,32.35,18,0,0
2019-12-23 09:04:00+01:00,32.28,32.28,32.28,32.28,0,0,0
2019-12-23 09:42:00+01:00,32.26,32.26,32.26,32.26,0,0,0
2019-12-23 10:57:00+01:00,32.3,32.3,32.3,32.3,147,0,0
2019-12-23 11:00:00+01:00,32.3,32.3,32.3,32.3,56,0,0
2019-12-23 13:04:00+01:00,32.32,32.32,32.32,32.32,1638,0,0
2019-12-23 13:12:00+01:00,32.36,32.36,32.36,32.36,0,0,0
2019-12-23 13:52:00+01:00,32.34,32.34,32.34,32.34,1970,0,0
2019-12-23 14:15:00+01:00,32.35,32.35,32.35,32.35,75,0,0
2019-12-23 14:50:00+01:00,32.35,32.35,32.35,32.35,76,0,0
2019-12-23 14:54:00+01:00,32.35,32.35,32.35,32.35,183,0,0
2019-12-23 15:08:00+01:00,32.34,32.34,32.34,32.34,62,0,0
2019-12-23 15:36:00+01:00,32.37,32.37,32.37,32.37,168,0,0
2019-12-23 15:50:00+01:00,32.35,32.35,32.35,32.35,50,0,0
2019-12-23 16:01:00+01:00,32.3,32.3,32.3,32.3,495,0,0
2019-12-23 17:17:00+01:00,32.34,32.34,32.34,32.34,0,0,0
