Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 08:14:00+01:00,101.1,101.1,101.1,101.1,0,0,0
2019-12-18 08:36:00+01:00,101.2,101.2,101.2,101.2,0,0,0
2019-12-18 09:08:00+01:00,101.18,101.18,101.18,101.18,0,0,0
2019-12-18 10:37:00+01:00,101.78,101.78,101.78,101.78,0,0,0
2019-12-19 08:11:00+01:00,101.56,101.56,101.56,101.56,0,0,0
2019-12-19 08:13:00+01:00,101.54,101.54,101.54,101.54,0,0,0
2019-12-19 09:08:00+01:00,101.36,101.36,101.36,101.36,0,0,0
2019-12-19 10:36:00+01:00,101.28,101.28,101.28,101.28,0,0,0
2019-12-19 12:13:00+01:00,101.18,101.18,101.18,101.18,0,0,0
2019-12-20 08:10:00+01:00,101.86,101.86,101.86,101.86,0,0,0
2019-12-20 10:36:00+01:00,101.98,101.98,101.98,101.98,0,0,0
2019-12-20 10:51:00+01:00,101.98,101.98,101.98,101.98,35,0,0
2019-12-23 08:06:00+01:00,102.38,102.38,102.38,102.38,0,0,0
2019-12-23 08:36:00+01:00,102.42,102.42,102.42,102.42,0,0,0
2019-12-23 09:08:00+01:00,102.58,102.58,102.58,102.58,0,0,0
2019-12-23 12:13:00+01:00,102.96,102.96,102.96,102.96,0,0,0
