Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 12:09:00+01:00,22.59,22.59,22.59,22.59,0,0,0
2019-12-18 09:21:00+01:00,22.65,22.65,22.65,22.65,0,0,0
2019-12-18 11:14:00+01:00,22.6,22.6,22.6,22.6,1850,0,0
2019-12-19 10:37:00+01:00,22.47,22.47,22.47,22.47,0,0,0
2019-12-20 08:19:00+01:00,22.44,22.44,22.44,22.44,0,0,0
2019-12-23 09:50:00+01:00,22.42,22.42,22.42,22.42,0,0,0
2019-12-27 09:20:00+01:00,22.38,22.38,22.38,22.38,0,0,0
2019-12-30 08:34:00+01:00,22.34,22.34,22.34,22.34,0,0,0
2020-01-02 09:21:00+01:00,22.28,22.28,22.28,22.28,0,0,0
2020-01-03 09:34:00+01:00,22.3,22.3,22.3,22.3,0,0,0
2020-01-06 10:08:00+01:00,22.14,22.14,22.14,22.14,0,0,0
