Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:21:00+01:00,75.07,75.07,75.07,75.07,0,0,0
2019-12-18 18:26:00+01:00,75.44,75.44,75.44,75.44,35,0,0
2019-12-19 10:37:00+01:00,75.18,75.18,75.18,75.18,0,0,0
2019-12-20 08:03:00+01:00,75.81,75.81,75.81,75.81,25,0,0
2019-12-20 09:04:00+01:00,75.74,75.74,75.74,75.74,300,0,0
2019-12-23 09:50:00+01:00,76.34,76.34,76.34,76.34,0,0,0
2019-12-23 12:33:00+01:00,76.52,76.52,76.52,76.52,30,0,0
2019-12-23 12:52:00+01:00,76.52,76.52,76.52,76.52,1500,0,0
2019-12-23 14:18:00+01:00,76.62,76.62,76.62,76.62,50,0,0
2019-12-23 14:40:00+01:00,76.67,76.67,76.67,76.67,50,0,0
2019-12-23 15:42:00+01:00,76.45,76.45,76.45,76.45,5,0,0
