Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 13:21:00-05:00,20.51,20.51,20.51,20.51,0,0,0
2019-12-16 13:51:00-05:00,20.51,20.51,20.51,20.51,100,0,0
2019-12-16 13:59:00-05:00,20.51,20.51,20.51,20.51,187,0,0
2019-12-16 14:21:00-05:00,20.51,20.51,20.51,20.51,100,0,0
2019-12-16 15:26:00-05:00,20.53,20.53,20.53,20.53,100,0,0
2019-12-16 15:32:00-05:00,20.53,20.53,20.53,20.53,100,0,0
2019-12-16 15:38:00-05:00,20.53,20.53,20.53,20.53,100,0,0
2019-12-16 15:44:00-05:00,20.53,20.53,20.53,20.53,100,0,0
2019-12-16 15:49:00-05:00,20.55,20.56,20.55,20.56,1809,0,0
2019-12-19 11:29:00-05:00,20.61,20.62,20.61,20.62,0,0,0
2019-12-19 15:59:00-05:00,20.71,20.71,20.71,20.71,300,0,0
2019-12-20 09:30:00-05:00,20.78,20.78,20.78,20.78,0,0,0
2019-12-20 10:36:00-05:00,20.95,20.95,20.92,20.92,411,0,0
2019-12-24 12:03:00-05:00,20.73,20.73,20.69,20.72,326,0,0
2019-12-24 12:03:00-05:00,20.73,20.73,20.69,20.72,326,0,0
2019-12-31 09:30:00-05:00,20.81,20.81,20.81,20.81,878,0,0
2020-01-03 10:00:00-05:00,20.29,20.35,20.29,20.33,0,0,0
2020-01-03 10:03:00-05:00,20.52,20.52,20.52,20.52,1413,0,0
2020-01-08 15:49:00-05:00,20.28,20.34,20.28,20.34,136,0,0
