Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:09:00+01:00,124.16,124.16,124.16,124.16,0,0,0
2019-12-16 17:11:00+01:00,124.14,124.14,124.14,124.14,60,0,0
2019-12-16 17:15:00+01:00,124.07,124.07,124.07,124.07,81,0,0
2019-12-16 17:19:00+01:00,124.06,124.06,124.06,124.06,50,0,0
2019-12-16 17:29:00+01:00,124.08,124.08,124.08,124.08,200,0,0
2019-12-17 09:04:00+01:00,124.32,124.33,124.32,124.33,0,0,0
2019-12-17 09:12:00+01:00,124.41,124.41,124.41,124.41,6,0,0
2019-12-17 09:13:00+01:00,124.41,124.41,124.41,124.41,37,0,0
2019-12-17 09:18:00+01:00,124.37,124.37,124.37,124.37,30,0,0
2019-12-17 09:28:00+01:00,124.57,124.62,124.57,124.62,242,0,0
2019-12-17 09:35:00+01:00,124.59,124.59,124.59,124.59,120,0,0
2019-12-17 09:44:00+01:00,124.58,124.58,124.58,124.58,235,0,0
2019-12-17 09:46:00+01:00,124.59,124.59,124.59,124.59,29,0,0
2019-12-17 09:52:00+01:00,124.56,124.6,124.56,124.6,553,0,0
2019-12-17 09:56:00+01:00,124.5,124.5,124.5,124.5,20,0,0
2019-12-17 09:59:00+01:00,124.47,124.47,124.47,124.47,120,0,0
2019-12-17 10:00:00+01:00,124.42,124.42,124.42,124.42,45,0,0
2019-12-17 10:02:00+01:00,124.47,124.47,124.47,124.47,8,0,0
2019-12-17 10:07:00+01:00,124.43,124.43,124.43,124.43,300,0,0
2019-12-17 10:19:00+01:00,124.41,124.41,124.41,124.41,66,0,0
2019-12-17 10:20:00+01:00,124.41,124.41,124.41,124.41,4,0,0
2019-12-17 10:21:00+01:00,124.41,124.41,124.41,124.41,40,0,0
2019-12-17 10:25:00+01:00,124.43,124.43,124.43,124.43,25,0,0
2019-12-17 10:35:00+01:00,124.36,124.36,124.36,124.36,85,0,0
2019-12-17 10:46:00+01:00,124.39,124.39,124.39,124.39,8,0,0
2019-12-17 10:54:00+01:00,124.41,124.41,124.41,124.41,25,0,0
2019-12-17 11:07:00+01:00,124.39,124.39,124.39,124.39,140,0,0
2019-12-17 11:12:00+01:00,124.37,124.37,124.37,124.37,30,0,0
2019-12-17 11:19:00+01:00,124.33,124.33,124.32,124.32,1050,0,0
2019-12-17 11:24:00+01:00,124.34,124.35,124.34,124.35,400,0,0
2019-12-17 11:28:00+01:00,124.31,124.31,124.31,124.31,40,0,0
2019-12-17 11:31:00+01:00,124.29,124.29,124.29,124.29,50,0,0
2019-12-17 11:43:00+01:00,124.33,124.33,124.33,124.33,65,0,0
2019-12-17 11:45:00+01:00,124.36,124.36,124.36,124.36,100,0,0
2019-12-17 11:49:00+01:00,124.35,124.35,124.35,124.35,20,0,0
2019-12-17 12:16:00+01:00,124.35,124.35,124.35,124.35,21,0,0
2019-12-17 12:21:00+01:00,124.33,124.33,124.33,124.33,100,0,0
2019-12-17 12:38:00+01:00,124.26,124.26,124.26,124.26,20,0,0
2019-12-17 12:42:00+01:00,124.22,124.24,124.22,124.24,302,0,0
2019-12-17 12:43:00+01:00,124.23,124.23,124.23,124.23,32,0,0
2019-12-17 13:19:00+01:00,124.24,124.24,124.23,124.23,160,0,0
2019-12-17 13:21:00+01:00,124.24,124.24,124.24,124.24,75,0,0
2019-12-17 13:42:00+01:00,124.2,124.2,124.2,124.2,40,0,0
