Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:15:00+01:00,11.52,11.52,11.52,11.52,0,0,0
2019-12-18 09:04:00+01:00,11.51,11.51,11.51,11.51,0,0,0
2019-12-18 11:32:00+01:00,11.5,11.5,11.5,11.5,1,0,0
2019-12-18 13:01:00+01:00,11.5,11.5,11.5,11.5,32,0,0
2019-12-18 13:12:00+01:00,11.49,11.49,11.49,11.49,0,0,0
2019-12-18 17:13:00+01:00,11.49,11.49,11.49,11.49,1775,0,0
2019-12-19 09:04:00+01:00,11.48,11.48,11.48,11.48,0,0,0
2019-12-19 13:12:00+01:00,11.49,11.49,11.49,11.49,0,0,0
2019-12-20 09:04:00+01:00,11.43,11.43,11.43,11.43,0,0,0
2019-12-20 09:43:00+01:00,11.44,11.44,11.44,11.44,600,0,0
2019-12-20 13:12:00+01:00,11.41,11.41,11.41,11.41,0,0,0
2019-12-23 09:04:00+01:00,11.33,11.33,11.33,11.33,0,0,0
2019-12-23 10:11:00+01:00,11.33,11.33,11.33,11.33,365,0,0
2019-12-23 11:22:00+01:00,11.34,11.34,11.34,11.34,104,0,0
2019-12-23 13:12:00+01:00,11.31,11.31,11.31,11.31,0,0,0
2019-12-23 14:54:00+01:00,11.31,11.31,11.31,11.31,3280,0,0
