Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 16:19:00+00:00,71.66,71.66,71.66,71.66,0,0,0
2019-12-19 13:33:00+00:00,71.53,71.53,71.53,71.53,0,0,0
2019-12-19 14:30:00+00:00,71.59,71.59,71.59,71.59,12,0,0
2019-12-19 16:11:00+00:00,71.42,71.43,71.42,71.43,18,0,0
2019-12-20 12:50:00+00:00,71.4,71.4,71.4,71.4,0,0,0
2019-12-20 13:19:00+00:00,71.4,71.4,71.4,71.4,432,0,0
2019-12-20 15:31:00+00:00,71.24,71.24,71.24,71.24,33,0,0
2019-12-20 16:17:00+00:00,0.0,71.72,0.0,71.61,35,0,0
2019-12-20 16:18:00+00:00,71.72,71.72,71.61,71.61,0,0,0
2019-12-23 14:32:00+00:00,72.01,72.01,71.8,71.8,0,0,0
