Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,12.36,12.36,12.36,12.36,0,0,0
2019-12-18 13:12:00+01:00,12.4,12.4,12.4,12.4,0,0,0
2019-12-18 14:48:00+01:00,12.43,12.43,12.43,12.43,1507,0,0
2019-12-18 17:17:00+01:00,12.41,12.41,12.41,12.41,980,0,0
2019-12-18 17:21:00+01:00,12.41,12.41,12.41,12.41,475,0,0
2019-12-19 09:04:00+01:00,12.51,12.51,12.51,12.51,0,0,0
2019-12-19 10:20:00+01:00,12.52,12.52,12.52,12.52,1000,0,0
2019-12-19 11:03:00+01:00,12.48,12.48,12.48,12.48,15,0,0
2019-12-19 11:08:00+01:00,12.48,12.48,12.48,12.48,1200,0,0
2019-12-19 12:43:00+01:00,12.45,12.45,12.45,12.45,195,0,0
2019-12-19 12:46:00+01:00,12.45,12.45,12.45,12.45,336,0,0
2019-12-19 13:12:00+01:00,12.48,12.48,12.48,12.48,0,0,0
2019-12-19 14:35:00+01:00,12.42,12.42,12.42,12.42,2946,0,0
2019-12-19 15:56:00+01:00,12.45,12.45,12.45,12.45,500,0,0
2019-12-20 09:04:00+01:00,12.49,12.49,12.49,12.49,0,0,0
2019-12-20 10:47:00+01:00,12.53,12.53,12.53,12.53,10,0,0
2019-12-20 12:50:00+01:00,12.58,12.58,12.58,12.58,800,0,0
2019-12-20 13:12:00+01:00,12.56,12.56,12.56,12.56,0,0,0
2019-12-20 13:50:00+01:00,12.58,12.58,12.58,12.58,960,0,0
2019-12-20 15:32:00+01:00,12.59,12.59,12.59,12.59,445,0,0
2019-12-20 16:58:00+01:00,12.56,12.56,12.56,12.56,0,0,0
2019-12-23 09:04:00+01:00,12.6,12.6,12.6,12.6,0,0,0
2019-12-23 09:19:00+01:00,12.56,12.56,12.56,12.56,80,0,0
2019-12-23 09:47:00+01:00,12.54,12.54,12.54,12.54,170,0,0
2019-12-23 10:19:00+01:00,12.56,12.57,12.56,12.57,18671,0,0
2019-12-23 10:39:00+01:00,12.55,12.55,12.55,12.55,100,0,0
2019-12-23 10:50:00+01:00,12.54,12.55,12.54,12.55,238,0,0
2019-12-23 11:54:00+01:00,12.56,12.56,12.56,12.56,35,0,0
2019-12-23 13:12:00+01:00,12.58,12.58,12.58,12.58,0,0,0
2019-12-23 14:27:00+01:00,12.58,12.58,12.58,12.58,19674,0,0
2019-12-23 14:39:00+01:00,12.6,12.6,12.6,12.6,860,0,0
2019-12-23 15:10:00+01:00,12.56,12.59,12.56,12.59,743,0,0
2019-12-23 15:15:00+01:00,12.58,12.58,12.58,12.58,100,0,0
2019-12-23 16:41:00+01:00,12.6,12.6,12.6,12.6,100,0,0
2019-12-23 16:42:00+01:00,12.63,12.63,12.63,12.63,23708,0,0
2019-12-23 16:43:00+01:00,12.63,12.63,12.63,12.63,399,0,0
2019-12-23 16:44:00+01:00,12.63,12.63,12.63,12.63,26192,0,0
2019-12-23 16:46:00+01:00,12.6,12.6,12.6,12.6,3000,0,0
2019-12-23 16:47:00+01:00,12.63,12.63,12.63,12.63,7000,0,0
2019-12-23 16:50:00+01:00,12.64,12.64,12.64,12.64,25218,0,0
2019-12-23 16:55:00+01:00,12.65,12.65,12.65,12.65,2000,0,0
2019-12-23 17:11:00+01:00,12.6,12.6,12.6,12.6,200,0,0
