Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:39:00-05:00,37.57,37.57,37.57,37.57,0.0,0.0,0
2019-12-17 12:55:00-05:00,37.57,37.57,37.57,37.57,466.0,0.0,0
2019-12-17 13:05:00-05:00,37.6,37.6,37.6,37.6,462.0,0.0,0
2019-12-17 13:07:00-05:00,37.6,37.6,37.6,37.6,200.0,0.0,0
2019-12-17 13:23:00-05:00,37.59,37.59,37.59,37.59,100.0,0.0,0
2019-12-17 13:30:00-05:00,37.58,37.58,37.58,37.58,234.0,0.0,0
2019-12-17 13:43:00-05:00,37.59,37.59,37.59,37.59,601.0,0.0,0
2019-12-17 13:53:00-05:00,37.57,37.57,37.57,37.57,1330.0,0.0,0
2019-12-17 14:00:00-05:00,37.59,37.59,37.59,37.59,100.0,0.0,0
2019-12-17 14:34:00-05:00,37.59,37.59,37.59,37.59,201.0,0.0,0
2019-12-17 14:55:00-05:00,37.56,37.56,37.56,37.56,287.0,0.0,0
2019-12-17 15:17:00-05:00,37.56,37.56,37.56,37.56,126.0,0.0,0
2019-12-17 15:39:00-05:00,37.56,37.56,37.56,37.56,970.0,0.0,0
2019-12-17 15:47:00-05:00,37.56,37.56,37.56,37.56,100.0,0.0,0
2019-12-17 15:53:00-05:00,37.54,37.54,37.54,37.54,202.0,0.0,0
2019-12-17 15:59:00-05:00,37.56,37.56,37.56,37.56,6731.0,0.0,0
2019-12-18 09:30:00-05:00,37.55,37.55,37.55,37.55,0.0,0.0,0
2019-12-18 10:05:00-05:00,37.48,37.48,37.48,37.48,109.0,0.0,0
2019-12-18 10:27:00-05:00,37.47,37.47,37.47,37.47,177.0,0.0,0
2019-12-18 11:31:00-05:00,37.54,37.54,37.53,37.54,1532.0,0.0,0
2019-12-18 12:39:00-05:00,37.49,37.49,37.49,37.49,400.0,0.0,0
2019-12-18 13:19:00-05:00,37.55,37.55,37.5,37.5,1967.0,0.0,0
2019-12-18 13:34:00-05:00,37.52,37.52,37.52,37.52,100.0,0.0,0
2019-12-18 13:35:00-05:00,37.53,37.53,37.53,37.53,158.0,0.0,0
2019-12-18 13:59:00-05:00,37.54,37.54,37.54,37.54,1349.0,0.0,0
2019-12-18 14:34:00-05:00,37.54,37.54,37.54,37.54,118.0,0.0,0
2019-12-18 15:17:00-05:00,37.52,37.52,37.52,37.52,140.0,0.0,0
2019-12-18 15:36:00-05:00,37.53,37.53,37.53,37.53,289.0,0.0,0
2019-12-18 15:48:00-05:00,37.56,37.56,37.56,37.56,300.0,0.0,0
2019-12-18 15:59:00-05:00,37.54,37.54,37.54,37.54,7200.0,0.0,0
2019-12-19 09:30:00-05:00,37.56,37.56,37.56,37.56,0.0,0.0,0
2019-12-19 09:41:00-05:00,37.6,37.6,37.59,37.59,400.0,0.0,0
2019-12-19 09:43:00-05:00,37.6,37.6,37.6,37.6,300.0,0.0,0
2019-12-19 09:59:00-05:00,37.56,37.56,37.56,37.56,223.0,0.0,0
2019-12-19 10:49:00-05:00,37.55,37.55,37.55,37.55,210.0,0.0,0
2019-12-19 11:11:00-05:00,37.55,37.55,37.55,37.55,200.0,0.0,0
2019-12-19 11:13:00-05:00,37.54,37.54,37.54,37.54,232.0,0.0,0
2019-12-19 14:35:00-05:00,37.6,37.6,37.6,37.6,100.0,0.0,0
2019-12-19 15:04:00-05:00,37.61,37.61,37.61,37.61,130.0,0.0,0
2019-12-19 15:14:00-05:00,37.6,37.6,37.6,37.6,664.0,0.0,0
2019-12-19 15:49:00-05:00,37.54,37.54,37.54,37.54,362.0,0.0,0
2019-12-19 15:59:00-05:00,37.58,37.58,37.58,37.58,4617.0,0.0,0
2019-12-20 09:30:00-05:00,37.7,37.7,37.7,37.7,0.0,0.0,0
2019-12-20 09:51:00-05:00,37.66,37.66,37.66,37.66,180.0,0.0,0
2019-12-20 09:59:00-05:00,37.66,37.66,37.66,37.66,334.0,0.0,0
2019-12-20 10:29:00-05:00,37.67,37.67,37.67,37.67,150.0,0.0,0
2019-12-20 12:41:00-05:00,37.77,37.77,37.77,37.77,163.0,0.0,0
2019-12-20 13:01:00-05:00,37.76,37.76,37.76,37.76,488.0,0.0,0
2019-12-20 13:10:00-05:00,37.76,37.76,37.76,37.76,349.0,0.0,0
2019-12-20 13:25:00-05:00,37.75,37.75,37.75,37.75,1575.0,0.0,0
2019-12-20 13:34:00-05:00,37.74,37.74,37.74,37.74,101.0,0.0,0
2019-12-20 13:52:00-05:00,37.71,37.71,37.71,37.71,140.0,0.0,0
2019-12-20 13:55:00-05:00,37.72,37.72,37.72,37.72,429.0,0.0,0
2019-12-20 14:03:00-05:00,37.71,37.71,37.71,37.71,201.0,0.0,0
