Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:20:00+01:00,67.39,67.39,67.39,67.39,40,0,0
2019-12-18 09:00:00+01:00,67.55,67.55,67.55,67.55,1338,0,0
2019-12-18 09:07:00+01:00,67.73,67.73,67.73,67.73,500,0,0
2019-12-18 13:24:00+01:00,67.98,67.98,67.98,67.98,9750,0,0
2019-12-19 09:01:00+01:00,68.02,68.02,68.02,68.02,586,0,0
2019-12-19 09:48:00+01:00,68.09,68.09,68.09,68.09,387,0,0
2019-12-19 10:13:00+01:00,68.19,68.19,68.19,68.19,3500,0,0
2019-12-19 11:14:00+01:00,68.03,68.03,68.03,68.03,1875,0,0
2019-12-19 14:36:00+01:00,68.03,68.03,68.03,68.03,0,0,0
2019-12-19 15:03:00+01:00,68.1,68.1,68.1,68.1,5848,0,0
2019-12-19 16:07:00+01:00,67.92,67.92,67.92,67.92,1744,0,0
2019-12-20 09:00:00+01:00,68.52,68.52,68.52,68.52,81,0,0
2019-12-20 11:44:00+01:00,68.23,68.23,68.23,68.23,238,0,0
2019-12-20 15:48:00+01:00,68.27,68.27,68.27,68.27,819,0,0
2019-12-20 17:19:00+01:00,68.42,68.42,68.42,68.42,485,0,0
2019-12-23 10:40:00+01:00,68.17,68.17,68.17,68.17,77,0,0
2019-12-23 11:01:00+01:00,68.28,68.29,68.28,68.29,2900,0,0
2019-12-23 15:41:00+01:00,68.09,68.09,68.09,68.09,3081,0,0
