Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:06:00+01:00,43.35,43.35,43.35,43.35,0,0,0
2019-12-17 17:12:00+01:00,43.34,43.34,43.34,43.34,230,0,0
2019-12-17 17:15:00+01:00,43.34,43.34,43.34,43.34,63,0,0
2019-12-17 17:21:00+01:00,43.35,43.35,43.35,43.35,275,0,0
2019-12-18 09:04:00+01:00,43.44,43.44,43.44,43.44,0,0,0
2019-12-18 09:10:00+01:00,43.46,43.46,43.46,43.46,25,0,0
2019-12-18 09:25:00+01:00,43.46,43.46,43.46,43.46,0,0,0
2019-12-18 09:29:00+01:00,43.42,43.42,43.42,43.42,210,0,0
2019-12-18 09:36:00+01:00,43.44,43.44,43.44,43.44,7,0,0
2019-12-18 09:40:00+01:00,43.46,43.46,43.46,43.46,230,0,0
2019-12-18 09:41:00+01:00,43.46,43.46,43.46,43.46,11,0,0
2019-12-18 09:45:00+01:00,43.47,43.47,43.47,43.47,12,0,0
2019-12-18 09:46:00+01:00,43.48,43.49,43.48,43.49,346,0,0
2019-12-18 10:00:00+01:00,43.43,43.43,43.38,43.38,1200,0,0
2019-12-18 10:10:00+01:00,43.47,43.47,43.47,43.47,50,0,0
2019-12-18 10:12:00+01:00,43.4,43.4,43.4,43.4,1155,0,0
2019-12-18 10:19:00+01:00,43.43,43.43,43.43,43.43,256,0,0
2019-12-18 10:24:00+01:00,43.4,43.4,43.38,43.38,58,0,0
2019-12-18 10:25:00+01:00,43.38,43.42,43.38,43.42,96,0,0
2019-12-18 10:41:00+01:00,43.4,43.4,43.4,43.4,9,0,0
2019-12-18 10:51:00+01:00,43.42,43.43,43.42,43.43,115,0,0
2019-12-18 10:57:00+01:00,43.42,43.43,43.42,43.43,824,0,0
2019-12-18 10:58:00+01:00,43.49,43.49,43.43,43.43,860,0,0
2019-12-18 10:59:00+01:00,43.42,43.49,43.42,43.49,700,0,0
2019-12-18 11:04:00+01:00,43.41,43.41,43.41,43.41,3,0,0
2019-12-18 11:11:00+01:00,43.43,43.47,43.43,43.47,280,0,0
2019-12-18 11:13:00+01:00,43.44,43.44,43.44,43.44,52,0,0
2019-12-18 11:15:00+01:00,43.45,43.45,43.45,43.45,5,0,0
2019-12-18 11:17:00+01:00,43.44,43.44,43.44,43.44,365,0,0
2019-12-18 11:20:00+01:00,43.39,43.4,43.39,43.4,35,0,0
2019-12-18 11:37:00+01:00,43.37,43.38,43.37,43.38,35,0,0
2019-12-18 11:50:00+01:00,43.38,43.38,43.38,43.38,26,0,0
2019-12-18 11:52:00+01:00,43.38,43.38,43.38,43.38,324,0,0
2019-12-18 12:07:00+01:00,43.42,43.42,43.42,43.42,2,0,0
2019-12-18 12:09:00+01:00,43.38,43.38,43.33,43.33,378,0,0
2019-12-18 12:19:00+01:00,43.37,43.37,43.37,43.37,127,0,0
2019-12-18 12:26:00+01:00,43.39,43.39,43.39,43.39,26,0,0
2019-12-18 12:27:00+01:00,43.4,43.4,43.4,43.4,1,0,0
2019-12-18 12:35:00+01:00,43.38,43.38,43.38,43.38,12,0,0
2019-12-18 12:37:00+01:00,43.38,43.38,43.38,43.38,700,0,0
2019-12-18 12:54:00+01:00,43.34,43.34,43.34,43.34,15,0,0
2019-12-18 13:12:00+01:00,43.34,43.34,43.34,43.34,23,0,0
2019-12-18 13:33:00+01:00,43.34,43.34,43.34,43.34,5,0,0
2019-12-18 13:41:00+01:00,43.34,43.35,43.34,43.35,450,0,0
2019-12-18 13:48:00+01:00,43.35,43.35,43.35,43.35,26,0,0
2019-12-18 14:03:00+01:00,43.35,43.35,43.35,43.35,134,0,0
2019-12-18 14:27:00+01:00,43.38,43.38,43.38,43.38,6,0,0
2019-12-18 14:40:00+01:00,43.38,43.4,43.38,43.4,300,0,0
2019-12-18 14:44:00+01:00,43.37,43.37,43.37,43.37,26,0,0
2019-12-18 14:45:00+01:00,43.39,43.39,43.39,43.39,100,0,0
2019-12-18 14:47:00+01:00,43.37,43.37,43.37,43.37,44,0,0
2019-12-18 15:04:00+01:00,43.37,43.37,43.37,43.37,10,0,0
2019-12-18 15:13:00+01:00,43.38,43.38,43.38,43.38,6,0,0
2019-12-18 15:18:00+01:00,43.38,43.43,43.38,43.43,66,0,0
2019-12-18 15:25:00+01:00,43.4,43.42,43.4,43.42,99,0,0
2019-12-18 15:42:00+01:00,43.38,43.38,43.38,43.38,13,0,0
2019-12-18 15:46:00+01:00,43.35,43.35,43.35,43.35,50,0,0
2019-12-18 15:47:00+01:00,43.33,43.33,43.33,43.33,65,0,0
2019-12-18 15:48:00+01:00,43.33,43.33,43.33,43.33,315,0,0
2019-12-18 15:50:00+01:00,43.3,43.3,43.3,43.3,165,0,0
2019-12-18 16:00:00+01:00,43.26,43.26,43.26,43.26,46,0,0
2019-12-18 16:24:00+01:00,43.27,43.27,43.27,43.27,5,0,0
2019-12-18 16:32:00+01:00,43.26,43.26,43.26,43.26,20,0,0
2019-12-18 16:33:00+01:00,43.25,43.25,43.25,43.25,25,0,0
2019-12-18 16:34:00+01:00,43.24,43.24,43.24,43.24,479,0,0
2019-12-18 17:07:00+01:00,43.29,43.31,43.29,43.31,208,0,0
2019-12-18 17:13:00+01:00,43.28,43.3,43.28,43.3,1300,0,0
2019-12-18 17:20:00+01:00,43.33,43.33,43.33,43.33,120,0,0
2019-12-18 17:26:00+01:00,43.26,43.29,43.24,43.29,2500,0,0
2019-12-19 09:04:00+01:00,43.3,43.3,43.3,43.3,0,0,0
2019-12-19 09:14:00+01:00,43.33,43.33,43.33,43.33,15,0,0
2019-12-19 09:22:00+01:00,43.4,43.41,43.4,43.41,100,0,0
2019-12-19 09:55:00+01:00,43.35,43.36,43.35,43.36,56,0,0
2019-12-19 10:18:00+01:00,43.34,43.34,43.34,43.34,620,0,0
2019-12-19 10:26:00+01:00,43.35,43.35,43.35,43.35,700,0,0
2019-12-19 10:29:00+01:00,43.3,43.3,43.3,43.3,2500,0,0
2019-12-19 10:41:00+01:00,43.34,43.35,43.34,43.35,34,0,0
2019-12-19 10:52:00+01:00,43.26,43.26,43.25,43.25,115,0,0
2019-12-19 11:00:00+01:00,43.34,43.35,43.34,43.35,80,0,0
2019-12-19 11:05:00+01:00,43.28,43.28,43.28,43.28,19,0,0
2019-12-19 11:10:00+01:00,43.33,43.33,43.33,43.33,13,0,0
2019-12-19 11:19:00+01:00,43.27,43.27,43.27,43.27,1181,0,0
2019-12-19 11:25:00+01:00,43.34,43.35,43.34,43.35,140,0,0
2019-12-19 11:29:00+01:00,43.34,43.35,43.34,43.35,2300,0,0
2019-12-19 11:34:00+01:00,43.35,43.35,43.35,43.35,470,0,0
2019-12-19 11:40:00+01:00,43.3,43.3,43.3,43.3,22,0,0
2019-12-19 12:02:00+01:00,43.3,43.3,43.3,43.3,5,0,0
2019-12-19 12:06:00+01:00,43.3,43.3,43.3,43.3,24,0,0
2019-12-19 12:07:00+01:00,43.33,43.33,43.33,43.33,25,0,0
2019-12-19 12:08:00+01:00,43.33,43.33,43.33,43.33,336,0,0
2019-12-19 12:17:00+01:00,43.35,43.35,43.35,43.35,3,0,0
2019-12-19 12:41:00+01:00,43.3,43.3,43.3,43.3,116,0,0
2019-12-19 13:02:00+01:00,43.31,43.31,43.31,43.31,74,0,0
2019-12-19 13:24:00+01:00,43.37,43.37,43.37,43.37,100,0,0
2019-12-19 13:39:00+01:00,43.35,43.35,43.35,43.35,3,0,0
2019-12-19 13:45:00+01:00,43.35,43.36,43.35,43.36,240,0,0
2019-12-19 14:02:00+01:00,43.34,43.34,43.34,43.34,10,0,0
2019-12-19 14:07:00+01:00,43.33,43.33,43.33,43.33,40,0,0
2019-12-19 14:16:00+01:00,43.31,43.31,43.31,43.31,250,0,0
2019-12-19 14:34:00+01:00,43.3,43.3,43.3,43.3,1483,0,0
2019-12-19 15:14:00+01:00,43.35,43.35,43.35,43.35,750,0,0
2019-12-19 15:19:00+01:00,43.31,43.31,43.29,43.29,260,0,0
2019-12-19 15:38:00+01:00,43.35,43.35,43.35,43.35,400,0,0
2019-12-19 15:39:00+01:00,43.35,43.35,43.35,43.35,159,0,0
2019-12-19 15:44:00+01:00,43.35,43.35,43.35,43.35,115,0,0
2019-12-19 15:52:00+01:00,43.35,43.35,43.35,43.35,250,0,0
2019-12-19 16:00:00+01:00,43.35,43.35,43.35,43.35,5000,0,0
2019-12-19 16:19:00+01:00,43.35,43.35,43.35,43.35,1124,0,0
2019-12-19 16:24:00+01:00,43.35,43.35,43.35,43.35,2108,0,0
2019-12-19 16:43:00+01:00,43.36,43.37,43.36,43.37,93,0,0
2019-12-19 16:44:00+01:00,43.35,43.35,43.35,43.35,50,0,0
2019-12-19 16:49:00+01:00,43.35,43.35,43.35,43.35,100,0,0
2019-12-19 16:51:00+01:00,43.35,43.35,43.35,43.35,30,0,0
2019-12-19 16:53:00+01:00,43.34,43.34,43.34,43.34,1617,0,0
2019-12-19 16:55:00+01:00,43.32,43.32,43.32,43.32,7,0,0
2019-12-19 16:56:00+01:00,43.31,43.31,43.31,43.31,169,0,0
2019-12-19 16:58:00+01:00,43.26,43.27,43.26,43.27,345,0,0
2019-12-20 09:04:00+01:00,43.4,43.4,43.4,43.4,0,0,0
2019-12-20 09:12:00+01:00,43.37,43.37,43.37,43.37,60,0,0
2019-12-20 09:31:00+01:00,43.32,43.33,43.32,43.33,50,0,0
2019-12-20 09:54:00+01:00,43.38,43.39,43.38,43.39,1100,0,0
2019-12-20 09:58:00+01:00,43.38,43.38,43.38,43.38,26,0,0
2019-12-20 09:59:00+01:00,43.38,43.38,43.38,43.38,20,0,0
2019-12-20 10:11:00+01:00,43.4,43.42,43.4,43.42,450,0,0
2019-12-20 10:32:00+01:00,43.33,43.33,43.31,43.31,83,0,0
2019-12-20 10:33:00+01:00,43.38,43.39,43.38,43.39,522,0,0
2019-12-20 10:45:00+01:00,43.31,43.31,43.31,43.31,355,0,0
2019-12-20 10:48:00+01:00,43.35,43.35,43.35,43.35,5,0,0
2019-12-20 10:53:00+01:00,43.36,43.37,43.36,43.37,65,0,0
2019-12-20 10:59:00+01:00,43.32,43.32,43.29,43.3,205,0,0
2019-12-20 11:08:00+01:00,43.37,43.37,43.37,43.37,115,0,0
2019-12-20 11:17:00+01:00,43.3,43.3,43.3,43.3,5,0,0
2019-12-20 11:18:00+01:00,43.37,43.38,43.37,43.38,300,0,0
2019-12-20 11:35:00+01:00,43.38,43.38,43.38,43.38,15,0,0
2019-12-20 11:40:00+01:00,43.35,43.35,43.35,43.35,3,0,0
2019-12-20 11:57:00+01:00,43.42,43.42,43.42,43.42,52,0,0
2019-12-20 12:03:00+01:00,43.35,43.35,43.35,43.35,1,0,0
2019-12-20 12:05:00+01:00,43.35,43.35,43.34,43.34,500,0,0
2019-12-20 12:19:00+01:00,43.42,43.42,43.42,43.42,84,0,0
2019-12-20 12:29:00+01:00,43.4,43.4,43.4,43.4,1,0,0
2019-12-20 12:46:00+01:00,43.46,43.46,43.46,43.46,115,0,0
2019-12-20 12:49:00+01:00,43.46,43.46,43.46,43.46,25,0,0
2019-12-20 13:15:00+01:00,43.48,43.48,43.48,43.48,538,0,0
2019-12-20 13:30:00+01:00,43.44,43.44,43.44,43.44,91,0,0
2019-12-20 13:51:00+01:00,43.4,43.4,43.4,43.4,10,0,0
2019-12-20 13:55:00+01:00,43.41,43.41,43.41,43.41,26,0,0
2019-12-20 14:11:00+01:00,43.43,43.43,43.43,43.43,10,0,0
2019-12-20 14:35:00+01:00,43.44,43.44,43.44,43.44,12,0,0
2019-12-20 14:37:00+01:00,43.44,43.47,43.44,43.47,116,0,0
2019-12-20 14:56:00+01:00,43.44,43.44,43.44,43.44,229,0,0
2019-12-20 14:57:00+01:00,43.45,43.47,43.45,43.47,570,0,0
2019-12-20 15:23:00+01:00,43.5,43.51,43.5,43.51,250,0,0
2019-12-20 15:25:00+01:00,43.47,43.47,43.47,43.47,23,0,0
2019-12-20 15:32:00+01:00,43.66,43.66,43.66,43.66,460,0,0
2019-12-20 15:47:00+01:00,43.61,43.61,43.61,43.61,250,0,0
2019-12-20 15:56:00+01:00,43.6,43.6,43.6,43.6,100,0,0
2019-12-20 16:02:00+01:00,43.6,43.6,43.6,43.6,100,0,0
2019-12-20 16:23:00+01:00,43.56,43.6,43.56,43.6,71,0,0
2019-12-20 16:27:00+01:00,43.53,43.53,43.53,43.53,30,0,0
2019-12-20 16:39:00+01:00,43.6,43.6,43.6,43.6,3,0,0
2019-12-20 16:50:00+01:00,43.63,43.63,43.63,43.63,26,0,0
2019-12-20 16:54:00+01:00,43.62,43.65,43.62,43.65,100,0,0
2019-12-20 17:14:00+01:00,43.67,43.67,43.67,43.67,30,0,0
2019-12-20 17:19:00+01:00,43.6,43.6,43.6,43.6,370,0,0
2019-12-20 17:20:00+01:00,43.66,43.66,43.65,43.66,20,0,0
2019-12-23 09:04:00+01:00,43.7,43.98,43.7,43.79,0,0,0
2019-12-23 09:05:00+01:00,43.75,43.75,43.75,43.75,500,0,0
2019-12-23 09:06:00+01:00,43.74,43.74,43.74,43.74,1160,0,0
2019-12-23 09:18:00+01:00,43.74,43.74,43.74,43.74,46,0,0
2019-12-23 09:23:00+01:00,43.71,43.74,43.71,43.74,1518,0,0
2019-12-23 09:25:00+01:00,43.72,43.72,43.72,43.72,46,0,0
2019-12-23 09:26:00+01:00,43.7,43.7,43.7,43.7,41,0,0
2019-12-23 09:28:00+01:00,43.72,43.72,43.72,43.72,140,0,0
2019-12-23 09:33:00+01:00,43.69,43.7,43.69,43.7,50,0,0
2019-12-23 09:37:00+01:00,43.68,43.69,43.68,43.69,46,0,0
2019-12-23 09:40:00+01:00,43.68,43.71,43.68,43.71,115,0,0
2019-12-23 09:52:00+01:00,43.68,43.69,43.68,43.69,46,0,0
2019-12-23 10:01:00+01:00,43.71,43.71,43.71,43.71,23,0,0
2019-12-23 10:12:00+01:00,43.72,43.72,43.72,43.72,25,0,0
2019-12-23 10:19:00+01:00,43.7,43.7,43.7,43.7,40,0,0
2019-12-23 10:30:00+01:00,43.75,43.75,43.75,43.75,11,0,0
2019-12-23 10:41:00+01:00,43.75,43.75,43.75,43.75,114,0,0
2019-12-23 10:42:00+01:00,43.75,43.75,43.75,43.75,114,0,0
2019-12-23 10:52:00+01:00,43.73,43.73,43.73,43.73,120,0,0
2019-12-23 11:00:00+01:00,43.7,43.7,43.7,43.7,10,0,0
2019-12-23 11:15:00+01:00,43.74,43.75,43.74,43.75,122,0,0
2019-12-23 11:26:00+01:00,43.75,43.75,43.75,43.75,75,0,0
2019-12-23 11:30:00+01:00,43.75,43.75,43.75,43.75,100,0,0
2019-12-23 11:31:00+01:00,43.75,43.78,43.75,43.78,460,0,0
2019-12-23 12:19:00+01:00,43.77,43.78,43.77,43.78,28,0,0
2019-12-23 12:33:00+01:00,43.76,43.76,43.76,43.76,70,0,0
2019-12-23 12:35:00+01:00,43.76,43.76,43.76,43.76,306,0,0
2019-12-23 12:48:00+01:00,43.78,43.78,43.78,43.78,68,0,0
2019-12-23 12:53:00+01:00,43.78,43.78,43.78,43.78,135,0,0
2019-12-23 12:57:00+01:00,43.78,43.78,43.78,43.78,140,0,0
2019-12-23 13:00:00+01:00,43.75,43.75,43.75,43.75,10,0,0
2019-12-23 13:41:00+01:00,43.78,43.78,43.78,43.78,20,0,0
2019-12-23 13:42:00+01:00,43.72,43.72,43.71,43.71,212,0,0
2019-12-23 14:10:00+01:00,43.81,43.81,43.81,43.81,11,0,0
2019-12-23 14:28:00+01:00,43.8,43.81,43.8,43.81,50,0,0
2019-12-23 14:30:00+01:00,43.9,43.9,43.9,43.9,1000,0,0
2019-12-23 14:31:00+01:00,43.8,43.8,43.8,43.8,10,0,0
2019-12-23 14:43:00+01:00,43.82,43.82,43.82,43.82,10,0,0
2019-12-23 14:53:00+01:00,43.8,43.81,43.8,43.81,50,0,0
2019-12-23 14:58:00+01:00,43.79,43.79,43.79,43.79,10,0,0
2019-12-23 15:07:00+01:00,43.76,43.76,43.76,43.76,5,0,0
2019-12-23 15:11:00+01:00,43.76,43.76,43.76,43.76,45,0,0
2019-12-23 15:12:00+01:00,43.76,43.76,43.76,43.76,100,0,0
2019-12-23 15:15:00+01:00,43.76,43.76,43.76,43.76,30,0,0
2019-12-23 15:17:00+01:00,43.7,43.7,43.7,43.7,0,0,0
2019-12-23 15:41:00+01:00,43.7,43.7,43.7,43.7,7646,0,0
2019-12-23 15:44:00+01:00,43.7,43.7,43.7,43.7,25,0,0
2019-12-23 15:55:00+01:00,43.65,43.65,43.62,43.62,75,0,0
2019-12-23 16:11:00+01:00,43.67,43.68,43.67,43.68,115,0,0
2019-12-23 16:25:00+01:00,43.69,43.69,43.69,43.69,78,0,0
2019-12-23 16:26:00+01:00,43.64,43.64,43.63,43.63,368,0,0
2019-12-23 16:36:00+01:00,43.72,43.72,43.72,43.72,148,0,0
2019-12-23 16:39:00+01:00,43.72,43.72,43.72,43.72,12,0,0
2019-12-23 16:40:00+01:00,43.65,43.65,43.65,43.65,82,0,0
2019-12-23 16:54:00+01:00,43.65,43.65,43.65,43.65,60,0,0
2019-12-23 17:06:00+01:00,43.72,43.74,43.72,43.74,450,0,0
2019-12-23 17:13:00+01:00,43.71,43.71,43.71,43.71,50,0,0
2019-12-23 17:21:00+01:00,43.71,43.71,43.71,43.71,0,0,0
2019-12-23 17:28:00+01:00,43.69,43.69,43.69,43.69,9159,0,0
