Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:15:00-05:00,190.65,190.65,190.65,190.65,0,0,0
2019-12-17 11:16:00-05:00,190.6,190.6,190.6,190.6,473,0,0
2019-12-17 11:20:00-05:00,190.65,190.65,190.65,190.65,191,0,0
2019-12-17 11:22:00-05:00,190.52,190.52,190.52,190.52,1323,0,0
2019-12-17 11:31:00-05:00,190.54,190.54,190.54,190.54,154,0,0
2019-12-17 11:33:00-05:00,190.59,190.59,190.59,190.59,169,0,0
2019-12-17 11:34:00-05:00,190.43,190.43,190.43,190.43,414,0,0
2019-12-17 11:38:00-05:00,190.56,190.56,190.56,190.56,230,0,0
2019-12-17 11:39:00-05:00,190.64,190.64,190.64,190.64,495,0,0
2019-12-17 11:40:00-05:00,190.73,190.73,190.73,190.73,178,0,0
2019-12-17 11:41:00-05:00,190.64,190.64,190.64,190.64,303,0,0
2019-12-17 11:42:00-05:00,190.6,190.63,190.6,190.63,1424,0,0
2019-12-17 11:54:00-05:00,190.62,190.62,190.62,190.62,472,0,0
2019-12-17 11:55:00-05:00,190.71,190.71,190.71,190.71,216,0,0
2019-12-17 12:05:00-05:00,191.03,191.03,191.03,191.03,0,0,0
2019-12-17 12:14:00-05:00,190.91,190.91,190.91,190.91,23679,0,0
2019-12-17 12:30:00-05:00,191.09,191.09,191.09,191.09,223,0,0
2019-12-17 12:36:00-05:00,190.91,191.07,190.91,191.07,717,0,0
2019-12-17 12:39:00-05:00,190.94,190.94,190.94,190.94,227,0,0
2019-12-17 12:40:00-05:00,190.88,190.88,190.88,190.88,207,0,0
2019-12-17 12:43:00-05:00,191.02,191.02,191.02,191.02,161,0,0
2019-12-17 12:45:00-05:00,191.11,191.11,191.11,191.11,391,0,0
2019-12-17 12:55:00-05:00,191.12,191.12,191.12,191.12,265,0,0
2019-12-17 13:06:00-05:00,191.26,191.26,191.25,191.25,549,0,0
2019-12-17 13:07:00-05:00,191.13,191.13,191.13,191.13,263,0,0
2019-12-17 13:10:00-05:00,191.19,191.19,191.19,191.19,322,0,0
2019-12-17 13:15:00-05:00,191.2,191.2,191.2,191.2,737,0,0
2019-12-17 13:28:00-05:00,191.16,191.16,191.16,191.16,2700,0,0
2019-12-17 13:29:00-05:00,191.1,191.1,191.1,191.1,283,0,0
2019-12-17 13:34:00-05:00,191.1,191.11,191.1,191.11,3400,0,0
2019-12-17 13:35:00-05:00,191.1,191.1,191.1,191.1,1917,0,0
2019-12-17 13:37:00-05:00,191.13,191.13,191.13,191.13,120,0,0
2019-12-17 13:38:00-05:00,191.16,191.19,191.16,191.16,400,0,0
2019-12-17 13:41:00-05:00,191.23,191.23,191.23,191.23,405,0,0
2019-12-17 13:46:00-05:00,191.23,191.23,191.23,191.23,465,0,0
2019-12-17 13:54:00-05:00,191.2,191.2,191.15,191.15,241,0,0
2019-12-17 14:00:00-05:00,191.21,191.21,191.21,191.21,921,0,0
2019-12-17 14:01:00-05:00,191.18,191.18,191.18,191.18,128,0,0
2019-12-17 14:05:00-05:00,191.12,191.12,191.12,191.12,553,0,0
2019-12-17 14:09:00-05:00,191.08,191.08,191.08,191.08,356,0,0
2019-12-17 14:15:00-05:00,191.11,191.11,191.11,191.11,418,0,0
2019-12-17 14:17:00-05:00,191.13,191.22,191.13,191.22,214,0,0
2019-12-17 14:19:00-05:00,191.15,191.15,191.15,191.15,525,0,0
2019-12-17 14:21:00-05:00,191.29,191.31,191.29,191.31,302,0,0
2019-12-17 14:25:00-05:00,191.25,191.25,191.25,191.25,530,0,0
2019-12-17 14:28:00-05:00,191.26,191.26,191.26,191.26,184,0,0
2019-12-17 14:29:00-05:00,191.27,191.27,191.27,191.27,210,0,0
2019-12-17 14:33:00-05:00,191.3,191.3,191.3,191.3,149,0,0
2019-12-17 14:36:00-05:00,191.34,191.34,191.34,191.34,368,0,0
2019-12-17 14:44:00-05:00,191.38,191.38,191.38,191.38,103,0,0
2019-12-17 14:46:00-05:00,191.31,191.31,191.31,191.31,1040,0,0
2019-12-17 14:50:00-05:00,191.33,191.33,191.33,191.33,187,0,0
2019-12-17 14:52:00-05:00,191.39,191.39,191.39,191.39,370,0,0
2019-12-17 14:55:00-05:00,191.38,191.38,191.38,191.38,168,0,0
2019-12-17 14:56:00-05:00,191.34,191.34,191.34,191.34,251,0,0
2019-12-17 14:57:00-05:00,191.38,191.38,191.38,191.38,752,0,0
2019-12-17 14:59:00-05:00,191.34,191.34,191.34,191.34,200,0,0
2019-12-17 15:01:00-05:00,191.29,191.29,191.29,191.29,584,0,0
2019-12-17 15:07:00-05:00,191.27,191.27,191.26,191.26,503,0,0
2019-12-17 15:12:00-05:00,191.25,191.25,191.21,191.21,277,0,0
2019-12-17 15:15:00-05:00,191.23,191.23,191.23,191.23,423,0,0
2019-12-17 15:17:00-05:00,191.27,191.33,191.27,191.27,768,0,0
2019-12-17 15:23:00-05:00,191.4,191.4,191.4,191.4,155,0,0
2019-12-17 15:24:00-05:00,191.42,191.42,191.42,191.42,471,0,0
2019-12-17 15:25:00-05:00,191.42,191.42,191.42,191.42,279,0,0
2019-12-17 15:29:00-05:00,191.46,191.46,191.46,191.46,482,0,0
2019-12-17 15:34:00-05:00,191.44,191.44,191.44,191.44,124,0,0
2019-12-17 15:35:00-05:00,191.42,191.42,191.42,191.42,307,0,0
2019-12-17 15:36:00-05:00,191.43,191.44,191.42,191.43,2666,0,0
2019-12-17 15:37:00-05:00,191.42,191.42,191.42,191.42,375,0,0
2019-12-17 15:38:00-05:00,191.46,191.46,191.46,191.46,341,0,0
2019-12-17 15:39:00-05:00,191.39,191.39,191.39,191.39,543,0,0
2019-12-17 15:42:00-05:00,191.4,191.4,191.38,191.38,368,0,0
2019-12-17 15:43:00-05:00,191.43,191.43,191.43,191.43,165,0,0
2019-12-17 15:45:00-05:00,191.36,191.36,191.36,191.36,230,0,0
2019-12-17 15:46:00-05:00,191.4,191.4,191.4,191.4,288,0,0
2019-12-17 15:49:00-05:00,191.42,191.42,191.42,191.42,230,0,0
2019-12-17 15:53:00-05:00,191.43,191.43,191.43,191.43,224,0,0
2019-12-17 15:54:00-05:00,191.34,191.34,191.34,191.34,256,0,0
2019-12-17 15:55:00-05:00,191.37,191.48,191.37,191.48,402,0,0
2019-12-17 15:58:00-05:00,191.57,191.57,191.57,191.57,355,0,0
2019-12-17 15:59:00-05:00,191.56,191.56,191.51,191.51,662,0,0
2019-12-18 09:30:00-05:00,191.7,191.7,191.7,191.7,0,0,0
2019-12-18 09:31:00-05:00,191.51,191.51,191.51,191.51,3075,0,0
2019-12-18 09:35:00-05:00,192.0,192.0,192.0,192.0,195,0,0
2019-12-18 09:37:00-05:00,192.11,192.11,192.11,192.11,173,0,0
2019-12-18 09:40:00-05:00,191.75,191.75,191.75,191.75,1614,0,0
2019-12-18 09:47:00-05:00,191.77,191.77,191.77,191.77,1412,0,0
2019-12-18 09:53:00-05:00,191.57,191.57,191.57,191.57,2336,0,0
2019-12-18 09:54:00-05:00,191.73,191.73,191.73,191.73,0,0,0
2019-12-18 09:55:00-05:00,191.69,191.69,191.69,191.69,9231,0,0
2019-12-18 09:56:00-05:00,191.62,191.62,191.62,191.62,132,0,0
2019-12-18 09:58:00-05:00,191.6,191.6,191.6,191.6,852,0,0
2019-12-18 10:07:00-05:00,191.3,191.3,191.3,191.3,115,0,0
2019-12-18 10:08:00-05:00,191.53,191.53,191.53,191.53,118,0,0
2019-12-18 10:11:00-05:00,191.36,191.36,191.35,191.35,1100,0,0
2019-12-18 10:44:00-05:00,191.8,191.8,191.8,191.8,204,0,0
2019-12-18 10:45:00-05:00,191.72,191.72,191.72,191.72,141,0,0
2019-12-18 10:51:00-05:00,191.83,191.83,191.83,191.83,196,0,0
2019-12-18 10:58:00-05:00,191.76,191.76,191.75,191.75,336,0,0
2019-12-18 10:59:00-05:00,191.71,191.73,191.7,191.7,568,0,0
2019-12-18 11:04:00-05:00,191.72,191.72,191.72,191.72,883,0,0
