Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:21:00-05:00,14.85,14.85,14.85,14.85,0,0,0
2019-12-17 11:56:00-05:00,14.93,14.93,14.93,14.93,100,0,0
2019-12-17 12:54:00-05:00,14.87,14.87,14.75,14.75,609,0,0
2019-12-18 09:30:00-05:00,14.74,14.74,14.74,14.74,141,0,0
2019-12-18 09:37:00-05:00,14.79,14.79,14.79,14.79,1261,0,0
2019-12-18 10:32:00-05:00,14.86,14.86,14.86,14.86,536,0,0
2019-12-18 11:30:00-05:00,14.89,14.89,14.89,14.89,268,0,0
2019-12-18 12:12:00-05:00,14.97,14.98,14.97,14.98,1645,0,0
2019-12-18 13:39:00-05:00,14.97,14.97,14.97,14.97,400,0,0
2019-12-18 15:38:00-05:00,14.94,14.94,14.94,14.94,200,0,0
2019-12-18 15:42:00-05:00,14.97,14.97,14.94,14.94,5598,0,0
2019-12-19 10:39:00-05:00,14.85,14.89,14.85,14.89,400,0,0
2019-12-20 10:51:00-05:00,14.9,14.9,14.9,14.9,3496,0,0
2019-12-20 11:14:00-05:00,14.88,14.9,14.88,14.9,200,0,0
2019-12-20 11:21:00-05:00,14.93,14.93,14.93,14.93,101,0,0
2019-12-20 13:31:00-05:00,14.97,14.97,14.97,14.97,520,0,0
2019-12-20 15:28:00-05:00,14.92,14.92,14.9,14.9,6380,0,0
2019-12-23 09:35:00-05:00,14.89,14.89,14.88,14.88,0,0,0
2019-12-23 14:18:00-05:00,14.99,14.99,14.99,14.99,400,0,0
2019-12-23 14:21:00-05:00,15.01,15.01,15.01,15.01,300,0,0
2019-12-23 14:44:00-05:00,15.0,15.0,15.0,15.0,606,0,0
2019-12-23 14:52:00-05:00,15.02,15.07,15.02,15.07,300,0,0
2019-12-24 09:57:00-05:00,14.99,14.99,14.99,14.99,0,0,0
2019-12-24 10:08:00-05:00,15.0,15.0,14.99,14.99,839,0,0
