Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:14:00+01:00,24.61,24.61,24.61,24.61,0,0,0
2019-12-17 17:15:00+01:00,24.61,24.61,24.61,24.61,1,0,0
2019-12-17 17:24:00+01:00,24.61,24.61,24.61,24.61,7,0,0
2019-12-18 09:04:00+01:00,24.58,24.58,24.58,24.58,0,0,0
2019-12-18 09:35:00+01:00,24.58,24.61,24.58,24.61,750,0,0
2019-12-18 09:46:00+01:00,24.59,24.59,24.58,24.58,625,0,0
2019-12-18 10:04:00+01:00,24.6,24.6,24.6,24.6,40,0,0
2019-12-18 11:03:00+01:00,24.58,24.58,24.58,24.58,125,0,0
2019-12-18 11:14:00+01:00,24.6,24.61,24.6,24.61,203,0,0
2019-12-18 11:23:00+01:00,24.6,24.61,24.6,24.61,727,0,0
2019-12-18 11:29:00+01:00,24.6,24.6,24.6,24.6,200,0,0
2019-12-18 11:46:00+01:00,24.6,24.6,24.6,24.6,800,0,0
2019-12-18 12:16:00+01:00,24.61,24.61,24.61,24.61,934,0,0
2019-12-18 12:19:00+01:00,24.6,24.6,24.6,24.6,180,0,0
2019-12-18 12:22:00+01:00,24.58,24.58,24.58,24.58,18,0,0
2019-12-18 12:27:00+01:00,24.59,24.59,24.59,24.59,130,0,0
2019-12-18 12:55:00+01:00,24.6,24.6,24.6,24.6,1,0,0
2019-12-18 13:12:00+01:00,24.61,24.61,24.61,24.61,159,0,0
2019-12-18 13:23:00+01:00,24.6,24.6,24.59,24.59,130,0,0
2019-12-18 13:39:00+01:00,24.62,24.62,24.62,24.62,800,0,0
2019-12-18 13:48:00+01:00,24.6,24.6,24.6,24.6,220,0,0
2019-12-18 14:31:00+01:00,24.66,24.66,24.66,24.66,200,0,0
2019-12-18 14:44:00+01:00,24.64,24.64,24.64,24.64,1195,0,0
2019-12-18 15:17:00+01:00,24.64,24.64,24.64,24.64,2005,0,0
2019-12-18 15:22:00+01:00,24.64,24.64,24.64,24.64,45,0,0
2019-12-18 15:33:00+01:00,24.66,24.66,24.66,24.66,33,0,0
2019-12-18 15:36:00+01:00,24.69,24.69,24.67,24.67,398,0,0
2019-12-18 15:41:00+01:00,24.69,24.69,24.69,24.69,306,0,0
2019-12-18 15:50:00+01:00,24.62,24.62,24.62,24.62,208,0,0
2019-12-18 15:59:00+01:00,24.65,24.65,24.65,24.65,300,0,0
2019-12-18 16:11:00+01:00,24.66,24.66,24.66,24.66,1615,0,0
2019-12-18 16:12:00+01:00,24.66,24.66,24.65,24.65,1947,0,0
2019-12-18 16:33:00+01:00,24.64,24.64,24.64,24.64,244,0,0
2019-12-18 16:34:00+01:00,24.65,24.65,24.65,24.65,116,0,0
2019-12-18 16:35:00+01:00,24.67,24.67,24.67,24.67,1600,0,0
2019-12-18 16:39:00+01:00,24.67,24.68,24.67,24.68,194,0,0
2019-12-18 17:12:00+01:00,24.68,24.68,24.68,24.68,33,0,0
2019-12-18 17:19:00+01:00,24.7,24.7,24.7,24.7,1068,0,0
2019-12-18 17:20:00+01:00,24.69,24.69,24.69,24.69,41,0,0
2019-12-18 17:28:00+01:00,24.69,24.69,24.69,24.69,72,0,0
2019-12-19 09:04:00+01:00,24.81,24.81,24.81,24.81,0,0,0
2019-12-19 09:08:00+01:00,24.78,24.78,24.78,24.78,3833,0,0
2019-12-19 09:18:00+01:00,24.8,24.8,24.8,24.8,650,0,0
2019-12-19 09:20:00+01:00,24.81,24.81,24.81,24.81,137,0,0
2019-12-19 09:30:00+01:00,24.79,24.79,24.79,24.79,730,0,0
2019-12-19 09:58:00+01:00,24.79,24.8,24.79,24.8,100,0,0
2019-12-19 10:01:00+01:00,24.78,24.78,24.78,24.78,45,0,0
2019-12-19 10:03:00+01:00,24.79,24.79,24.79,24.79,90,0,0
2019-12-19 10:06:00+01:00,24.79,24.82,24.79,24.82,3000,0,0
2019-12-19 10:08:00+01:00,24.78,24.78,24.78,24.78,45,0,0
2019-12-19 10:22:00+01:00,24.76,24.76,24.76,24.76,400,0,0
2019-12-19 10:43:00+01:00,24.78,24.78,24.78,24.78,45,0,0
2019-12-19 10:58:00+01:00,24.78,24.78,24.78,24.78,45,0,0
2019-12-19 11:01:00+01:00,24.78,24.78,24.78,24.78,10,0,0
2019-12-19 11:14:00+01:00,24.79,24.79,24.79,24.79,100,0,0
2019-12-19 11:19:00+01:00,24.79,24.79,24.79,24.79,75,0,0
2019-12-19 11:22:00+01:00,24.79,24.79,24.79,24.79,300,0,0
2019-12-19 11:25:00+01:00,24.78,24.79,24.78,24.79,200,0,0
2019-12-19 11:38:00+01:00,24.77,24.77,24.77,24.77,111,0,0
2019-12-19 11:49:00+01:00,24.79,24.79,24.79,24.79,45,0,0
2019-12-19 11:51:00+01:00,24.79,24.79,24.79,24.79,358,0,0
2019-12-19 12:22:00+01:00,24.8,24.8,24.8,24.8,403,0,0
2019-12-19 12:32:00+01:00,24.8,24.8,24.8,24.8,80,0,0
2019-12-19 13:12:00+01:00,24.78,24.78,24.78,24.78,0,0,0
2019-12-19 13:28:00+01:00,24.8,24.81,24.8,24.81,12332,0,0
2019-12-19 14:40:00+01:00,24.77,24.77,24.77,24.77,56,0,0
2019-12-19 14:45:00+01:00,24.78,24.78,24.78,24.78,74,0,0
2019-12-19 15:03:00+01:00,24.8,24.8,24.8,24.8,25,0,0
2019-12-19 15:04:00+01:00,24.8,24.8,24.8,24.8,4,0,0
2019-12-19 15:05:00+01:00,24.8,24.8,24.8,24.8,51,0,0
2019-12-19 15:12:00+01:00,24.83,24.83,24.83,24.83,1713,0,0
2019-12-19 15:22:00+01:00,24.82,24.82,24.82,24.82,35,0,0
2019-12-19 15:34:00+01:00,24.8,24.8,24.8,24.8,45,0,0
2019-12-19 15:36:00+01:00,24.8,24.8,24.8,24.8,139,0,0
2019-12-19 15:41:00+01:00,24.82,24.82,24.82,24.82,45,0,0
2019-12-19 15:42:00+01:00,24.83,24.83,24.83,24.83,6945,0,0
2019-12-19 15:55:00+01:00,24.82,24.82,24.82,24.82,90,0,0
2019-12-19 15:56:00+01:00,24.83,24.83,24.83,24.83,835,0,0
2019-12-19 16:04:00+01:00,24.82,24.82,24.82,24.82,45,0,0
2019-12-19 16:05:00+01:00,24.83,24.83,24.83,24.83,45,0,0
2019-12-19 16:07:00+01:00,24.83,24.83,24.83,24.83,45,0,0
2019-12-19 16:12:00+01:00,24.84,24.84,24.84,24.84,45,0,0
2019-12-19 16:17:00+01:00,24.83,24.83,24.83,24.83,90,0,0
2019-12-19 16:28:00+01:00,24.84,24.84,24.84,24.84,45,0,0
2019-12-19 16:29:00+01:00,24.85,24.85,24.85,24.85,90,0,0
2019-12-19 17:14:00+01:00,24.86,24.88,24.86,24.88,207,0,0
2019-12-19 17:18:00+01:00,24.88,24.89,24.88,24.89,2000,0,0
2019-12-19 17:20:00+01:00,24.87,24.87,24.87,24.87,45,0,0
2019-12-19 17:23:00+01:00,24.87,24.87,24.87,24.87,1340,0,0
2019-12-20 09:04:00+01:00,24.94,24.94,24.94,24.94,0,0,0
2019-12-20 10:38:00+01:00,24.92,24.92,24.92,24.92,1865,0,0
2019-12-20 11:00:00+01:00,24.91,24.91,24.91,24.91,10,0,0
2019-12-20 11:02:00+01:00,24.93,24.93,24.93,24.93,644,0,0
2019-12-20 11:37:00+01:00,24.93,24.93,24.93,24.93,13,0,0
2019-12-20 11:50:00+01:00,24.93,24.93,24.93,24.93,155,0,0
2019-12-20 11:53:00+01:00,24.88,24.88,24.88,24.88,723,0,0
2019-12-20 12:00:00+01:00,24.97,24.97,24.97,24.97,724,0,0
2019-12-20 12:15:00+01:00,24.96,24.96,24.96,24.96,205,0,0
2019-12-20 12:29:00+01:00,24.97,24.97,24.97,24.97,38,0,0
2019-12-20 12:37:00+01:00,24.99,24.99,24.99,24.99,40,0,0
2019-12-20 13:12:00+01:00,24.97,24.97,24.97,24.97,0,0,0
2019-12-20 13:30:00+01:00,24.98,24.98,24.98,24.98,4580,0,0
2019-12-20 13:36:00+01:00,24.97,24.97,24.97,24.97,520,0,0
2019-12-20 13:51:00+01:00,24.98,24.98,24.98,24.98,16,0,0
2019-12-20 14:14:00+01:00,24.98,24.98,24.98,24.98,143,0,0
2019-12-20 15:06:00+01:00,25.01,25.01,25.01,25.01,39,0,0
2019-12-20 15:21:00+01:00,25.01,25.01,25.01,25.01,90,0,0
2019-12-20 15:24:00+01:00,25.01,25.01,25.01,25.01,1379,0,0
2019-12-20 15:32:00+01:00,25.06,25.06,25.06,25.06,124,0,0
2019-12-20 15:34:00+01:00,25.06,25.06,25.06,25.06,70,0,0
2019-12-20 15:36:00+01:00,25.08,25.08,25.08,25.08,3,0,0
2019-12-20 15:37:00+01:00,25.09,25.09,25.09,25.09,212,0,0
2019-12-20 15:40:00+01:00,25.09,25.14,25.09,25.14,11033,0,0
2019-12-20 15:43:00+01:00,25.07,25.07,25.07,25.07,1820,0,0
