Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 09:04:00+01:00,38.69,38.69,38.69,38.69,0,0,0
2019-12-17 10:43:00+01:00,38.67,38.67,38.67,38.67,121,0,0
2019-12-17 13:12:00+01:00,38.6,38.6,38.6,38.6,0,0,0
2019-12-17 14:43:00+01:00,38.67,38.67,38.67,38.67,822,0,0
2019-12-17 16:46:00+01:00,38.68,38.68,38.68,38.68,340,0,0
2019-12-17 16:53:00+01:00,38.74,38.74,38.74,38.74,5416,0,0
2019-12-18 09:04:00+01:00,38.67,38.67,38.67,38.67,0,0,0
2019-12-18 10:53:00+01:00,38.74,38.74,38.74,38.74,1366,0,0
2019-12-18 11:10:00+01:00,38.7,38.7,38.7,38.7,1562,0,0
2019-12-18 12:57:00+01:00,38.72,38.72,38.72,38.72,28,0,0
2019-12-18 13:12:00+01:00,38.78,38.78,38.78,38.78,0,0,0
2019-12-18 13:36:00+01:00,38.79,38.79,38.79,38.79,4482,0,0
2019-12-18 13:57:00+01:00,38.82,38.83,38.82,38.83,1466,0,0
2019-12-18 15:36:00+01:00,38.76,38.76,38.76,38.76,1,0,0
2019-12-18 15:41:00+01:00,38.77,38.77,38.77,38.77,1330,0,0
2019-12-18 16:22:00+01:00,38.78,38.78,38.78,38.78,450,0,0
2019-12-18 16:26:00+01:00,38.76,38.76,38.76,38.76,250,0,0
2019-12-18 16:27:00+01:00,38.82,38.82,38.82,38.82,1400,0,0
2019-12-18 16:35:00+01:00,38.78,38.78,38.78,38.78,2,0,0
2019-12-18 16:54:00+01:00,38.83,38.83,38.83,38.83,1,0,0
2019-12-19 09:04:00+01:00,38.83,38.83,38.83,38.83,0,0,0
2019-12-19 09:30:00+01:00,38.81,38.81,38.81,38.81,100,0,0
2019-12-19 11:08:00+01:00,38.74,38.74,38.74,38.74,570,0,0
2019-12-19 13:12:00+01:00,38.69,38.69,38.69,38.69,0,0,0
2019-12-19 16:23:00+01:00,38.8,38.8,38.8,38.8,726,0,0
2019-12-20 09:04:00+01:00,39.06,39.06,39.06,39.06,180,0,0
