Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 08:13:00+01:00,37.3,37.3,37.3,37.3,0,0,0
2019-12-17 08:35:00+01:00,37.33,37.33,37.33,37.33,0,0,0
2019-12-17 09:08:00+01:00,37.42,37.42,37.42,37.42,0,0,0
2019-12-17 10:35:00+01:00,37.4,37.4,37.4,37.4,0,0,0
2019-12-17 12:13:00+01:00,37.3,37.3,37.3,37.3,0,0,0
2019-12-18 08:07:00+01:00,37.37,37.37,37.37,37.37,0,0,0
2019-12-18 08:14:00+01:00,37.36,37.36,37.36,37.36,0,0,0
2019-12-18 08:35:00+01:00,37.39,37.39,37.39,37.39,0,0,0
2019-12-18 10:36:00+01:00,37.44,37.44,37.44,37.44,0,0,0
2019-12-18 12:13:00+01:00,37.35,37.35,37.35,37.35,0,0,0
2019-12-19 08:07:00+01:00,37.27,37.27,37.27,37.27,0,0,0
2019-12-19 08:13:00+01:00,37.26,37.26,37.26,37.26,0,0,0
2019-12-19 09:07:00+01:00,37.29,37.29,37.29,37.29,0,0,0
2019-12-19 12:12:00+01:00,37.28,37.28,37.28,37.28,0,0,0
2019-12-20 08:06:00+01:00,37.31,37.31,37.31,37.31,0,0,0
2019-12-20 08:38:00+01:00,37.28,37.28,37.28,37.28,0,0,0
2019-12-20 10:37:00+01:00,37.44,37.44,37.44,37.44,0,0,0
2019-12-20 12:12:00+01:00,37.52,37.52,37.52,37.52,0,0,0
2019-12-23 08:09:00+01:00,37.47,37.47,37.47,37.47,0,0,0
2019-12-23 08:36:00+01:00,37.47,37.47,37.47,37.47,0,0,0
2019-12-23 09:07:00+01:00,37.57,37.57,37.57,37.57,0,0,0
2019-12-23 10:34:00+01:00,37.6,37.6,37.6,37.6,0,0,0
2019-12-23 12:13:00+01:00,37.6,37.6,37.6,37.6,0,0,0
2019-12-27 08:10:00+01:00,37.52,37.52,37.52,37.52,0,0,0
2019-12-27 08:44:00+01:00,37.63,37.63,37.63,37.63,0,0,0
2019-12-27 09:07:00+01:00,37.59,37.59,37.59,37.59,0,0,0
2019-12-27 10:35:00+01:00,37.7,37.7,37.7,37.7,0,0,0
2019-12-30 08:09:00+01:00,37.64,37.64,37.64,37.64,0,0,0
2019-12-30 08:13:00+01:00,37.64,37.64,37.64,37.64,0,0,0
2019-12-30 08:35:00+01:00,37.62,37.62,37.62,37.62,0,0,0
2019-12-30 09:08:00+01:00,37.68,37.68,37.68,37.68,0,0,0
2019-12-30 10:37:00+01:00,37.65,37.65,37.65,37.65,0,0,0
2020-01-02 10:13:00+01:00,37.75,37.75,37.75,37.75,0,0,0
2020-01-02 11:12:00+01:00,37.8,37.8,37.8,37.8,0,0,0
2020-01-03 08:20:00+01:00,37.68,37.68,37.68,37.68,0,0,0
2020-01-03 11:27:00+01:00,37.53,37.53,37.53,37.53,16,0,0
2020-01-03 11:34:00+01:00,37.53,37.53,37.53,37.53,16,0,0
2020-01-06 08:20:00+01:00,37.35,37.35,37.35,37.35,0,0,0
2020-01-06 11:11:00+01:00,37.0,37.0,37.0,37.0,0,0,0
