Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:15:00+01:00,25.78,25.78,25.78,25.78,0,0,0
2019-12-17 17:20:00+01:00,25.8,25.8,25.8,25.8,555,0,0
2019-12-18 09:04:00+01:00,25.78,25.78,25.78,25.78,0,0,0
2019-12-18 09:30:00+01:00,25.84,25.84,25.83,25.83,337,0,0
2019-12-18 09:44:00+01:00,25.84,25.84,25.84,25.84,36,0,0
2019-12-18 11:28:00+01:00,25.86,25.86,25.86,25.86,75,0,0
2019-12-18 11:36:00+01:00,25.85,25.85,25.85,25.85,496,0,0
2019-12-18 11:40:00+01:00,25.84,25.84,25.84,25.84,678,0,0
2019-12-18 12:36:00+01:00,25.86,25.86,25.86,25.86,1923,0,0
2019-12-18 13:12:00+01:00,25.83,25.83,25.83,25.83,0,0,0
2019-12-18 13:29:00+01:00,25.83,25.83,25.83,25.83,8654,0,0
2019-12-18 14:17:00+01:00,25.82,25.82,25.82,25.82,3,0,0
2019-12-18 14:33:00+01:00,25.83,25.83,25.83,25.83,10,0,0
2019-12-18 14:57:00+01:00,25.81,25.81,25.81,25.81,838,0,0
2019-12-18 15:01:00+01:00,25.8,25.8,25.8,25.8,675,0,0
2019-12-18 15:07:00+01:00,25.82,25.82,25.82,25.82,1620,0,0
2019-12-18 15:09:00+01:00,25.82,25.82,25.82,25.82,220,0,0
2019-12-18 15:29:00+01:00,25.84,25.84,25.84,25.84,300,0,0
2019-12-18 15:36:00+01:00,25.85,25.85,25.85,25.85,617,0,0
2019-12-18 15:39:00+01:00,25.85,25.85,25.85,25.85,1650,0,0
2019-12-18 15:40:00+01:00,25.86,25.86,25.86,25.86,3835,0,0
2019-12-18 15:42:00+01:00,25.86,25.86,25.86,25.86,1000,0,0
2019-12-18 15:52:00+01:00,25.84,25.84,25.84,25.84,1350,0,0
2019-12-18 15:59:00+01:00,25.83,25.83,25.83,25.83,120,0,0
2019-12-18 16:17:00+01:00,25.81,25.81,25.81,25.81,250,0,0
2019-12-18 16:38:00+01:00,25.81,25.81,25.81,25.81,75,0,0
2019-12-18 16:59:00+01:00,25.81,25.81,25.81,25.81,3873,0,0
2019-12-18 17:18:00+01:00,25.82,25.82,25.82,25.82,145,0,0
2019-12-18 17:19:00+01:00,25.82,25.82,25.82,25.82,500,0,0
2019-12-19 09:04:00+01:00,25.82,25.82,25.82,25.82,0,0,0
2019-12-19 09:05:00+01:00,25.8,25.8,25.8,25.8,1946,0,0
2019-12-19 09:20:00+01:00,25.82,25.82,25.82,25.82,2421,0,0
2019-12-19 09:27:00+01:00,25.83,25.83,25.83,25.83,1592,0,0
2019-12-19 09:29:00+01:00,25.82,25.82,25.82,25.82,1738,0,0
2019-12-19 09:30:00+01:00,25.81,25.81,25.81,25.81,934,0,0
2019-12-19 09:32:00+01:00,25.81,25.81,25.81,25.81,530,0,0
2019-12-19 09:58:00+01:00,25.8,25.8,25.8,25.8,210,0,0
2019-12-19 09:59:00+01:00,25.8,25.8,25.8,25.8,1335,0,0
2019-12-19 10:03:00+01:00,25.82,25.82,25.82,25.82,651,0,0
2019-12-19 10:06:00+01:00,25.82,25.82,25.82,25.82,450,0,0
2019-12-19 10:12:00+01:00,25.81,25.81,25.81,25.81,1605,0,0
2019-12-19 10:19:00+01:00,25.78,25.78,25.78,25.78,1500,0,0
