Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:22:00+01:00,91.74,91.74,91.74,91.74,0,0,0
2019-12-17 09:04:00+01:00,91.65,91.65,91.65,91.65,0,0,0
2019-12-17 09:25:00+01:00,91.8,91.8,91.8,91.8,50,0,0
2019-12-17 10:46:00+01:00,91.75,91.75,91.75,91.75,11,0,0
2019-12-17 13:12:00+01:00,91.56,91.56,91.56,91.56,110,0,0
2019-12-17 14:12:00+01:00,91.62,91.62,91.62,91.62,543,0,0
2019-12-17 16:20:00+01:00,91.66,91.66,91.66,91.66,194,0,0
2019-12-17 17:15:00+01:00,91.69,91.69,91.69,91.69,290,0,0
2019-12-18 09:04:00+01:00,92.0,92.0,92.0,92.0,109,0,0
2019-12-18 09:10:00+01:00,91.88,91.88,91.88,91.88,300,0,0
2019-12-18 09:15:00+01:00,91.89,91.89,91.89,91.89,300,0,0
2019-12-18 09:16:00+01:00,91.89,91.89,91.89,91.89,300,0,0
2019-12-18 10:56:00+01:00,91.83,91.83,91.83,91.83,215,0,0
2019-12-18 11:37:00+01:00,91.86,91.86,91.86,91.86,31,0,0
2019-12-18 11:55:00+01:00,91.83,91.83,91.83,91.83,98,0,0
2019-12-18 12:20:00+01:00,91.88,91.88,91.88,91.88,64,0,0
2019-12-18 13:12:00+01:00,91.97,91.97,91.97,91.97,0,0,0
2019-12-18 14:42:00+01:00,92.01,92.01,92.01,92.01,1433,0,0
2019-12-18 15:13:00+01:00,92.02,92.02,92.02,92.02,10,0,0
2019-12-18 15:31:00+01:00,91.98,91.98,91.98,91.98,24,0,0
2019-12-18 16:32:00+01:00,91.87,91.87,91.87,91.87,2,0,0
2019-12-18 17:13:00+01:00,91.93,91.93,91.93,91.93,140,0,0
2019-12-18 17:19:00+01:00,91.9,91.9,91.9,91.9,30,0,0
2019-12-18 17:20:00+01:00,91.84,91.84,91.84,91.84,95,0,0
2019-12-19 09:04:00+01:00,92.01,92.01,92.0,92.0,330,0,0
2019-12-19 11:58:00+01:00,91.8,91.8,91.8,91.8,230,0,0
2019-12-19 13:12:00+01:00,91.83,91.83,91.83,91.83,0,0,0
2019-12-19 14:50:00+01:00,91.95,91.95,91.95,91.95,592,0,0
2019-12-19 15:36:00+01:00,92.01,92.01,92.01,92.01,11,0,0
2019-12-19 17:20:00+01:00,92.04,92.04,92.04,92.04,223,0,0
2019-12-19 17:21:00+01:00,92.0,92.0,92.0,92.0,111,0,0
2019-12-20 09:04:00+01:00,91.95,91.95,91.95,91.95,0,0,0
2019-12-20 10:28:00+01:00,91.99,91.99,91.99,91.99,25,0,0
2019-12-20 11:00:00+01:00,91.88,91.88,91.88,91.88,1,0,0
2019-12-20 13:12:00+01:00,92.09,92.09,92.09,92.09,0,0,0
2019-12-20 14:52:00+01:00,92.15,92.15,92.14,92.14,151,0,0
2019-12-20 14:55:00+01:00,92.19,92.19,92.19,92.19,100,0,0
2019-12-20 17:13:00+01:00,92.28,92.28,92.28,92.28,117,0,0
2019-12-20 17:20:00+01:00,92.34,92.34,92.34,92.34,109,0,0
2019-12-20 17:27:00+01:00,92.4,92.4,92.4,92.4,377,0,0
2019-12-23 09:04:00+01:00,92.15,92.15,92.15,92.15,0,0,0
2019-12-23 10:41:00+01:00,92.28,92.28,92.28,92.28,249,0,0
2019-12-23 10:50:00+01:00,92.28,92.28,92.28,92.28,177,0,0
2019-12-23 10:51:00+01:00,92.28,92.28,92.28,92.28,14,0,0
2019-12-23 13:12:00+01:00,92.3,92.3,92.3,92.3,0,0,0
2019-12-23 15:36:00+01:00,92.31,92.31,92.31,92.31,946,0,0
2019-12-23 15:46:00+01:00,92.23,92.23,92.23,92.23,45,0,0
2019-12-23 17:20:00+01:00,92.3,92.3,92.3,92.3,0,0,0
2019-12-27 09:04:00+01:00,92.05,92.05,92.05,92.05,0,0,0
2019-12-27 10:51:00+01:00,92.05,92.05,92.05,92.05,2,0,0
2019-12-27 12:30:00+01:00,91.96,91.96,91.96,91.96,126,0,0
2019-12-27 12:40:00+01:00,91.96,91.96,91.96,91.96,11,0,0
2019-12-27 13:12:00+01:00,91.87,91.87,91.87,91.87,0,0,0
2019-12-27 14:40:00+01:00,91.9,91.9,91.9,91.9,151,0,0
2019-12-27 14:50:00+01:00,91.9,91.9,91.9,91.9,23,0,0
2019-12-27 15:14:00+01:00,91.92,91.92,91.92,91.92,15,0,0
2019-12-27 15:36:00+01:00,91.74,91.74,91.74,91.74,1,0,0
2019-12-27 17:19:00+01:00,91.79,91.79,91.79,91.79,0,0,0
2019-12-30 09:04:00+01:00,91.56,91.56,91.56,91.56,0,0,0
2019-12-30 13:12:00+01:00,91.56,91.56,91.56,91.56,0,0,0
2019-12-30 14:06:00+01:00,91.62,91.62,91.62,91.62,0,0,0
2020-01-02 09:04:00+01:00,91.71,91.71,91.71,91.71,0,0,0
2020-01-02 13:12:00+01:00,91.63,91.63,91.63,91.63,0,0,0
2020-01-02 15:36:00+01:00,91.77,91.77,91.77,91.77,19,0,0
2020-01-02 17:19:00+01:00,91.72,91.72,91.72,91.72,8,0,0
2020-01-03 09:06:00+01:00,92.3,92.3,92.3,92.3,23,0,0
2020-01-03 09:23:00+01:00,91.94,91.94,91.94,91.94,1,0,0
2020-01-03 09:33:00+01:00,92.03,92.03,92.03,92.03,35,0,0
2020-01-03 11:10:00+01:00,92.11,92.11,92.11,92.11,212,0,0
2020-01-03 13:12:00+01:00,92.18,92.18,92.18,92.18,0,0,0
2020-01-03 14:24:00+01:00,92.13,92.14,92.13,92.14,1876,0,0
2020-01-03 15:18:00+01:00,92.13,92.13,92.13,92.13,2,0,0
2020-01-03 17:05:00+01:00,91.91,91.91,91.91,91.91,163,0,0
2020-01-03 17:11:00+01:00,91.93,91.93,91.93,91.93,0,0,0
2020-01-03 17:19:00+01:00,91.9,91.9,91.9,91.9,2121,0,0
2020-01-06 09:04:00+01:00,91.69,91.69,91.69,91.69,0,0,0
2020-01-06 12:07:00+01:00,91.56,91.56,91.56,91.56,45,0,0
2020-01-06 12:52:00+01:00,91.69,91.69,91.69,91.69,27,0,0
2020-01-06 13:12:00+01:00,91.64,91.64,91.64,91.64,0,0,0
2020-01-06 13:18:00+01:00,91.61,91.61,91.61,91.61,190,0,0
2020-01-06 15:25:00+01:00,91.65,91.65,91.65,91.65,125,0,0
2020-01-06 15:28:00+01:00,91.74,91.74,91.74,91.74,2,0,0
2020-01-06 15:36:00+01:00,91.65,91.65,91.65,91.65,1,0,0
2020-01-06 16:47:00+01:00,91.81,91.81,91.81,91.81,1,0,0
