Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:25:00+01:00,47.87,47.87,47.87,47.87,0,0,0
2019-12-18 13:00:00+01:00,47.88,47.88,47.76,47.88,105,0,0
2019-12-19 14:36:00+01:00,47.51,47.51,47.51,47.51,2895,0,0
2019-12-19 14:40:00+01:00,47.51,47.51,47.51,47.51,412,0,0
2019-12-19 15:13:00+01:00,47.51,47.51,47.51,47.51,130,0,0
2019-12-19 16:20:00+01:00,47.61,47.61,47.61,47.61,126,0,0
2019-12-19 16:55:00+01:00,47.71,47.71,47.71,47.71,100,0,0
2019-12-19 17:00:00+01:00,47.7,47.7,47.67,47.7,100,0,0
2019-12-20 11:31:00+01:00,47.22,47.22,47.22,47.22,0,0,0
2019-12-20 12:39:00+01:00,47.27,47.62,47.27,47.62,150,0,0
