Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 16:07:00+00:00,8.26,8.26,8.26,8.26,0,0,0
2019-12-17 16:09:00+00:00,8.25,8.25,8.25,8.25,434,0,0
2019-12-17 16:19:00+00:00,8.25,8.25,8.25,8.25,211,0,0
2019-12-17 16:20:00+00:00,8.25,8.25,8.25,8.25,345,0,0
2019-12-17 16:25:00+00:00,8.25,8.25,8.25,8.25,148,0,0
2019-12-18 08:00:00+00:00,8.21,8.23,8.21,8.23,0,0,0
2019-12-18 08:19:00+00:00,8.26,8.26,8.26,8.26,1210,0,0
2019-12-18 08:20:00+00:00,8.26,8.26,8.26,8.26,0,0,0
2019-12-18 08:40:00+00:00,8.25,8.25,8.25,8.25,28608,0,0
2019-12-18 08:43:00+00:00,8.26,8.26,8.26,8.26,2708,0,0
2019-12-18 10:01:00+00:00,8.27,8.27,8.27,8.27,14155,0,0
2019-12-18 10:18:00+00:00,8.26,8.27,8.26,8.27,21,0,0
2019-12-18 10:23:00+00:00,8.26,8.26,8.26,8.26,12881,0,0
2019-12-18 10:25:00+00:00,8.26,8.26,8.26,8.26,1255,0,0
2019-12-18 10:52:00+00:00,8.26,8.26,8.26,8.26,2722,0,0
2019-12-18 11:22:00+00:00,8.26,8.26,8.26,8.26,65000,0,0
2019-12-18 11:24:00+00:00,8.26,8.26,8.26,8.26,16332,0,0
2019-12-18 11:29:00+00:00,8.26,8.26,8.26,8.26,9597,0,0
2019-12-18 11:39:00+00:00,8.26,8.26,8.26,8.26,54994,0,0
2019-12-18 12:01:00+00:00,8.27,8.27,8.27,8.27,549,0,0
2019-12-18 13:30:00+00:00,8.27,8.27,8.27,8.27,1173,0,0
2019-12-18 15:15:00+00:00,8.25,8.26,8.25,8.26,850,0,0
2019-12-18 15:17:00+00:00,8.26,8.26,8.26,8.26,445,0,0
2019-12-18 15:33:00+00:00,8.24,8.25,8.24,8.25,11000,0,0
2019-12-18 15:36:00+00:00,8.24,8.24,8.24,8.24,200,0,0
2019-12-18 16:16:00+00:00,8.27,8.27,8.27,8.27,2838,0,0
2019-12-18 16:20:00+00:00,8.27,8.27,8.27,8.27,362,0,0
2019-12-19 09:42:00+00:00,8.23,8.25,8.23,8.25,1189,0,0
2019-12-19 11:24:00+00:00,8.24,8.24,8.24,8.24,1100,0,0
2019-12-19 11:25:00+00:00,8.24,8.24,8.24,8.24,1658,0,0
2019-12-19 11:54:00+00:00,8.24,8.24,8.24,8.24,980,0,0
2019-12-19 12:02:00+00:00,8.23,8.23,8.23,8.23,3451,0,0
2019-12-19 12:57:00+00:00,8.23,8.23,8.23,8.23,1372,0,0
2019-12-19 13:24:00+00:00,8.23,8.23,8.23,8.23,700,0,0
2019-12-19 13:39:00+00:00,8.22,8.22,8.22,8.22,130,0,0
2019-12-19 13:46:00+00:00,8.22,8.22,8.22,8.22,1514,0,0
2019-12-19 13:52:00+00:00,8.22,8.22,8.22,8.22,7800,0,0
2019-12-19 14:15:00+00:00,8.23,8.23,8.22,8.22,567,0,0
2019-12-19 14:23:00+00:00,8.22,8.22,8.22,8.22,0,0,0
2019-12-19 14:24:00+00:00,8.22,8.22,8.22,8.22,24211,0,0
2019-12-19 14:28:00+00:00,8.22,8.22,8.22,8.22,1943,0,0
2019-12-19 14:58:00+00:00,8.22,8.23,8.22,8.23,40000,0,0
2019-12-19 15:11:00+00:00,8.22,8.23,8.22,8.23,4000,0,0
2019-12-19 15:43:00+00:00,8.23,8.23,8.23,8.23,1854,0,0
2019-12-19 15:44:00+00:00,8.23,8.23,8.23,8.23,1300,0,0
2019-12-19 16:19:00+00:00,8.23,8.23,8.23,8.23,320,0,0
2019-12-19 16:23:00+00:00,8.24,8.24,8.24,8.24,170,0,0
2019-12-19 16:28:00+00:00,8.23,8.23,8.23,8.23,531,0,0
2019-12-20 08:35:00+00:00,8.23,8.23,8.23,8.23,0,0,0
2019-12-20 11:07:00+00:00,8.23,8.23,8.23,8.23,2000,0,0
2019-12-20 11:41:00+00:00,8.23,8.23,8.23,8.23,1313,0,0
2019-12-20 12:10:00+00:00,8.24,8.24,8.24,8.24,1283,0,0
2019-12-20 12:15:00+00:00,8.24,8.24,8.24,8.24,1109,0,0
2019-12-20 12:39:00+00:00,8.23,8.23,8.23,8.23,561,0,0
2019-12-20 13:48:00+00:00,8.24,8.24,8.24,8.24,3451,0,0
2019-12-20 13:55:00+00:00,8.24,8.24,8.24,8.24,3114,0,0
2019-12-20 15:23:00+00:00,8.26,8.26,8.26,8.26,2983,0,0
2019-12-20 15:24:00+00:00,8.26,8.26,8.26,8.26,2983,0,0
2019-12-20 16:01:00+00:00,8.27,8.27,8.27,8.27,5806,0,0
2019-12-20 16:04:00+00:00,8.28,8.28,8.28,8.28,4345,0,0
2019-12-20 16:16:00+00:00,8.27,8.27,8.27,8.27,373,0,0
2019-12-20 16:25:00+00:00,8.27,8.28,8.27,8.28,5265,0,0
2019-12-23 08:08:00+00:00,8.23,8.23,8.23,8.23,0,0,0
2019-12-23 08:12:00+00:00,8.23,8.23,8.23,8.23,63517,0,0
2019-12-23 08:15:00+00:00,8.23,8.23,8.23,8.23,1081,0,0
2019-12-23 09:08:00+00:00,8.24,8.24,8.24,8.24,1000,0,0
2019-12-23 10:27:00+00:00,8.23,8.23,8.23,8.23,5650,0,0
2019-12-23 10:41:00+00:00,8.23,8.23,8.23,8.23,490,0,0
2019-12-23 10:43:00+00:00,8.23,8.23,8.23,8.23,483,0,0
2019-12-23 10:45:00+00:00,8.23,8.23,8.23,8.23,500,0,0
2019-12-23 10:46:00+00:00,8.23,8.23,8.23,8.23,471,0,0
2019-12-23 10:48:00+00:00,8.23,8.23,8.23,8.23,501,0,0
2019-12-23 10:50:00+00:00,8.23,8.23,8.23,8.23,490,0,0
2019-12-23 10:51:00+00:00,8.23,8.23,8.23,8.23,495,0,0
2019-12-23 10:53:00+00:00,8.23,8.23,8.23,8.23,510,0,0
2019-12-23 10:55:00+00:00,8.23,8.23,8.23,8.23,488,0,0
2019-12-23 10:57:00+00:00,8.23,8.23,8.23,8.23,495,0,0
2019-12-23 10:58:00+00:00,8.23,8.23,8.23,8.23,499,0,0
2019-12-23 11:00:00+00:00,8.23,8.23,8.23,8.23,500,0,0
2019-12-23 11:02:00+00:00,8.23,8.23,8.23,8.23,496,0,0
2019-12-23 11:04:00+00:00,8.23,8.23,8.23,8.23,487,0,0
2019-12-23 11:05:00+00:00,8.23,8.23,8.23,8.23,479,0,0
2019-12-23 11:07:00+00:00,8.23,8.23,8.23,8.23,465,0,0
2019-12-23 11:09:00+00:00,8.23,8.23,8.23,8.23,503,0,0
2019-12-23 11:10:00+00:00,8.23,8.23,8.23,8.23,500,0,0
