Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:23:00+01:00,118.94,118.94,118.94,118.94,0,0,0
2019-12-17 09:04:00+01:00,118.98,118.98,118.98,118.98,330,0,0
2019-12-17 09:14:00+01:00,118.99,118.99,118.99,118.99,200,0,0
2019-12-17 10:26:00+01:00,118.99,118.99,118.98,118.98,1300,0,0
2019-12-17 10:42:00+01:00,118.96,118.96,118.96,118.96,88,0,0
2019-12-17 11:10:00+01:00,118.93,118.93,118.93,118.93,1,0,0
2019-12-17 11:30:00+01:00,118.83,118.83,118.83,118.83,30,0,0
2019-12-17 11:57:00+01:00,118.81,118.81,118.81,118.81,15,0,0
2019-12-17 12:19:00+01:00,118.79,118.79,118.78,118.78,250,0,0
2019-12-17 12:21:00+01:00,118.83,118.83,118.83,118.83,327,0,0
2019-12-17 13:12:00+01:00,118.75,118.75,118.75,118.75,0,0,0
2019-12-17 14:32:00+01:00,118.72,118.72,118.72,118.72,2676,0,0
2019-12-17 16:19:00+01:00,118.82,118.82,118.82,118.82,80,0,0
2019-12-18 09:04:00+01:00,119.11,119.11,119.11,119.11,70,0,0
2019-12-18 09:13:00+01:00,119.14,119.14,119.14,119.14,30,0,0
2019-12-18 10:50:00+01:00,119.02,119.02,119.02,119.02,800,0,0
2019-12-18 10:56:00+01:00,119.07,119.07,119.07,119.07,350,0,0
2019-12-18 12:50:00+01:00,119.17,119.17,119.17,119.17,40,0,0
2019-12-18 13:04:00+01:00,119.14,119.14,119.14,119.14,45,0,0
2019-12-18 13:12:00+01:00,119.16,119.16,119.16,119.16,50,0,0
2019-12-18 14:18:00+01:00,119.24,119.24,119.24,119.24,3,0,0
2019-12-18 15:29:00+01:00,119.17,119.17,119.17,119.17,100,0,0
2019-12-18 16:17:00+01:00,119.18,119.18,119.18,119.18,85,0,0
2019-12-18 16:39:00+01:00,119.15,119.15,119.15,119.15,250,0,0
2019-12-18 17:19:00+01:00,119.14,119.14,119.14,119.14,170,0,0
2019-12-18 17:24:00+01:00,119.18,119.18,119.18,119.18,200,0,0
2019-12-18 17:28:00+01:00,119.16,119.16,119.16,119.16,1040,0,0
2019-12-19 09:04:00+01:00,119.18,119.18,119.18,119.18,205,0,0
2019-12-19 09:15:00+01:00,119.08,119.08,119.08,119.08,30,0,0
2019-12-19 09:29:00+01:00,119.11,119.11,119.11,119.11,170,0,0
2019-12-19 09:58:00+01:00,119.13,119.13,119.13,119.13,100,0,0
2019-12-19 10:06:00+01:00,119.1,119.1,119.1,119.1,170,0,0
2019-12-19 10:15:00+01:00,119.03,119.03,119.03,119.03,269,0,0
2019-12-19 11:36:00+01:00,119.03,119.03,119.03,119.03,110,0,0
2019-12-19 12:10:00+01:00,119.04,119.04,119.04,119.04,480,0,0
2019-12-19 13:12:00+01:00,119.09,119.09,119.09,119.09,0,0,0
2019-12-19 13:32:00+01:00,119.21,119.21,119.21,119.21,1584,0,0
2019-12-19 14:11:00+01:00,119.23,119.23,119.23,119.23,919,0,0
2019-12-19 14:37:00+01:00,119.24,119.24,119.24,119.24,2,0,0
2019-12-19 15:58:00+01:00,119.2,119.2,119.2,119.2,467,0,0
2019-12-19 16:44:00+01:00,119.32,119.32,119.32,119.32,504,0,0
2019-12-19 17:10:00+01:00,119.29,119.29,119.29,119.29,300,0,0
2019-12-19 17:13:00+01:00,119.31,119.31,119.31,119.31,69,0,0
2019-12-19 17:23:00+01:00,119.31,119.31,119.31,119.31,436,0,0
2019-12-20 09:04:00+01:00,119.28,119.28,119.28,119.28,0,0,0
2019-12-20 09:57:00+01:00,119.21,119.21,119.21,119.21,1,0,0
2019-12-20 10:28:00+01:00,119.27,119.27,119.27,119.27,26,0,0
2019-12-20 11:00:00+01:00,119.21,119.21,119.21,119.21,1,0,0
2019-12-20 13:02:00+01:00,119.43,119.43,119.42,119.42,9000,0,0
2019-12-20 13:12:00+01:00,119.45,119.45,119.45,119.45,0,0,0
2019-12-20 13:20:00+01:00,119.46,119.46,119.46,119.46,9443,0,0
2019-12-20 13:25:00+01:00,119.39,119.39,119.39,119.39,475,0,0
2019-12-20 15:09:00+01:00,119.54,119.54,119.54,119.54,16,0,0
2019-12-20 15:22:00+01:00,119.61,119.61,119.61,119.61,270,0,0
2019-12-20 15:49:00+01:00,119.62,119.62,119.62,119.62,209,0,0
2019-12-20 16:29:00+01:00,119.63,119.63,119.63,119.63,122,0,0
2019-12-20 16:57:00+01:00,119.61,119.61,119.61,119.61,0,0,0
2019-12-20 17:07:00+01:00,119.6,119.6,119.6,119.6,10596,0,0
2019-12-20 17:09:00+01:00,119.58,119.58,119.58,119.58,300,0,0
2019-12-20 17:14:00+01:00,119.61,119.61,119.61,119.61,441,0,0
2019-12-20 17:19:00+01:00,119.62,119.62,119.62,119.62,27,0,0
2019-12-23 09:04:00+01:00,119.61,119.61,119.61,119.61,0,0,0
2019-12-23 09:19:00+01:00,119.62,119.62,119.62,119.62,100,0,0
2019-12-23 09:21:00+01:00,119.68,119.68,119.68,119.68,40,0,0
2019-12-23 09:56:00+01:00,119.58,119.58,119.58,119.58,10,0,0
2019-12-23 11:10:00+01:00,119.64,119.64,119.64,119.64,1,0,0
2019-12-23 11:19:00+01:00,119.65,119.65,119.65,119.65,101,0,0
2019-12-23 11:41:00+01:00,119.63,119.64,119.63,119.64,193,0,0
2019-12-23 12:17:00+01:00,119.67,119.67,119.67,119.67,100,0,0
2019-12-23 13:00:00+01:00,119.68,119.68,119.68,119.68,75,0,0
2019-12-23 13:06:00+01:00,119.67,119.67,119.67,119.67,600,0,0
2019-12-23 13:12:00+01:00,119.69,119.69,119.69,119.69,0,0,0
2019-12-23 13:57:00+01:00,119.72,119.72,119.72,119.72,1472,0,0
2019-12-23 14:30:00+01:00,119.79,119.79,119.79,119.79,260,0,0
2019-12-23 15:14:00+01:00,119.61,119.61,119.61,119.61,237,0,0
2019-12-23 15:36:00+01:00,119.61,119.61,119.61,119.61,12,0,0
2019-12-23 15:41:00+01:00,119.61,119.61,119.61,119.61,2,0,0
2019-12-23 15:51:00+01:00,119.65,119.65,119.65,119.65,230,0,0
2019-12-23 16:18:00+01:00,119.54,119.54,119.54,119.54,93,0,0
2019-12-23 16:19:00+01:00,119.54,119.54,119.54,119.54,56,0,0
2019-12-23 16:44:00+01:00,119.53,119.53,119.53,119.53,41,0,0
2019-12-23 17:26:00+01:00,119.57,119.57,119.57,119.57,0,0,0
2019-12-23 17:29:00+01:00,119.57,119.57,119.57,119.57,6,0,0
2019-12-27 09:04:00+01:00,119.16,119.16,119.16,119.16,0,0,0
2019-12-27 09:25:00+01:00,119.12,119.12,119.12,119.12,144,0,0
2019-12-27 11:27:00+01:00,119.07,119.07,119.07,119.07,164,0,0
2019-12-27 11:53:00+01:00,119.0,119.0,119.0,119.0,250,0,0
2019-12-27 11:56:00+01:00,119.07,119.07,119.07,119.07,50,0,0
2019-12-27 12:32:00+01:00,119.03,119.03,119.03,119.03,330,0,0
2019-12-27 12:40:00+01:00,119.07,119.07,119.07,119.07,750,0,0
2019-12-27 12:54:00+01:00,119.01,119.01,119.01,119.01,149,0,0
2019-12-27 13:12:00+01:00,119.01,119.01,119.01,119.01,0,0,0
2019-12-27 14:25:00+01:00,118.99,118.99,118.99,118.99,1887,0,0
2019-12-27 14:49:00+01:00,119.0,119.0,119.0,119.0,500,0,0
2019-12-27 16:09:00+01:00,118.89,118.89,118.89,118.89,129,0,0
2019-12-27 16:20:00+01:00,118.79,118.79,118.79,118.79,20,0,0
2019-12-27 16:49:00+01:00,118.77,118.77,118.77,118.77,0,0,0
2019-12-27 16:55:00+01:00,118.84,118.84,118.84,118.84,2811,0,0
2019-12-27 16:56:00+01:00,118.9,118.9,118.9,118.9,560,0,0
2019-12-27 17:20:00+01:00,118.83,118.83,118.83,118.83,0,0,0
2019-12-30 09:06:00+01:00,118.5,118.5,118.5,118.5,0,0,0
2019-12-30 09:07:00+01:00,118.5,118.5,118.5,118.5,2259,0,0
2019-12-30 09:14:00+01:00,118.53,118.53,118.53,118.53,0,0,0
2019-12-30 09:46:00+01:00,118.55,118.55,118.55,118.55,3961,0,0
2019-12-30 11:15:00+01:00,118.55,118.55,118.55,118.55,200,0,0
2019-12-30 12:29:00+01:00,118.52,118.52,118.52,118.52,1010,0,0
2019-12-30 12:48:00+01:00,118.58,118.58,118.58,118.58,1,0,0
2019-12-30 12:50:00+01:00,118.54,118.54,118.54,118.54,290,0,0
2019-12-30 12:54:00+01:00,118.57,118.57,118.57,118.57,416,0,0
2019-12-30 13:12:00+01:00,118.57,118.57,118.57,118.57,0,0,0
2019-12-30 14:06:00+01:00,118.64,118.64,118.64,118.64,0,0,0
2020-01-02 09:04:00+01:00,118.33,118.33,118.33,118.33,0,0,0
2020-01-02 09:10:00+01:00,118.44,118.44,118.44,118.44,3141,0,0
2020-01-02 09:14:00+01:00,118.46,118.46,118.46,118.46,75,0,0
2020-01-02 10:10:00+01:00,118.46,118.46,118.46,118.46,186,0,0
2020-01-02 10:57:00+01:00,118.55,118.55,118.55,118.55,21,0,0
2020-01-02 11:01:00+01:00,118.54,118.54,118.54,118.54,1300,0,0
2020-01-02 11:16:00+01:00,118.54,118.54,118.54,118.54,133,0,0
2020-01-02 11:29:00+01:00,118.65,118.65,118.65,118.65,100,0,0
2020-01-02 11:42:00+01:00,118.65,118.65,118.65,118.65,150,0,0
2020-01-02 12:30:00+01:00,118.65,118.65,118.65,118.65,1,0,0
2020-01-02 12:45:00+01:00,118.69,118.69,118.69,118.69,30,0,0
2020-01-02 13:12:00+01:00,118.69,118.69,118.69,118.69,0,0,0
2020-01-02 13:25:00+01:00,118.67,118.67,118.67,118.67,5861,0,0
2020-01-02 14:33:00+01:00,118.69,118.69,118.69,118.69,25,0,0
2020-01-02 15:14:00+01:00,118.77,118.77,118.73,118.73,329,0,0
2020-01-02 15:25:00+01:00,118.76,118.76,118.76,118.76,160,0,0
2020-01-02 15:36:00+01:00,118.86,118.86,118.86,118.86,22,0,0
2020-01-02 15:37:00+01:00,118.81,118.81,118.81,118.81,20,0,0
2020-01-02 16:33:00+01:00,118.92,118.92,118.92,118.92,1,0,0
2020-01-02 16:43:00+01:00,118.81,118.81,118.8,118.8,800,0,0
2020-01-02 17:20:00+01:00,118.73,118.73,118.73,118.73,79,0,0
2020-01-03 09:04:00+01:00,119.1,119.1,119.1,119.1,201,0,0
2020-01-03 09:29:00+01:00,119.09,119.09,119.09,119.09,230,0,0
2020-01-03 10:38:00+01:00,119.24,119.24,119.24,119.24,2,0,0
2020-01-03 11:08:00+01:00,119.29,119.29,119.29,119.29,100,0,0
2020-01-03 11:48:00+01:00,119.36,119.36,119.36,119.36,4,0,0
2020-01-03 13:12:00+01:00,119.42,119.42,119.42,119.42,0,0,0
2020-01-03 13:32:00+01:00,119.43,119.43,119.43,119.43,555,0,0
2020-01-03 13:45:00+01:00,119.29,119.29,119.29,119.29,40,0,0
2020-01-03 13:49:00+01:00,119.31,119.31,119.3,119.3,1000,0,0
2020-01-03 13:57:00+01:00,119.3,119.3,119.3,119.3,800,0,0
2020-01-03 14:01:00+01:00,119.29,119.29,119.29,119.29,800,0,0
2020-01-03 14:47:00+01:00,119.24,119.24,119.24,119.24,93,0,0
2020-01-03 14:49:00+01:00,119.26,119.26,119.26,119.26,25,0,0
2020-01-03 14:53:00+01:00,119.28,119.28,119.28,119.28,215,0,0
2020-01-03 14:54:00+01:00,119.31,119.31,119.31,119.31,401,0,0
2020-01-03 15:15:00+01:00,119.31,119.31,119.31,119.31,35,0,0
2020-01-03 15:36:00+01:00,119.16,119.16,119.16,119.16,1,0,0
2020-01-03 15:58:00+01:00,119.19,119.2,119.19,119.2,1700,0,0
2020-01-03 16:04:00+01:00,119.09,119.09,119.09,119.09,365,0,0
2020-01-03 16:35:00+01:00,119.08,119.08,119.08,119.08,100,0,0
2020-01-03 17:03:00+01:00,119.06,119.06,119.06,119.06,0,0,0
2020-01-03 17:23:00+01:00,119.04,119.04,119.04,119.04,7213,0,0
2020-01-03 17:29:00+01:00,119.0,119.0,119.0,119.0,3,0,0
2020-01-06 09:04:00+01:00,119.08,119.08,119.08,119.08,0,0,0
2020-01-06 09:26:00+01:00,119.04,119.04,119.04,119.04,374,0,0
2020-01-06 09:54:00+01:00,119.0,119.0,119.0,119.0,172,0,0
2020-01-06 10:36:00+01:00,118.88,118.88,118.88,118.88,300,0,0
2020-01-06 11:14:00+01:00,118.78,118.78,118.78,118.78,50,0,0
2020-01-06 11:16:00+01:00,118.78,118.78,118.78,118.78,15,0,0
2020-01-06 11:48:00+01:00,118.71,118.71,118.71,118.71,25,0,0
2020-01-06 12:05:00+01:00,118.71,118.71,118.71,118.71,125,0,0
2020-01-06 13:12:00+01:00,118.69,118.69,118.69,118.69,0,0,0
2020-01-06 13:21:00+01:00,118.71,118.71,118.71,118.71,1166,0,0
2020-01-06 14:56:00+01:00,118.68,118.68,118.68,118.68,2300,0,0
2020-01-06 15:24:00+01:00,118.76,118.76,118.76,118.76,42,0,0
2020-01-06 15:36:00+01:00,118.75,118.75,118.75,118.75,1,0,0
