Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:01:00+01:00,36.52,36.52,36.52,36.52,0,0,0
2019-12-17 17:10:00+01:00,36.56,36.58,36.56,36.58,1150,0,0
2019-12-18 09:09:00+01:00,36.6,36.6,36.6,36.6,0,0,0
2019-12-18 09:48:00+01:00,36.63,36.63,36.63,36.63,13,0,0
2019-12-18 10:01:00+01:00,36.66,36.66,36.66,36.66,13,0,0
2019-12-18 10:35:00+01:00,36.6,36.6,36.59,36.59,60,0,0
2019-12-18 11:04:00+01:00,36.61,36.61,36.6,36.6,293,0,0
2019-12-18 11:23:00+01:00,36.62,36.62,36.62,36.62,150,0,0
2019-12-18 12:13:00+01:00,36.65,36.65,36.65,36.65,1208,0,0
2019-12-18 12:50:00+01:00,36.6,36.6,36.6,36.6,425,0,0
2019-12-18 13:08:00+01:00,36.62,36.62,36.62,36.62,381,0,0
2019-12-18 14:38:00+01:00,36.65,36.65,36.65,36.65,11,0,0
2019-12-18 14:42:00+01:00,36.68,36.68,36.68,36.68,39,0,0
2019-12-18 15:50:00+01:00,36.69,36.71,36.69,36.71,465,0,0
2019-12-18 16:48:00+01:00,36.63,36.69,36.61,36.61,1169,0,0
2019-12-19 09:39:00+01:00,36.65,36.65,36.65,36.65,0,0,0
2019-12-19 10:10:00+01:00,36.63,36.63,36.63,36.63,410,0,0
2019-12-19 12:01:00+01:00,36.58,36.58,36.58,36.58,507,0,0
2019-12-19 12:09:00+01:00,36.64,36.64,36.64,36.64,1140,0,0
2019-12-19 13:20:00+01:00,36.66,36.7,36.66,36.7,1600,0,0
2019-12-19 13:29:00+01:00,36.7,36.7,36.7,36.7,430,0,0
2019-12-19 13:56:00+01:00,36.66,36.69,36.66,36.69,673,0,0
2019-12-19 14:42:00+01:00,36.57,36.57,36.57,36.57,424,0,0
2019-12-19 17:20:00+01:00,36.69,36.69,36.68,36.69,30,0,0
2019-12-20 10:23:00+01:00,36.79,36.85,36.79,36.85,0,0,0
2019-12-20 10:50:00+01:00,36.73,36.73,36.73,36.73,16,0,0
2019-12-20 11:23:00+01:00,36.74,36.74,36.74,36.74,100,0,0
2019-12-20 12:36:00+01:00,36.92,36.97,36.92,36.97,280,0,0
2019-12-20 13:00:00+01:00,36.88,36.96,36.88,36.96,962,0,0
2019-12-20 13:07:00+01:00,36.88,36.94,36.88,36.88,60,0,0
2019-12-20 14:39:00+01:00,37.01,37.01,37.01,37.01,463,0,0
2019-12-20 15:52:00+01:00,36.94,36.94,36.94,36.94,17,0,0
2019-12-20 17:20:00+01:00,37.08,37.08,37.08,37.08,30,0,0
2019-12-23 09:50:00+01:00,37.06,37.06,37.06,37.06,0,0,0
2019-12-23 10:29:00+01:00,37.1,37.11,37.1,37.11,54,0,0
2019-12-23 12:13:00+01:00,37.15,37.17,37.15,37.17,360,0,0
2019-12-23 12:37:00+01:00,37.1,37.1,37.1,37.1,254,0,0
2019-12-23 12:39:00+01:00,37.17,37.17,37.17,37.17,889,0,0
2019-12-23 13:26:00+01:00,37.18,37.18,37.18,37.18,134,0,0
2019-12-23 13:32:00+01:00,37.18,37.19,37.18,37.19,200,0,0
2019-12-23 14:40:00+01:00,37.12,37.12,37.12,37.12,13,0,0
2019-12-23 14:41:00+01:00,37.17,37.17,37.17,37.17,17,0,0
2019-12-23 15:46:00+01:00,37.12,37.12,37.12,37.12,81,0,0
2019-12-23 16:12:00+01:00,37.08,37.08,37.08,37.08,53,0,0
2019-12-23 17:20:00+01:00,37.06,37.08,37.06,37.08,0,0,0
