Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:00:00-05:00,94.93,94.93,94.93,94.93,0,0,0
2019-12-17 11:01:00-05:00,94.93,94.95,94.93,94.95,13902,0,0
2019-12-17 11:02:00-05:00,94.95,94.95,94.95,94.95,117,0,0
2019-12-17 11:07:00-05:00,94.95,94.95,94.95,94.95,379,0,0
2019-12-17 11:14:00-05:00,94.92,94.92,94.92,94.92,211,0,0
2019-12-17 11:16:00-05:00,94.91,94.91,94.91,94.91,144,0,0
2019-12-17 11:18:00-05:00,94.92,94.92,94.92,94.92,307,0,0
2019-12-17 11:21:00-05:00,94.94,94.94,94.94,94.94,199,0,0
2019-12-17 11:22:00-05:00,94.95,94.95,94.94,94.94,222,0,0
2019-12-17 11:23:00-05:00,94.92,94.92,94.92,94.92,457,0,0
2019-12-17 11:24:00-05:00,94.92,94.92,94.92,94.92,195,0,0
2019-12-17 11:25:00-05:00,94.93,94.93,94.93,94.93,136,0,0
2019-12-17 11:27:00-05:00,94.93,94.93,94.93,94.93,100,0,0
2019-12-17 11:30:00-05:00,94.93,94.93,94.93,94.93,198,0,0
2019-12-17 11:32:00-05:00,94.89,94.89,94.89,94.89,113,0,0
2019-12-17 11:34:00-05:00,94.91,94.91,94.91,94.91,144,0,0
2019-12-17 11:35:00-05:00,94.91,94.91,94.91,94.91,730,0,0
2019-12-17 11:52:00-05:00,94.93,94.93,94.93,94.93,153,0,0
2019-12-17 11:55:00-05:00,94.95,94.95,94.95,94.95,492,0,0
2019-12-17 12:00:00-05:00,94.96,94.96,94.96,94.96,317,0,0
2019-12-17 12:11:00-05:00,94.98,94.98,94.95,94.96,1043,0,0
2019-12-17 12:18:00-05:00,94.96,94.96,94.96,94.96,410,0,0
2019-12-17 12:19:00-05:00,94.96,94.96,94.96,94.96,132,0,0
2019-12-17 12:27:00-05:00,94.99,94.99,94.99,94.99,290,0,0
2019-12-17 12:30:00-05:00,94.99,94.99,94.99,94.99,278,0,0
2019-12-17 12:36:00-05:00,94.97,94.97,94.97,94.97,110,0,0
2019-12-17 12:39:00-05:00,94.99,94.99,94.99,94.99,247,0,0
2019-12-17 12:44:00-05:00,95.0,95.0,95.0,95.0,500,0,0
2019-12-17 12:45:00-05:00,95.0,95.0,95.0,95.0,693,0,0
2019-12-17 12:52:00-05:00,94.97,94.97,94.97,94.97,846,0,0
2019-12-17 13:00:00-05:00,94.97,94.97,94.97,94.97,136,0,0
2019-12-17 13:01:00-05:00,94.97,94.97,94.97,94.97,355,0,0
2019-12-17 13:02:00-05:00,94.96,94.96,94.96,94.96,1340,0,0
2019-12-17 13:03:00-05:00,94.95,94.95,94.95,94.95,250,0,0
2019-12-17 13:04:00-05:00,94.95,94.95,94.95,94.95,309,0,0
