Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:51:00-05:00,186.5,186.5,186.5,186.5,0,0,0
2019-12-17 13:04:00-05:00,186.94,186.94,186.94,186.94,416,0,0
2019-12-17 14:08:00-05:00,186.78,186.78,186.78,186.78,109,0,0
2019-12-17 14:27:00-05:00,186.93,186.93,186.9,186.9,225,0,0
2019-12-17 14:30:00-05:00,186.91,186.91,186.91,186.91,257,0,0
2019-12-17 15:07:00-05:00,187.18,187.18,187.18,187.18,107,0,0
2019-12-17 15:59:00-05:00,187.09,187.09,187.02,187.02,2346,0,0
2019-12-18 09:30:00-05:00,187.93,187.93,187.93,187.93,0,0,0
2019-12-18 10:10:00-05:00,186.95,186.95,186.95,186.95,159,0,0
2019-12-18 10:43:00-05:00,187.11,187.11,187.11,187.11,224,0,0
2019-12-18 10:57:00-05:00,187.15,187.15,187.15,187.15,362,0,0
2019-12-18 12:02:00-05:00,187.51,187.51,187.51,187.51,534,0,0
2019-12-18 12:32:00-05:00,187.58,187.58,187.58,187.58,299,0,0
2019-12-18 12:41:00-05:00,187.57,187.57,187.57,187.57,148,0,0
2019-12-18 13:25:00-05:00,187.67,187.67,187.67,187.67,167,0,0
2019-12-18 14:36:00-05:00,187.86,187.86,187.78,187.78,2403,0,0
2019-12-19 09:30:00-05:00,187.44,187.44,187.44,187.44,0,0,0
2019-12-19 11:33:00-05:00,188.16,188.16,188.16,188.16,561,0,0
2019-12-19 14:18:00-05:00,188.47,188.47,188.47,188.47,119,0,0
2019-12-19 14:33:00-05:00,188.49,188.49,188.49,188.49,181,0,0
2019-12-19 14:49:00-05:00,188.45,188.45,188.45,188.45,131,0,0
2019-12-19 15:21:00-05:00,188.31,188.31,188.31,188.31,645,0,0
2019-12-19 15:39:00-05:00,188.36,188.36,188.36,188.36,130,0,0
2019-12-19 15:50:00-05:00,188.38,188.45,188.38,188.45,2154,0,0
2019-12-20 09:30:00-05:00,189.1,189.1,189.1,189.1,0,0,0
2019-12-20 10:08:00-05:00,189.13,189.14,189.13,189.14,393,0,0
2019-12-20 11:10:00-05:00,189.68,189.68,189.68,189.68,166,0,0
2019-12-20 11:52:00-05:00,189.62,189.62,189.62,189.62,133,0,0
2019-12-20 12:57:00-05:00,189.43,189.43,189.43,189.43,275,0,0
2019-12-20 14:20:00-05:00,189.07,189.07,189.07,189.07,186,0,0
2019-12-20 15:00:00-05:00,189.26,189.26,189.26,189.26,249,0,0
2019-12-23 10:00:00-05:00,188.78,188.78,188.78,188.78,443,0,0
2019-12-23 10:43:00-05:00,188.76,188.76,188.76,188.76,199,0,0
2019-12-23 15:26:00-05:00,188.89,188.89,188.68,188.68,437,0,0
2019-12-23 15:40:00-05:00,188.85,188.85,188.76,188.76,1257,0,0
2019-12-24 10:00:00-05:00,188.79,188.79,188.79,188.79,0,0,0
2019-12-24 10:06:00-05:00,188.79,189.04,188.79,189.04,172,0,0
