Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 11:07:00-05:00,68.93,68.93,68.93,68.93,0.0,0.0,0
2019-12-16 11:10:00-05:00,68.94,68.94,68.94,68.94,251.0,0.0,0
2019-12-16 11:20:00-05:00,68.93,68.93,68.93,68.93,105.0,0.0,0
2019-12-16 11:24:00-05:00,68.95,68.95,68.95,68.95,502.0,0.0,0
2019-12-16 11:26:00-05:00,68.93,68.93,68.93,68.93,137.0,0.0,0
2019-12-16 11:28:00-05:00,68.95,68.95,68.95,68.95,200.0,0.0,0
2019-12-16 11:32:00-05:00,68.96,68.96,68.96,68.96,656.0,0.0,0
2019-12-16 11:36:00-05:00,68.92,68.92,68.92,68.92,391.0,0.0,0
2019-12-16 11:37:00-05:00,68.94,68.95,68.94,68.95,714.0,0.0,0
2019-12-16 11:48:00-05:00,68.94,68.94,68.94,68.94,162.0,0.0,0
2019-12-16 11:54:00-05:00,68.92,68.92,68.92,68.92,333.0,0.0,0
2019-12-16 11:56:00-05:00,68.94,68.95,68.94,68.95,908.0,0.0,0
2019-12-16 11:57:00-05:00,68.96,68.96,68.96,68.96,150.0,0.0,0
2019-12-16 12:00:00-05:00,68.96,68.96,68.96,68.96,13481.0,0.0,0
2019-12-16 12:03:00-05:00,68.97,68.97,68.96,68.96,444.0,0.0,0
2019-12-16 12:05:00-05:00,68.98,68.98,68.98,68.98,200.0,0.0,0
2019-12-16 12:06:00-05:00,68.98,68.98,68.98,68.98,624.0,0.0,0
2019-12-16 12:08:00-05:00,68.95,68.95,68.95,68.95,100.0,0.0,0
2019-12-16 12:13:00-05:00,68.98,68.98,68.98,68.98,1037.0,0.0,0
2019-12-16 12:14:00-05:00,68.98,68.98,68.98,68.98,100.0,0.0,0
2019-12-16 12:15:00-05:00,68.98,68.98,68.98,68.98,100.0,0.0,0
2019-12-16 12:20:00-05:00,68.96,68.96,68.96,68.96,177.0,0.0,0
2019-12-16 12:32:00-05:00,68.95,68.95,68.95,68.95,105.0,0.0,0
2019-12-16 12:34:00-05:00,68.97,68.97,68.97,68.97,1473.0,0.0,0
2019-12-16 12:39:00-05:00,68.97,68.97,68.97,68.97,177.0,0.0,0
2019-12-16 12:41:00-05:00,68.96,68.96,68.96,68.96,963.0,0.0,0
2019-12-16 12:45:00-05:00,68.94,68.94,68.94,68.94,343.0,0.0,0
2019-12-16 13:16:00-05:00,68.94,68.94,68.94,68.94,221.0,0.0,0
2019-12-16 13:19:00-05:00,68.95,68.95,68.95,68.95,750.0,0.0,0
2019-12-16 13:22:00-05:00,68.94,68.94,68.94,68.94,495.0,0.0,0
2019-12-16 13:28:00-05:00,68.93,68.93,68.93,68.93,114.0,0.0,0
2019-12-16 13:30:00-05:00,68.95,68.95,68.94,68.94,294.0,0.0,0
2019-12-16 13:31:00-05:00,68.95,68.95,68.95,68.95,244.0,0.0,0
2019-12-16 13:36:00-05:00,68.93,68.93,68.93,68.93,202.0,0.0,0
2019-12-16 13:39:00-05:00,68.93,68.93,68.93,68.93,182.0,0.0,0
2019-12-16 13:50:00-05:00,68.91,68.91,68.91,68.91,431.0,0.0,0
2019-12-16 13:51:00-05:00,68.92,68.92,68.92,68.92,174.0,0.0,0
2019-12-16 13:58:00-05:00,68.93,68.93,68.93,68.93,133.0,0.0,0
2019-12-16 13:59:00-05:00,68.93,68.93,68.93,68.93,107.0,0.0,0
2019-12-16 14:03:00-05:00,68.93,68.93,68.93,68.93,218.0,0.0,0
2019-12-16 14:12:00-05:00,68.9,68.9,68.9,68.9,185.0,0.0,0
2019-12-16 14:23:00-05:00,68.9,68.9,68.9,68.9,238.0,0.0,0
2019-12-16 14:30:00-05:00,68.87,68.87,68.87,68.87,653.0,0.0,0
2019-12-16 14:33:00-05:00,68.84,68.84,68.84,68.84,100.0,0.0,0
2019-12-16 14:34:00-05:00,68.85,68.85,68.85,68.85,211.0,0.0,0
2019-12-16 14:39:00-05:00,68.84,68.84,68.83,68.83,837.0,0.0,0
2019-12-16 14:41:00-05:00,68.84,68.84,68.84,68.84,100.0,0.0,0
2019-12-16 14:42:00-05:00,68.86,68.86,68.86,68.86,751.0,0.0,0
2019-12-16 14:46:00-05:00,68.86,68.86,68.86,68.86,251.0,0.0,0
2019-12-16 14:49:00-05:00,68.85,68.85,68.85,68.85,181.0,0.0,0
2019-12-16 14:52:00-05:00,68.85,68.85,68.83,68.83,397.0,0.0,0
2019-12-16 14:54:00-05:00,68.8,68.8,68.8,68.8,106.0,0.0,0
2019-12-16 14:56:00-05:00,68.79,68.79,68.79,68.79,209.0,0.0,0
2019-12-16 15:02:00-05:00,68.77,68.77,68.77,68.77,200.0,0.0,0
2019-12-16 15:11:00-05:00,68.77,68.77,68.77,68.77,225.0,0.0,0
2019-12-16 15:14:00-05:00,68.8,68.8,68.8,68.8,102.0,0.0,0
2019-12-16 15:16:00-05:00,68.8,68.8,68.8,68.8,205.0,0.0,0
2019-12-16 15:19:00-05:00,68.77,68.77,68.77,68.77,250.0,0.0,0
2019-12-16 15:20:00-05:00,68.77,68.77,68.77,68.77,100.0,0.0,0
2019-12-16 15:21:00-05:00,68.77,68.77,68.77,68.77,106.0,0.0,0
2019-12-16 15:24:00-05:00,68.8,68.8,68.8,68.8,129.0,0.0,0
2019-12-16 15:26:00-05:00,68.79,68.79,68.79,68.79,200.0,0.0,0
2019-12-16 15:27:00-05:00,68.78,68.78,68.78,68.78,100.0,0.0,0
2019-12-16 15:30:00-05:00,68.74,68.74,68.74,68.74,588.0,0.0,0
2019-12-16 15:36:00-05:00,68.77,68.77,68.77,68.77,181.0,0.0,0
2019-12-16 15:37:00-05:00,68.77,68.77,68.77,68.77,100.0,0.0,0
2019-12-16 15:38:00-05:00,68.78,68.78,68.78,68.78,190.0,0.0,0
2019-12-16 15:40:00-05:00,68.77,68.77,68.77,68.77,835.0,0.0,0
2019-12-16 15:45:00-05:00,68.73,68.73,68.73,68.73,425.0,0.0,0
2019-12-16 15:47:00-05:00,68.72,68.72,68.72,68.72,496.0,0.0,0
2019-12-16 15:50:00-05:00,68.73,68.73,68.72,68.72,787.0,0.0,0
2019-12-16 15:54:00-05:00,68.71,68.71,68.71,68.71,153.0,0.0,0
2019-12-16 15:56:00-05:00,68.7,68.7,68.7,68.7,482.0,0.0,0
2019-12-16 15:58:00-05:00,68.72,68.72,68.72,68.72,269.0,0.0,0
2019-12-16 15:59:00-05:00,68.7,68.7,68.7,68.7,446.0,0.0,0
2019-12-17 09:30:00-05:00,68.8,68.8,68.8,68.8,0.0,0.0,0
2019-12-17 09:47:00-05:00,68.86,68.86,68.86,68.86,1403.0,0.0,0
2019-12-17 09:51:00-05:00,68.8,68.8,68.8,68.8,220.0,0.0,0
2019-12-17 09:54:00-05:00,68.79,68.79,68.79,68.79,100.0,0.0,0
2019-12-17 09:56:00-05:00,68.79,68.79,68.79,68.79,701.0,0.0,0
