Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 16:02:00+00:00,37.6,37.6,37.59,37.59,0,0,0
2019-12-17 16:05:00+00:00,37.63,37.64,37.59,37.59,1654,0,0
2019-12-17 16:08:00+00:00,37.59,37.59,37.59,37.59,887,0,0
2019-12-17 16:11:00+00:00,37.58,37.58,37.58,37.58,851,0,0
2019-12-17 16:14:00+00:00,37.58,37.58,37.58,37.58,595,0,0
2019-12-17 16:16:00+00:00,37.59,37.59,37.58,37.58,890,0,0
2019-12-17 16:20:00+00:00,37.59,37.59,37.59,37.59,570,0,0
2019-12-17 16:22:00+00:00,37.58,37.58,37.58,37.58,880,0,0
2019-12-17 16:25:00+00:00,37.59,37.59,37.59,37.59,849,0,0
2019-12-17 16:27:00+00:00,37.59,37.59,37.59,37.59,471,0,0
2019-12-17 16:28:00+00:00,37.6,37.6,37.6,37.6,0,0,0
2019-12-18 08:02:00+00:00,37.68,37.68,37.68,37.68,17,0,0
2019-12-18 09:48:00+00:00,37.63,37.63,37.63,37.63,38,0,0
2019-12-18 10:01:00+00:00,37.67,37.67,37.67,37.67,886,0,0
2019-12-18 10:05:00+00:00,37.62,37.62,37.61,37.61,2362,0,0
2019-12-18 10:11:00+00:00,37.69,37.69,37.69,37.69,1700,0,0
2019-12-18 10:57:00+00:00,37.66,37.66,37.66,37.66,17,0,0
2019-12-18 11:23:00+00:00,37.62,37.62,37.62,37.62,143,0,0
2019-12-18 15:47:00+00:00,37.56,37.57,37.56,37.57,5263,0,0
2019-12-19 08:06:00+00:00,37.55,37.55,37.55,37.55,139,0,0
2019-12-19 08:08:00+00:00,37.55,37.57,37.55,37.57,200,0,0
2019-12-19 08:09:00+00:00,37.58,37.58,37.58,37.58,26,0,0
2019-12-19 08:11:00+00:00,37.58,37.58,37.58,37.58,107,0,0
2019-12-19 08:12:00+00:00,37.58,37.58,37.58,37.58,113,0,0
2019-12-19 08:14:00+00:00,37.58,37.58,37.58,37.58,121,0,0
2019-12-19 08:16:00+00:00,37.59,37.59,37.59,37.59,112,0,0
2019-12-19 08:18:00+00:00,37.58,37.58,37.58,37.58,133,0,0
2019-12-19 08:20:00+00:00,37.59,37.59,37.59,37.59,119,0,0
2019-12-19 08:22:00+00:00,37.59,37.59,37.59,37.59,113,0,0
2019-12-19 08:25:00+00:00,37.59,37.59,37.59,37.59,149,0,0
2019-12-19 08:28:00+00:00,37.59,37.59,37.59,37.59,159,0,0
2019-12-19 08:29:00+00:00,37.59,37.59,37.59,37.59,127,0,0
2019-12-19 08:30:00+00:00,37.58,37.58,37.58,37.58,136,0,0
2019-12-19 08:35:00+00:00,37.57,37.57,37.57,37.57,92,0,0
2019-12-19 08:36:00+00:00,37.57,37.57,37.57,37.57,92,0,0
2019-12-19 08:38:00+00:00,37.57,37.57,37.57,37.57,184,0,0
2019-12-19 08:39:00+00:00,37.57,37.57,37.57,37.57,102,0,0
