Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 12:06:00+01:00,28.02,28.02,28.02,28.02,0,0,0
2019-12-17 14:45:00+01:00,28.09,28.09,28.09,28.09,4403,0,0
2019-12-17 16:09:00+01:00,28.15,28.15,28.15,28.15,730,0,0
2019-12-18 11:59:00+01:00,28.37,28.37,28.37,28.37,0,0,0
2019-12-18 12:38:00+01:00,28.35,28.35,28.35,28.35,4900,0,0
2019-12-18 13:42:00+01:00,28.32,28.32,28.32,28.32,500,0,0
2019-12-18 14:59:00+01:00,28.27,28.27,28.27,28.27,950,0,0
2019-12-18 15:43:00+01:00,28.34,28.34,28.34,28.34,600,0,0
2019-12-19 09:01:00+01:00,28.19,28.19,28.19,28.19,0,0,0
2019-12-19 16:21:00+01:00,28.25,28.25,28.25,28.25,392,0,0
2019-12-19 16:27:00+01:00,28.25,28.25,28.25,28.25,3139,0,0
2019-12-19 17:02:00+01:00,28.23,28.23,28.23,28.23,800,0,0
2019-12-20 09:39:00+01:00,28.43,28.43,28.43,28.43,0,0,0
2019-12-20 11:57:00+01:00,28.42,28.42,28.42,28.42,0,0,0
2019-12-20 14:47:00+01:00,28.43,28.43,28.43,28.43,3668,0,0
2019-12-20 16:51:00+01:00,28.55,28.55,28.55,28.55,160,0,0
2019-12-23 11:53:00+01:00,28.7,28.7,28.7,28.7,0,0,0
2019-12-23 12:02:00+01:00,28.67,28.67,28.67,28.67,180,0,0
2019-12-23 16:10:00+01:00,28.73,28.73,28.73,28.73,720,0,0
2019-12-27 09:19:00+01:00,28.74,28.74,28.74,28.74,0,0,0
2019-12-27 11:17:00+01:00,28.74,28.74,28.74,28.74,418,0,0
2019-12-27 11:34:00+01:00,28.71,28.75,28.71,28.75,1601,0,0
2019-12-27 14:36:00+01:00,28.81,28.81,28.81,28.81,1044,0,0
2019-12-27 15:28:00+01:00,28.75,28.75,28.75,28.75,5000,0,0
2019-12-27 15:34:00+01:00,28.7,28.7,28.7,28.7,110,0,0
2019-12-27 15:46:00+01:00,28.71,28.71,28.71,28.71,4945,0,0
2019-12-27 15:47:00+01:00,28.7,28.7,28.7,28.7,5000,0,0
2019-12-27 17:14:00+01:00,28.71,28.71,28.71,28.71,15000,0,0
2019-12-30 11:27:00+01:00,28.67,28.67,28.67,28.67,0,0,0
2019-12-30 11:58:00+01:00,28.58,28.58,28.58,28.58,11000,0,0
2019-12-30 14:17:00+01:00,28.58,28.58,28.58,28.58,650,0,0
2020-01-03 09:00:00+01:00,28.42,28.42,28.42,28.42,0,0,0
2020-01-03 12:32:00+01:00,28.46,28.46,28.46,28.46,206,0,0
2020-01-03 14:31:00+01:00,28.57,28.57,28.57,28.57,120,0,0
2020-01-03 14:52:00+01:00,28.6,28.6,28.6,28.6,1118,0,0
2020-01-03 16:26:00+01:00,28.66,28.66,28.66,28.66,9000,0,0
2020-01-06 11:44:00+01:00,28.41,28.41,28.41,28.41,0,0,0
