Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:05:00+01:00,100.82,100.82,100.82,100.82,0,0,0
2019-12-18 09:34:00+01:00,101.1,101.1,101.1,101.1,5,0,0
2019-12-18 11:32:00+01:00,100.96,100.96,100.96,100.96,1,0,0
2019-12-18 11:34:00+01:00,100.96,100.96,100.96,100.96,4,0,0
2019-12-18 11:35:00+01:00,100.96,100.96,100.96,100.96,6,0,0
2019-12-19 09:05:00+01:00,100.94,100.94,100.94,100.94,1,0,0
2019-12-19 14:13:00+01:00,100.82,100.82,100.82,100.82,0,0,0
2019-12-20 09:05:00+01:00,101.08,101.08,101.08,101.08,1,0,0
2019-12-23 09:05:00+01:00,101.28,101.28,101.28,101.28,0,0,0
2019-12-23 15:39:00+01:00,101.64,101.64,101.64,101.64,30,0,0
2019-12-24 09:05:00+01:00,101.46,101.46,101.46,101.46,0,0,0
2019-12-24 11:48:00+01:00,101.38,101.38,101.38,101.38,0,0,0
2019-12-24 12:00:00+01:00,102.0,102.0,102.0,102.0,5,0,0
2019-12-24 12:04:00+01:00,101.4,101.4,101.4,101.4,5,0,0
2019-12-24 14:00:00+01:00,101.76,101.76,101.76,101.76,0,0,0
