Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:08:00+01:00,98.92,98.92,98.92,98.92,0,0,0
2019-12-18 08:27:00+01:00,98.67,98.67,98.67,98.67,0,0,0
2019-12-18 08:52:00+01:00,98.67,98.67,98.67,98.67,0,0,0
2019-12-18 09:35:00+01:00,98.98,98.98,98.98,98.98,0,0,0
2019-12-18 10:05:00+01:00,98.9,98.9,98.9,98.9,0,0,0
2019-12-18 10:36:00+01:00,99.0,99.0,99.0,99.0,0,0,0
2019-12-18 11:06:00+01:00,98.96,98.96,98.96,98.96,0,0,0
2019-12-18 11:36:00+01:00,98.8,98.8,98.8,98.8,0,0,0
2019-12-18 12:06:00+01:00,98.85,98.85,98.85,98.85,0,0,0
2019-12-18 12:37:00+01:00,98.82,98.82,98.82,98.82,0,0,0
2019-12-18 13:07:00+01:00,98.82,98.82,98.82,98.82,0,0,0
2019-12-18 13:37:00+01:00,98.74,98.74,98.74,98.74,0,0,0
2019-12-18 14:07:00+01:00,98.61,98.61,98.61,98.61,0,0,0
2019-12-18 14:38:00+01:00,98.54,98.54,98.54,98.54,0,0,0
2019-12-18 15:08:00+01:00,98.75,98.75,98.75,98.75,0,0,0
2019-12-18 15:38:00+01:00,98.83,98.83,98.83,98.83,0,0,0
2019-12-18 16:09:00+01:00,98.71,98.71,98.71,98.71,0,0,0
2019-12-18 16:39:00+01:00,98.53,98.53,98.53,98.53,0,0,0
2019-12-18 17:09:00+01:00,98.46,98.46,98.46,98.46,0,0,0
2019-12-18 17:39:00+01:00,98.23,98.23,98.23,98.23,0,0,0
2019-12-18 18:10:00+01:00,98.27,98.27,98.27,98.27,0,0,0
2019-12-18 18:40:00+01:00,98.27,98.27,98.27,98.27,0,0,0
2019-12-18 19:10:00+01:00,98.31,98.31,98.31,98.31,0,0,0
2019-12-18 19:40:00+01:00,98.31,98.31,98.31,98.31,0,0,0
2019-12-18 19:50:00+01:00,98.31,98.31,98.31,98.31,0,0,0
2019-12-19 08:27:00+01:00,98.35,98.35,98.35,98.35,0,0,0
2019-12-19 08:52:00+01:00,98.38,98.38,98.38,98.38,0,0,0
2019-12-19 09:35:00+01:00,98.4,98.4,98.4,98.4,0,0,0
2019-12-19 10:05:00+01:00,98.48,98.48,98.48,98.48,0,0,0
2019-12-19 10:35:00+01:00,98.32,98.32,98.32,98.32,0,0,0
2019-12-19 11:05:00+01:00,98.31,98.31,98.31,98.31,0,0,0
2019-12-19 11:35:00+01:00,98.26,98.26,98.26,98.26,0,0,0
2019-12-19 12:05:00+01:00,98.22,98.22,98.22,98.22,0,0,0
2019-12-19 12:35:00+01:00,98.12,98.12,98.12,98.12,0,0,0
2019-12-19 13:05:00+01:00,98.02,98.02,98.02,98.02,0,0,0
2019-12-19 13:35:00+01:00,97.95,97.95,97.95,97.95,0,0,0
2019-12-19 14:06:00+01:00,97.97,97.97,97.97,97.97,0,0,0
2019-12-19 14:36:00+01:00,97.86,97.86,97.86,97.86,0,0,0
2019-12-19 15:07:00+01:00,97.94,97.94,97.94,97.94,0,0,0
2019-12-19 15:37:00+01:00,97.97,97.97,97.97,97.97,0,0,0
2019-12-19 16:07:00+01:00,97.99,97.99,97.99,97.99,0,0,0
2019-12-19 16:37:00+01:00,98.05,98.05,98.05,98.05,0,0,0
2019-12-19 17:07:00+01:00,98.18,98.18,98.18,98.18,0,0,0
2019-12-20 08:27:00+01:00,98.04,98.04,98.04,98.04,0,0,0
2019-12-20 08:52:00+01:00,98.23,98.23,98.23,98.23,0,0,0
