Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,44.62,44.62,44.6,44.6,0,0,0
2019-12-17 11:02:00-05:00,44.61,44.62,44.61,44.62,1214,0,0
2019-12-17 11:03:00-05:00,44.62,44.62,44.62,44.62,624,0,0
2019-12-17 11:04:00-05:00,44.63,44.63,44.62,44.63,640,0,0
2019-12-17 11:05:00-05:00,44.63,44.63,44.62,44.62,801,0,0
2019-12-17 11:06:00-05:00,44.62,44.62,44.62,44.62,467,0,0
2019-12-17 11:08:00-05:00,44.62,44.62,44.6,44.6,5490,0,0
2019-12-17 11:09:00-05:00,44.61,44.62,44.6,44.6,3416,0,0
2019-12-17 11:10:00-05:00,44.6,44.6,44.58,44.58,823,0,0
2019-12-17 11:12:00-05:00,44.61,44.61,44.59,44.59,759,0,0
2019-12-17 11:13:00-05:00,44.58,44.59,44.58,44.59,659,0,0
2019-12-17 11:14:00-05:00,44.6,44.63,44.6,44.63,628,0,0
2019-12-17 11:15:00-05:00,44.61,44.61,44.61,44.61,1226,0,0
2019-12-17 11:16:00-05:00,44.62,44.64,44.62,44.63,1324,0,0
2019-12-17 11:17:00-05:00,44.63,44.63,44.63,44.63,993,0,0
2019-12-17 11:18:00-05:00,44.62,44.62,44.61,44.61,1017,0,0
2019-12-17 11:19:00-05:00,44.59,44.59,44.59,44.59,255,0,0
2019-12-17 11:20:00-05:00,44.59,44.62,44.59,44.62,1707,0,0
2019-12-17 11:21:00-05:00,44.62,44.62,44.62,44.62,188,0,0
2019-12-17 11:22:00-05:00,44.62,44.62,44.61,44.61,1673,0,0
2019-12-17 11:24:00-05:00,44.6,44.6,44.6,44.6,197,0,0
2019-12-17 11:25:00-05:00,44.61,44.61,44.6,44.6,1570,0,0
2019-12-17 11:27:00-05:00,44.62,44.62,44.61,44.61,411,0,0
2019-12-17 11:28:00-05:00,44.6,44.6,44.6,44.6,341,0,0
2019-12-17 11:30:00-05:00,44.59,44.59,44.58,44.58,1158,0,0
2019-12-17 11:31:00-05:00,44.58,44.59,44.58,44.59,431,0,0
2019-12-17 11:32:00-05:00,44.58,44.59,44.58,44.59,505,0,0
2019-12-17 11:34:00-05:00,44.58,44.58,44.58,44.58,113,0,0
2019-12-17 11:35:00-05:00,44.57,44.57,44.57,44.57,460,0,0
2019-12-17 11:36:00-05:00,44.58,44.58,44.58,44.58,120,0,0
2019-12-17 11:37:00-05:00,44.59,44.59,44.59,44.59,142,0,0
2019-12-17 11:38:00-05:00,44.6,44.6,44.6,44.6,211,0,0
2019-12-17 11:39:00-05:00,44.6,44.6,44.6,44.6,1405,0,0
2019-12-17 11:40:00-05:00,44.61,44.61,44.61,44.61,392,0,0
2019-12-17 11:41:00-05:00,44.6,44.6,44.6,44.6,7600,0,0
2019-12-17 11:42:00-05:00,44.59,44.59,44.57,44.58,1390,0,0
2019-12-17 11:43:00-05:00,44.57,44.61,44.57,44.61,1876,0,0
2019-12-17 11:44:00-05:00,44.62,44.62,44.6,44.6,502,0,0
2019-12-17 11:45:00-05:00,44.61,44.62,44.61,44.61,6599,0,0
2019-12-17 11:46:00-05:00,44.6,44.61,44.6,44.61,980,0,0
2019-12-17 11:47:00-05:00,44.62,44.62,44.61,44.61,1994,0,0
2019-12-17 11:50:00-05:00,44.61,44.63,44.61,44.63,304,0,0
2019-12-17 11:51:00-05:00,44.63,44.65,44.63,44.64,3904,0,0
2019-12-17 11:52:00-05:00,44.63,44.63,44.63,44.63,211,0,0
2019-12-17 11:54:00-05:00,44.65,44.65,44.65,44.65,143,0,0
2019-12-17 11:55:00-05:00,44.65,44.65,44.65,44.65,400,0,0
2019-12-17 11:56:00-05:00,44.64,44.64,44.63,44.64,1040,0,0
2019-12-17 11:57:00-05:00,44.64,44.64,44.64,44.64,209,0,0
2019-12-17 11:58:00-05:00,44.66,44.66,44.66,44.66,1663,0,0
2019-12-17 12:01:00-05:00,44.67,44.67,44.67,44.67,2217,0,0
2019-12-17 12:02:00-05:00,44.67,44.67,44.67,44.67,271,0,0
2019-12-17 12:03:00-05:00,44.66,44.67,44.66,44.67,1164,0,0
2019-12-17 12:04:00-05:00,44.69,44.69,44.69,44.69,494,0,0
2019-12-17 12:05:00-05:00,44.67,44.67,44.67,44.67,508,0,0
2019-12-17 12:07:00-05:00,44.67,44.69,44.67,44.69,1235,0,0
2019-12-17 12:09:00-05:00,44.67,44.67,44.67,44.67,997,0,0
2019-12-17 12:10:00-05:00,44.67,44.67,44.67,44.67,542,0,0
2019-12-17 12:11:00-05:00,44.67,44.67,44.67,44.67,334,0,0
2019-12-17 12:12:00-05:00,44.67,44.67,44.66,44.66,630,0,0
2019-12-17 12:13:00-05:00,44.66,44.66,44.65,44.65,423,0,0
2019-12-17 12:14:00-05:00,44.65,44.65,44.65,44.65,916,0,0
2019-12-17 12:15:00-05:00,44.66,44.66,44.66,44.66,297,0,0
2019-12-17 12:16:00-05:00,44.65,44.65,44.65,44.65,580,0,0
2019-12-17 12:17:00-05:00,44.67,44.67,44.67,44.67,461,0,0
2019-12-17 12:18:00-05:00,44.67,44.67,44.66,44.67,2321,0,0
2019-12-17 12:19:00-05:00,44.68,44.68,44.67,44.67,441,0,0
2019-12-17 12:20:00-05:00,44.67,44.67,44.67,44.67,372,0,0
2019-12-17 12:21:00-05:00,44.67,44.67,44.66,44.67,865,0,0
2019-12-17 12:22:00-05:00,44.67,44.67,44.66,44.66,578,0,0
2019-12-17 12:23:00-05:00,44.68,44.68,44.68,44.68,3934,0,0
2019-12-17 12:24:00-05:00,44.69,44.69,44.68,44.68,739,0,0
2019-12-17 12:25:00-05:00,44.68,44.68,44.68,44.68,435,0,0
2019-12-17 12:26:00-05:00,44.68,44.69,44.68,44.69,244,0,0
2019-12-17 12:27:00-05:00,44.68,44.68,44.68,44.68,244,0,0
2019-12-17 12:28:00-05:00,44.67,44.67,44.67,44.67,267,0,0
2019-12-17 12:29:00-05:00,44.67,44.67,44.67,44.67,274,0,0
2019-12-17 12:30:00-05:00,44.67,44.67,44.63,44.63,69651,0,0
2019-12-17 12:31:00-05:00,44.64,44.65,44.63,44.63,2617,0,0
2019-12-17 12:32:00-05:00,44.63,44.64,44.63,44.64,1992,0,0
2019-12-17 12:33:00-05:00,44.63,44.63,44.61,44.61,1412,0,0
2019-12-17 12:34:00-05:00,44.63,44.63,44.62,44.62,1444,0,0
2019-12-17 12:35:00-05:00,44.63,44.63,44.62,44.62,431,0,0
2019-12-17 12:36:00-05:00,44.62,44.62,44.61,44.61,535,0,0
2019-12-17 12:37:00-05:00,44.6,44.62,44.59,44.62,2618,0,0
2019-12-17 12:38:00-05:00,44.62,44.62,44.62,44.62,430,0,0
2019-12-17 12:39:00-05:00,44.63,44.63,44.63,44.63,203,0,0
2019-12-17 12:40:00-05:00,44.64,44.65,44.64,44.65,1386,0,0
2019-12-17 12:41:00-05:00,44.64,44.64,44.64,44.64,167,0,0
2019-12-17 12:42:00-05:00,44.66,44.66,44.64,44.64,1172,0,0
2019-12-17 12:43:00-05:00,44.64,44.64,44.63,44.63,2876,0,0
2019-12-17 12:44:00-05:00,44.64,44.64,44.64,44.64,100,0,0
2019-12-17 12:45:00-05:00,44.64,44.64,44.63,44.63,816,0,0
2019-12-17 12:46:00-05:00,44.64,44.64,44.63,44.63,404,0,0
2019-12-17 12:47:00-05:00,44.64,44.64,44.64,44.64,1224,0,0
2019-12-17 12:48:00-05:00,44.65,44.65,44.64,44.64,473,0,0
2019-12-17 12:49:00-05:00,44.63,44.63,44.62,44.62,449,0,0
2019-12-17 12:50:00-05:00,44.62,44.63,44.62,44.63,912,0,0
2019-12-17 12:51:00-05:00,44.62,44.62,44.62,44.62,819,0,0
2019-12-17 12:52:00-05:00,44.62,44.64,44.62,44.64,1197,0,0
2019-12-17 12:53:00-05:00,44.63,44.63,44.62,44.62,303,0,0
2019-12-17 12:54:00-05:00,44.62,44.62,44.61,44.61,760,0,0
2019-12-17 12:55:00-05:00,44.63,44.63,44.63,44.63,1000,0,0
2019-12-17 12:56:00-05:00,44.63,44.63,44.62,44.62,2103,0,0
2019-12-17 12:57:00-05:00,44.62,44.62,44.61,44.61,427,0,0
2019-12-17 12:58:00-05:00,44.62,44.62,44.62,44.62,1986,0,0
2019-12-17 12:59:00-05:00,44.63,44.63,44.63,44.63,200,0,0
2019-12-17 13:00:00-05:00,44.62,44.62,44.61,44.61,1270,0,0
2019-12-17 13:01:00-05:00,44.61,44.61,44.61,44.61,333,0,0
2019-12-17 13:02:00-05:00,44.6,44.6,44.6,44.6,703,0,0
2019-12-17 13:03:00-05:00,44.59,44.59,44.59,44.59,264,0,0
2019-12-17 13:04:00-05:00,44.59,44.59,44.59,44.59,967,0,0
2019-12-17 13:05:00-05:00,44.59,44.6,44.58,44.58,578,0,0
2019-12-17 13:07:00-05:00,44.59,44.59,44.58,44.58,1313,0,0
2019-12-17 13:08:00-05:00,44.56,44.57,44.56,44.57,1433,0,0
2019-12-17 13:09:00-05:00,44.57,44.57,44.55,44.55,1211,0,0
2019-12-17 13:10:00-05:00,44.55,44.55,44.54,44.54,2462,0,0
2019-12-17 13:11:00-05:00,44.53,44.53,44.53,44.53,428,0,0
2019-12-17 13:12:00-05:00,44.52,44.53,44.52,44.53,893,0,0
2019-12-17 13:13:00-05:00,44.53,44.54,44.53,44.54,540,0,0
2019-12-17 13:14:00-05:00,44.55,44.56,44.55,44.56,1790,0,0
2019-12-17 13:15:00-05:00,44.56,44.56,44.56,44.56,406,0,0
2019-12-17 13:16:00-05:00,44.55,44.56,44.55,44.56,959,0,0
2019-12-17 13:17:00-05:00,44.55,44.55,44.55,44.55,354,0,0
2019-12-17 13:18:00-05:00,44.55,44.55,44.55,44.55,100,0,0
2019-12-17 13:19:00-05:00,44.54,44.54,44.54,44.54,2500,0,0
2019-12-17 13:20:00-05:00,44.54,44.54,44.53,44.53,5954,0,0
2019-12-17 13:22:00-05:00,44.51,44.51,44.5,44.5,2442,0,0
2019-12-17 13:23:00-05:00,44.51,44.51,44.51,44.51,1912,0,0
2019-12-17 13:24:00-05:00,44.52,44.52,44.52,44.52,235,0,0
2019-12-17 13:25:00-05:00,44.52,44.52,44.52,44.52,305,0,0
2019-12-17 13:26:00-05:00,44.53,44.53,44.53,44.53,421,0,0
2019-12-17 13:27:00-05:00,44.53,44.53,44.53,44.53,649,0,0
2019-12-17 13:28:00-05:00,44.53,44.53,44.51,44.51,4489,0,0
2019-12-17 13:29:00-05:00,44.51,44.51,44.51,44.51,758,0,0
2019-12-17 13:30:00-05:00,44.51,44.51,44.5,44.5,750,0,0
2019-12-17 13:31:00-05:00,44.51,44.51,44.51,44.51,2076,0,0
2019-12-17 13:32:00-05:00,44.5,44.5,44.5,44.5,1577,0,0
2019-12-17 13:33:00-05:00,44.49,44.49,44.49,44.49,453,0,0
2019-12-17 13:34:00-05:00,44.48,44.48,44.45,44.46,5463,0,0
2019-12-17 13:35:00-05:00,44.47,44.47,44.47,44.47,298,0,0
2019-12-17 13:37:00-05:00,44.47,44.49,44.47,44.49,537,0,0
2019-12-17 13:38:00-05:00,44.5,44.5,44.5,44.5,150,0,0
2019-12-17 13:39:00-05:00,44.5,44.51,44.5,44.51,300,0,0
2019-12-17 13:40:00-05:00,44.51,44.51,44.51,44.51,2202,0,0
2019-12-17 13:41:00-05:00,44.51,44.51,44.5,44.5,3470,0,0
2019-12-17 13:42:00-05:00,44.51,44.52,44.51,44.51,1060,0,0
2019-12-17 13:43:00-05:00,44.51,44.51,44.51,44.51,567,0,0
2019-12-17 13:44:00-05:00,44.5,44.5,44.5,44.5,454,0,0
2019-12-17 13:45:00-05:00,44.5,44.51,44.5,44.51,518,0,0
2019-12-17 13:46:00-05:00,44.52,44.53,44.51,44.53,5948,0,0
2019-12-17 13:47:00-05:00,44.53,44.53,44.52,44.52,2103,0,0
2019-12-17 13:48:00-05:00,44.52,44.53,44.5,44.51,5020,0,0
2019-12-17 13:49:00-05:00,44.5,44.5,44.5,44.5,649,0,0
2019-12-17 13:50:00-05:00,44.5,44.5,44.48,44.48,1652,0,0
2019-12-17 13:51:00-05:00,44.47,44.47,44.47,44.47,335,0,0
2019-12-17 13:52:00-05:00,44.47,44.47,44.47,44.47,100,0,0
2019-12-17 13:53:00-05:00,44.46,44.47,44.46,44.47,2480,0,0
2019-12-17 13:54:00-05:00,44.47,44.47,44.47,44.47,300,0,0
2019-12-17 13:55:00-05:00,44.46,44.46,44.46,44.46,173,0,0
2019-12-17 13:56:00-05:00,44.47,44.48,44.47,44.48,1137,0,0
2019-12-17 13:58:00-05:00,44.47,44.47,44.47,44.47,463,0,0
2019-12-17 13:59:00-05:00,44.47,44.47,44.47,44.47,435,0,0
2019-12-17 14:00:00-05:00,44.47,44.47,44.46,44.46,3437,0,0
2019-12-17 14:01:00-05:00,44.44,44.44,44.44,44.44,1128,0,0
2019-12-17 14:02:00-05:00,44.43,44.43,44.42,44.42,1701,0,0
2019-12-17 14:04:00-05:00,44.41,44.41,44.41,44.41,116,0,0
2019-12-17 14:05:00-05:00,44.41,44.42,44.4,44.42,1790,0,0
2019-12-17 14:06:00-05:00,44.4,44.4,44.4,44.4,126,0,0
2019-12-17 14:07:00-05:00,44.41,44.42,44.41,44.42,1847,0,0
2019-12-17 14:08:00-05:00,44.42,44.43,44.42,44.43,320,0,0
2019-12-17 14:09:00-05:00,44.42,44.42,44.42,44.42,2840,0,0
2019-12-17 14:10:00-05:00,44.43,44.43,44.42,44.42,766,0,0
