Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 11:56:00-05:00,99.5,99.5,99.5,99.5,0,0,0
2019-12-18 12:39:00-05:00,99.5,99.5,99.5,99.5,156,0,0
2019-12-18 15:41:00-05:00,99.78,99.89,99.78,99.89,707,0,0
2019-12-19 11:20:00-05:00,99.8,99.8,99.8,99.8,13,0,0
2019-12-19 15:59:00-05:00,99.93,99.93,99.89,99.89,0,0,0
2019-12-20 09:30:00-05:00,100.49,100.49,100.49,100.49,1176,0,0
2019-12-20 09:33:00-05:00,100.5,100.5,100.5,100.5,2733,0,0
2019-12-20 12:52:00-05:00,101.29,101.29,101.28,101.29,1254,0,0
2019-12-20 15:40:00-05:00,101.38,101.38,101.38,101.38,100,0,0
2019-12-20 15:59:00-05:00,101.45,101.5,101.42,101.5,967,0,0
2019-12-23 09:30:00-05:00,101.17,101.17,101.17,101.17,55,0,0
2019-12-23 15:16:00-05:00,100.86,100.91,100.86,100.91,489,0,0
2019-12-24 09:40:00-05:00,101.0,101.0,101.0,101.0,344,0,0
