Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 10:05:00+11:00,14.15,14.15,14.15,14.15,1418,0,0
2019-12-18 10:16:00+11:00,14.04,14.04,14.04,14.04,596,0,0
2019-12-18 10:17:00+11:00,14.05,14.05,14.05,14.05,710,0,0
2019-12-18 10:29:00+11:00,14.08,14.08,14.08,14.08,3500,0,0
2019-12-18 10:32:00+11:00,14.06,14.06,14.06,14.06,1055,0,0
2019-12-18 10:41:00+11:00,14.06,14.06,14.06,14.06,2015,0,0
2019-12-18 11:03:00+11:00,14.04,14.04,14.04,14.04,4775,0,0
2019-12-18 11:07:00+11:00,14.02,14.02,14.02,14.02,3302,0,0
2019-12-18 11:14:00+11:00,14.02,14.02,14.02,14.02,6800,0,0
2019-12-18 11:59:00+11:00,14.03,14.03,14.03,14.03,1154,0,0
2019-12-18 12:01:00+11:00,14.04,14.04,14.04,14.04,41,0,0
2019-12-18 12:04:00+11:00,14.04,14.04,14.04,14.04,2812,0,0
2019-12-18 12:15:00+11:00,14.03,14.03,14.03,14.03,7158,0,0
2019-12-18 12:23:00+11:00,14.09,14.09,14.09,14.09,2105,0,0
2019-12-18 12:30:00+11:00,14.06,14.06,14.06,14.06,59,0,0
2019-12-18 12:57:00+11:00,14.05,14.05,14.05,14.05,2000,0,0
2019-12-18 13:15:00+11:00,14.08,14.08,14.08,14.08,68,0,0
2019-12-18 13:38:00+11:00,14.03,14.03,14.03,14.03,1428,0,0
2019-12-18 13:41:00+11:00,14.03,14.03,14.03,14.03,1540,0,0
2019-12-18 14:11:00+11:00,14.02,14.02,14.02,14.02,4537,0,0
2019-12-18 14:12:00+11:00,14.02,14.02,14.02,14.02,2124,0,0
2019-12-18 14:15:00+11:00,14.0,14.0,14.0,14.0,2145,0,0
2019-12-18 14:20:00+11:00,14.0,14.0,14.0,14.0,431,0,0
2019-12-18 14:26:00+11:00,14.01,14.01,14.01,14.01,707,0,0
2019-12-18 14:29:00+11:00,14.02,14.02,14.02,14.02,143,0,0
2019-12-18 14:31:00+11:00,14.02,14.02,14.02,14.02,141,0,0
2019-12-18 14:32:00+11:00,14.02,14.02,14.02,14.02,2719,0,0
2019-12-18 14:39:00+11:00,14.01,14.01,14.01,14.01,392,0,0
2019-12-18 14:42:00+11:00,14.03,14.03,14.03,14.03,637,0,0
2019-12-18 14:50:00+11:00,14.03,14.03,14.03,14.03,639,0,0
2019-12-18 14:58:00+11:00,14.03,14.03,14.03,14.03,724,0,0
2019-12-18 14:59:00+11:00,14.03,14.03,14.03,14.03,654,0,0
2019-12-18 15:03:00+11:00,14.04,14.04,14.04,14.04,402,0,0
2019-12-18 15:12:00+11:00,14.04,14.04,14.04,14.04,678,0,0
2019-12-18 15:19:00+11:00,14.05,14.05,14.05,14.05,581,0,0
2019-12-18 15:22:00+11:00,14.02,14.02,14.02,14.02,360,0,0
2019-12-18 15:25:00+11:00,14.05,14.05,14.05,14.05,516,0,0
2019-12-18 15:26:00+11:00,14.05,14.05,14.05,14.05,263,0,0
2019-12-18 15:31:00+11:00,14.05,14.05,14.05,14.05,573,0,0
2019-12-18 15:35:00+11:00,14.02,14.02,14.02,14.02,503,0,0
2019-12-18 15:37:00+11:00,14.04,14.04,14.04,14.04,467,0,0
2019-12-18 15:39:00+11:00,14.03,14.03,14.03,14.03,1878,0,0
2019-12-18 15:41:00+11:00,14.04,14.04,14.04,14.04,14609,0,0
2019-12-18 15:44:00+11:00,14.04,14.04,14.04,14.04,314,0,0
2019-12-18 15:48:00+11:00,14.04,14.04,14.04,14.04,426,0,0
2019-12-18 15:51:00+11:00,14.04,14.04,14.02,14.02,811,0,0
2019-12-18 15:54:00+11:00,14.04,14.04,14.04,14.04,475,0,0
2019-12-18 15:55:00+11:00,14.03,14.03,14.03,14.03,192,0,0
2019-12-18 15:57:00+11:00,14.03,14.03,14.03,14.03,266,0,0
2019-12-18 15:58:00+11:00,14.02,14.03,14.02,14.02,1770,0,0
2019-12-19 10:09:00+11:00,14.03,14.03,14.03,14.03,0,0,0
2019-12-19 10:15:00+11:00,14.05,14.05,14.03,14.04,4491,0,0
2019-12-19 10:21:00+11:00,14.03,14.03,14.02,14.02,707,0,0
2019-12-19 10:27:00+11:00,14.01,14.01,14.01,14.01,856,0,0
2019-12-19 10:28:00+11:00,14.0,14.0,14.0,14.0,310,0,0
2019-12-19 10:55:00+11:00,14.03,14.03,14.03,14.03,16071,0,0
2019-12-19 10:58:00+11:00,14.05,14.05,14.05,14.05,397,0,0
2019-12-19 11:02:00+11:00,14.06,14.06,14.06,14.06,2132,0,0
2019-12-19 11:07:00+11:00,14.04,14.04,14.04,14.04,3500,0,0
2019-12-19 11:13:00+11:00,14.07,14.07,14.07,14.07,1422,0,0
2019-12-19 11:15:00+11:00,14.07,14.07,14.07,14.07,2140,0,0
2019-12-19 11:20:00+11:00,14.11,14.11,14.11,14.11,1416,0,0
2019-12-19 11:25:00+11:00,14.12,14.12,14.12,14.12,682,0,0
2019-12-19 11:51:00+11:00,14.06,14.06,14.06,14.06,1354,0,0
2019-12-19 11:57:00+11:00,14.04,14.04,14.04,14.04,0,0,0
2019-12-19 12:12:00+11:00,14.03,14.03,14.03,14.03,37342,0,0
2019-12-19 12:17:00+11:00,14.05,14.06,14.05,14.06,3125,0,0
2019-12-19 12:23:00+11:00,14.07,14.07,14.07,14.07,710,0,0
2019-12-19 12:38:00+11:00,14.06,14.06,14.06,14.06,1216,0,0
2019-12-19 12:39:00+11:00,14.06,14.06,14.06,14.06,3171,0,0
2019-12-19 13:24:00+11:00,14.03,14.03,14.03,14.03,70,0,0
2019-12-19 13:25:00+11:00,14.03,14.03,14.03,14.03,5000,0,0
2019-12-19 13:28:00+11:00,14.01,14.01,14.01,14.01,332,0,0
2019-12-19 13:40:00+11:00,14.05,14.05,14.05,14.05,371,0,0
2019-12-19 13:50:00+11:00,14.05,14.05,14.05,14.05,310,0,0
2019-12-19 13:55:00+11:00,14.06,14.06,14.06,14.06,495,0,0
2019-12-19 14:01:00+11:00,14.07,14.07,14.07,14.07,514,0,0
2019-12-19 14:07:00+11:00,14.07,14.07,14.07,14.07,623,0,0
2019-12-19 14:13:00+11:00,14.07,14.07,14.07,14.07,481,0,0
2019-12-19 14:19:00+11:00,14.09,14.09,14.09,14.09,0,0,0
2019-12-19 14:25:00+11:00,14.08,14.08,14.08,14.08,54990,0,0
2019-12-19 14:32:00+11:00,14.09,14.09,14.09,14.09,638,0,0
2019-12-19 14:33:00+11:00,14.08,14.08,14.07,14.08,4505,0,0
2019-12-19 14:53:00+11:00,14.08,14.08,14.08,14.08,605,0,0
2019-12-19 14:57:00+11:00,14.09,14.09,14.09,14.09,544,0,0
2019-12-19 15:01:00+11:00,14.07,14.07,14.07,14.07,3438,0,0
2019-12-19 15:08:00+11:00,14.06,14.06,14.06,14.06,710,0,0
2019-12-19 15:17:00+11:00,14.08,14.08,14.08,14.08,618,0,0
2019-12-19 15:22:00+11:00,14.07,14.07,14.07,14.07,652,0,0
2019-12-19 15:27:00+11:00,14.07,14.07,14.07,14.07,622,0,0
2019-12-19 15:31:00+11:00,14.07,14.07,14.07,14.07,5021,0,0
2019-12-19 15:37:00+11:00,14.08,14.08,14.08,14.08,767,0,0
2019-12-19 15:38:00+11:00,14.08,14.08,14.08,14.08,1500,0,0
2019-12-19 15:42:00+11:00,14.08,14.08,14.08,14.08,651,0,0
2019-12-19 15:44:00+11:00,14.08,14.08,14.08,14.08,3403,0,0
2019-12-19 15:46:00+11:00,14.08,14.08,14.08,14.08,244,0,0
2019-12-19 15:48:00+11:00,14.08,14.08,14.08,14.08,3236,0,0
2019-12-19 15:52:00+11:00,14.07,14.07,14.07,14.07,624,0,0
2019-12-19 15:54:00+11:00,14.07,14.07,14.07,14.07,779,0,0
2019-12-19 15:55:00+11:00,14.07,14.07,14.07,14.07,627,0,0
2019-12-19 15:56:00+11:00,14.07,14.07,14.07,14.07,261,0,0
2019-12-19 15:57:00+11:00,14.07,14.07,14.07,14.07,307,0,0
2019-12-19 15:58:00+11:00,14.07,14.07,14.07,14.07,454,0,0
2019-12-19 15:59:00+11:00,14.05,14.05,14.05,14.05,674,0,0
2019-12-20 10:14:00+11:00,14.17,14.17,14.17,14.17,0,0,0
2019-12-20 10:15:00+11:00,14.18,14.18,14.18,14.18,46,0,0
2019-12-20 10:21:00+11:00,14.14,14.14,14.14,14.14,711,0,0
2019-12-20 10:42:00+11:00,14.14,14.14,14.14,14.14,1237,0,0
2019-12-20 10:50:00+11:00,14.14,14.14,14.14,14.14,884,0,0
2019-12-20 10:51:00+11:00,14.14,14.14,14.14,14.14,176,0,0
2019-12-20 10:59:00+11:00,14.12,14.12,14.12,14.12,43,0,0
2019-12-20 11:23:00+11:00,14.07,14.07,14.07,14.07,1049,0,0
2019-12-20 11:28:00+11:00,14.09,14.09,14.09,14.09,495,0,0
2019-12-20 11:32:00+11:00,14.1,14.1,14.1,14.1,217,0,0
2019-12-20 11:53:00+11:00,14.12,14.12,14.12,14.12,136,0,0
2019-12-20 12:00:00+11:00,14.11,14.11,14.11,14.11,1199,0,0
2019-12-20 12:03:00+11:00,14.11,14.11,14.11,14.11,75,0,0
2019-12-20 12:07:00+11:00,14.11,14.11,14.09,14.09,413,0,0
2019-12-20 12:20:00+11:00,14.1,14.1,14.1,14.1,1043,0,0
2019-12-20 12:21:00+11:00,14.12,14.12,14.1,14.1,8582,0,0
2019-12-20 12:23:00+11:00,14.12,14.12,14.12,14.12,709,0,0
2019-12-20 12:24:00+11:00,14.12,14.12,14.1,14.1,2292,0,0
2019-12-20 12:26:00+11:00,14.12,14.12,14.1,14.1,2223,0,0
2019-12-20 12:27:00+11:00,14.1,14.1,14.1,14.1,1109,0,0
2019-12-20 12:30:00+11:00,14.08,14.08,14.08,14.08,4486,0,0
2019-12-20 12:40:00+11:00,14.07,14.07,14.07,14.07,569,0,0
2019-12-20 13:00:00+11:00,14.07,14.07,14.07,14.07,2140,0,0
2019-12-20 13:13:00+11:00,14.08,14.08,14.06,14.06,2885,0,0
2019-12-20 13:14:00+11:00,14.07,14.07,14.07,14.07,212,0,0
2019-12-20 13:45:00+11:00,14.07,14.07,14.07,14.07,87,0,0
2019-12-20 13:46:00+11:00,14.07,14.07,14.07,14.07,200,0,0
2019-12-20 13:51:00+11:00,14.07,14.07,14.07,14.07,200,0,0
2019-12-20 13:56:00+11:00,14.08,14.08,14.08,14.08,2609,0,0
