Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 11:14:00-05:00,51.03,51.03,51.03,51.03,0,0.0,0
2019-12-16 11:15:00-05:00,51.03,51.03,51.03,51.03,2119,0.0,0
2019-12-16 11:16:00-05:00,51.02,51.02,51.02,51.02,3000,0.0,0
2019-12-16 11:20:00-05:00,51.03,51.03,51.03,51.03,16592,0.0,0
2019-12-16 11:24:00-05:00,51.02,51.03,51.02,51.03,3100,0.0,0
2019-12-16 11:25:00-05:00,51.02,51.02,51.02,51.02,1450,0.0,0
2019-12-16 11:26:00-05:00,51.02,51.02,51.02,51.02,406,0.0,0
2019-12-16 11:39:00-05:00,51.02,51.02,51.02,51.02,250,0.0,0
2019-12-16 11:48:00-05:00,51.03,51.03,51.03,51.03,1478,0.0,0
2019-12-16 11:51:00-05:00,51.02,51.02,51.02,51.02,490,0.0,0
2019-12-16 11:56:00-05:00,51.03,51.03,51.03,51.03,328,0.0,0
2019-12-16 12:00:00-05:00,51.02,51.02,51.02,51.02,3383,0.0,0
2019-12-16 12:05:00-05:00,51.02,51.03,51.02,51.03,2186,0.0,0
2019-12-16 12:06:00-05:00,51.02,51.02,51.02,51.02,398,0.0,0
2019-12-16 12:19:00-05:00,51.02,51.02,51.02,51.02,1000,0.0,0
2019-12-16 12:21:00-05:00,51.03,51.03,51.03,51.03,516,0.0,0
2019-12-16 12:28:00-05:00,51.02,51.02,51.02,51.02,1359,0.0,0
2019-12-16 12:42:00-05:00,51.02,51.02,51.02,51.02,849,0.0,0
2019-12-16 12:43:00-05:00,51.02,51.02,51.02,51.02,702,0.0,0
2019-12-16 13:16:00-05:00,51.03,51.03,51.03,51.03,435,0.0,0
2019-12-16 13:43:00-05:00,51.03,51.03,51.03,51.03,333,0.0,0
2019-12-16 13:45:00-05:00,51.02,51.02,51.02,51.02,900,0.0,0
2019-12-16 13:49:00-05:00,51.02,51.02,51.02,51.02,2573,0.0,0
2019-12-16 13:58:00-05:00,51.02,51.02,51.02,51.02,583,0.0,0
2019-12-16 14:02:00-05:00,51.02,51.02,51.02,51.02,1474,0.0,0
2019-12-16 14:03:00-05:00,51.03,51.03,51.03,51.03,1036,0.0,0
2019-12-16 14:08:00-05:00,51.02,51.02,51.02,51.02,100,0.0,0
2019-12-16 14:10:00-05:00,51.02,51.02,51.02,51.02,4158,0.0,0
2019-12-16 14:13:00-05:00,51.02,51.02,51.01,51.01,2606,0.0,0
2019-12-16 14:22:00-05:00,51.01,51.01,51.01,51.01,164,0.0,0
2019-12-16 14:29:00-05:00,51.02,51.02,51.02,51.02,800,0.0,0
2019-12-16 14:31:00-05:00,51.01,51.01,51.01,51.01,486,0.0,0
2019-12-16 14:35:00-05:00,51.01,51.02,51.01,51.02,861,0.0,0
