Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 14:54:00-05:00,52.18,52.18,52.18,52.18,0.0,0.0,0
2019-12-16 15:12:00-05:00,52.1,52.1,52.1,52.1,100.0,0.0,0
2019-12-16 15:22:00-05:00,52.08,52.08,52.08,52.08,100.0,0.0,0
2019-12-16 15:25:00-05:00,52.11,52.11,51.99,52.11,200.0,0.0,0
2019-12-17 09:30:00-05:00,52.1,52.1,52.1,52.1,0.0,0.0,0
2019-12-17 09:39:00-05:00,52.04,52.04,52.04,52.04,420.0,0.0,0
2019-12-17 13:48:00-05:00,52.32,52.43,52.32,52.32,200.0,0.0,0
2019-12-18 09:30:00-05:00,52.77,52.77,52.77,52.77,422.0,0.0,0
2019-12-18 13:15:00-05:00,52.67,52.67,52.67,52.67,350.0,0.0,0
2019-12-18 13:22:00-05:00,52.68,52.73,52.68,52.73,100.0,0.0,0
2019-12-19 09:30:00-05:00,52.81,52.81,52.81,52.81,0.0,0.0,0
2019-12-19 10:33:00-05:00,52.85,52.85,52.85,52.85,205.0,0.0,0
2019-12-19 12:15:00-05:00,53.0,53.04,53.0,53.04,720.0,0.0,0
2019-12-20 11:53:00-05:00,53.43,53.43,53.35,53.35,140.0,0.0,0
2019-12-23 09:30:00-05:00,53.45,53.45,53.45,53.45,100.0,0.165,0
2019-12-23 09:38:00-05:00,52.93,52.93,52.93,52.93,150.0,0.0,0
2019-12-23 10:00:00-05:00,52.98,53.26,52.98,52.98,955.0,0.0,0
2019-12-23 09:30:00-05:00,,,,,,0.165,0
2019-12-24 10:12:00-05:00,53.36,53.36,53.36,53.36,0.0,0.0,0
2019-12-24 10:34:00-05:00,53.41,53.41,53.41,53.41,100.0,0.0,0
2019-12-24 10:36:00-05:00,53.39,53.39,53.39,53.39,100.0,0.0,0
2019-12-24 10:37:00-05:00,53.34,53.53,53.34,53.53,793.0,0.0,0
2019-12-27 10:40:00-05:00,53.1,53.1,53.1,53.1,182.0,0.0,0
2019-12-27 11:15:00-05:00,53.26,53.26,53.26,53.26,545.0,0.0,0
2019-12-27 11:50:00-05:00,53.33,53.33,53.33,53.33,100.0,0.0,0
2019-12-27 12:23:00-05:00,53.09,53.09,53.09,53.09,350.0,0.0,0
2019-12-27 12:57:00-05:00,53.14,53.14,52.98,52.98,1766.0,0.0,0
2019-12-30 10:13:00-05:00,52.37,52.74,52.37,52.37,662.0,0.0,0
2019-12-31 09:40:00-05:00,52.95,52.95,52.95,52.95,0.0,0.0,0
2019-12-31 13:29:00-05:00,53.14,53.14,53.14,53.14,100.0,0.0,0
2019-12-31 14:20:00-05:00,53.25,53.25,53.05,53.05,0.0,0.0,0
2020-01-02 12:23:00-05:00,52.28,52.28,52.28,52.28,258.0,0.0,0
2020-01-02 13:32:00-05:00,52.12,52.12,52.12,52.12,150.0,0.0,0
2020-01-02 15:16:00-05:00,52.6,52.86,52.6,52.86,475.0,0.0,0
2020-01-03 10:31:00-05:00,52.24,52.54,52.24,52.54,119.0,0.0,0
2020-01-06 10:11:00-05:00,51.7,51.7,51.7,51.7,19.0,0.0,0
