Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 11:09:00-05:00,73.85,73.85,73.85,73.85,7,0.0,0
2019-12-16 13:43:00-05:00,73.83,73.83,73.83,73.83,338,0.0,0
2019-12-16 14:14:00-05:00,73.75,73.75,73.75,73.75,100,0.0,0
2019-12-16 14:36:00-05:00,73.71,73.71,73.71,73.71,125,0.0,0
2019-12-16 14:53:00-05:00,73.68,73.68,73.55,73.55,101,0.0,0
2019-12-17 09:30:00-05:00,73.55,73.6,73.55,73.6,0,0.0,0
2019-12-17 09:31:00-05:00,73.58,73.58,73.58,73.58,301,0.0,0
2019-12-17 10:53:00-05:00,73.68,73.68,73.68,73.68,1304,0.0,0
2019-12-17 12:57:00-05:00,73.74,73.74,73.74,73.74,1477,0.0,0
2019-12-17 15:11:00-05:00,73.66,73.66,73.64,73.66,4037,0.0,0
2019-12-18 11:14:00-05:00,73.76,73.76,73.75,73.75,0,0.0,0
2019-12-18 11:36:00-05:00,73.79,73.79,73.79,73.79,217,0.0,0
2019-12-18 11:51:00-05:00,73.76,73.76,73.76,73.76,174,0.0,0
2019-12-18 14:54:00-05:00,73.84,73.84,73.84,73.84,208,0.0,0
2019-12-18 15:29:00-05:00,73.84,73.84,73.84,73.84,261,0.0,0
2019-12-18 15:39:00-05:00,73.78,73.78,73.78,73.78,331,0.0,0
2019-12-18 15:59:00-05:00,73.69,73.69,73.69,73.69,100,0.0,0
2019-12-19 09:30:00-05:00,74.04,74.04,74.04,74.04,0,0.0,0
2019-12-19 10:39:00-05:00,73.73,73.73,73.73,73.73,823,0.0,0
2019-12-19 10:55:00-05:00,73.82,73.82,73.8,73.82,1280,0.0,0
2019-12-19 11:01:00-05:00,73.69,73.69,73.69,73.69,138,0.0,0
2019-12-19 11:43:00-05:00,73.78,73.78,73.78,73.78,180,0.0,0
2019-12-19 12:46:00-05:00,73.79,73.79,73.79,73.79,150,0.0,0
2019-12-19 13:10:00-05:00,73.82,73.82,73.82,73.82,236,0.0,0
2019-12-19 13:17:00-05:00,73.84,73.84,73.84,73.84,1435,0.0,0
2019-12-19 15:02:00-05:00,73.89,73.89,73.89,73.89,185,0.0,0
2019-12-19 15:05:00-05:00,73.89,73.89,73.89,73.89,180,0.0,0
2019-12-19 15:29:00-05:00,73.77,73.77,73.77,73.77,300,0.0,0
2019-12-19 15:40:00-05:00,73.76,73.76,73.76,73.76,390,0.0,0
2019-12-19 15:48:00-05:00,73.78,73.78,73.78,73.78,172,0.0,0
2019-12-19 15:50:00-05:00,73.82,73.82,73.82,73.82,140,0.0,0
2019-12-19 15:53:00-05:00,73.81,73.81,73.79,73.79,5143,0.0,0
2019-12-20 09:30:00-05:00,73.88,73.88,73.88,73.88,0,0.34,0
2019-12-20 09:31:00-05:00,73.93,73.93,73.93,73.93,366,0.0,0
2019-12-20 11:21:00-05:00,73.92,73.92,73.88,73.88,239,0.0,0
2019-12-20 11:44:00-05:00,73.93,73.93,73.93,73.93,103,0.0,0
2019-12-20 12:13:00-05:00,73.9,73.9,73.9,73.9,404,0.0,0
2019-12-20 12:58:00-05:00,73.89,73.89,73.89,73.89,400,0.0,0
2019-12-20 13:21:00-05:00,73.91,73.91,73.91,73.91,372,0.0,0
2019-12-20 13:31:00-05:00,73.9,73.9,73.9,73.9,101,0.0,0
2019-12-20 14:31:00-05:00,73.89,73.89,73.89,73.89,196,0.0,0
2019-12-20 15:00:00-05:00,73.9,73.9,73.9,73.9,100,0.0,0
2019-12-20 15:07:00-05:00,73.92,73.92,73.92,73.92,150,0.0,0
2019-12-20 15:12:00-05:00,73.92,73.92,73.92,73.92,912,0.0,0
2019-12-20 15:21:00-05:00,73.91,73.91,73.91,73.91,272,0.0,0
2019-12-20 15:42:00-05:00,73.89,73.89,73.89,73.89,200,0.0,0
2019-12-20 15:45:00-05:00,73.85,73.91,73.85,73.85,300,0.0,0
2019-12-23 09:30:00-05:00,74.2,74.2,74.2,74.2,0,0.0,0
2019-12-23 09:33:00-05:00,73.9,73.9,73.9,73.9,230,0.0,0
2019-12-23 09:50:00-05:00,73.91,73.91,73.91,73.91,225,0.0,0
2019-12-23 10:08:00-05:00,73.94,73.94,73.94,73.94,300,0.0,0
