Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:17:00+01:00,130.46,130.46,130.46,130.46,0,0,0
2019-12-16 17:20:00+01:00,130.46,130.46,130.46,130.46,59,0,0
2019-12-17 09:04:00+01:00,130.3,130.3,130.3,130.3,0,0,0
2019-12-17 09:20:00+01:00,130.24,130.24,130.24,130.24,16,0,0
2019-12-17 09:23:00+01:00,130.22,130.22,130.22,130.22,75,0,0
2019-12-17 09:25:00+01:00,130.2,130.2,130.2,130.2,4110,0,0
2019-12-17 09:36:00+01:00,130.26,130.26,130.26,130.26,200,0,0
2019-12-17 09:59:00+01:00,130.26,130.26,130.26,130.26,100,0,0
2019-12-17 10:38:00+01:00,130.18,130.18,130.18,130.18,194,0,0
2019-12-17 10:46:00+01:00,130.12,130.12,130.12,130.12,804,0,0
2019-12-17 11:17:00+01:00,130.12,130.12,130.12,130.12,25,0,0
2019-12-17 11:36:00+01:00,130.0,130.0,130.0,130.0,62,0,0
2019-12-17 11:38:00+01:00,129.96,129.96,129.96,129.96,413,0,0
2019-12-17 11:46:00+01:00,129.96,129.96,129.96,129.96,200,0,0
2019-12-17 11:51:00+01:00,130.02,130.02,130.02,130.02,5,0,0
2019-12-17 12:11:00+01:00,129.92,129.92,129.92,129.92,8,0,0
2019-12-17 12:40:00+01:00,129.86,129.86,129.86,129.86,120,0,0
2019-12-17 12:48:00+01:00,129.94,129.94,129.94,129.94,23,0,0
2019-12-17 13:12:00+01:00,129.98,129.98,129.98,129.98,0,0,0
2019-12-17 14:10:00+01:00,129.98,129.98,129.98,129.98,6407,0,0
2019-12-17 14:13:00+01:00,130.0,130.0,130.0,130.0,73,0,0
2019-12-17 14:49:00+01:00,130.16,130.28,130.16,130.28,202,0,0
2019-12-17 15:24:00+01:00,130.22,130.22,130.22,130.22,634,0,0
2019-12-17 15:33:00+01:00,130.06,130.06,130.06,130.06,400,0,0
2019-12-17 15:36:00+01:00,130.22,130.22,130.22,130.22,1,0,0
2019-12-17 15:40:00+01:00,130.1,130.1,130.1,130.1,35,0,0
2019-12-17 15:49:00+01:00,130.0,130.0,130.0,130.0,220,0,0
2019-12-17 16:11:00+01:00,130.04,130.04,130.04,130.04,100,0,0
2019-12-17 16:20:00+01:00,130.16,130.16,130.16,130.16,1257,0,0
2019-12-17 16:39:00+01:00,130.2,130.2,130.2,130.2,5573,0,0
2019-12-17 16:40:00+01:00,130.2,130.22,130.2,130.22,8000,0,0
2019-12-17 16:45:00+01:00,130.18,130.18,130.18,130.18,15,0,0
2019-12-17 16:59:00+01:00,130.1,130.1,130.1,130.1,0,0,0
2019-12-17 17:25:00+01:00,130.06,130.06,130.06,130.06,22939,0,0
2019-12-17 17:26:00+01:00,130.16,130.16,130.16,130.16,35,0,0
