Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:05:00+01:00,82.37,82.37,82.37,82.37,1,0,0
2019-12-18 14:38:00+01:00,82.35,82.35,82.35,82.35,0,0,0
2019-12-19 09:05:00+01:00,82.55,82.55,82.55,82.55,1,0,0
2019-12-19 09:39:00+01:00,82.57,82.58,82.57,82.58,130,0,0
2019-12-19 14:26:00+01:00,82.15,82.15,82.15,82.15,10,0,0
2019-12-19 15:57:00+01:00,82.0,82.0,82.0,82.0,50,0,0
2019-12-19 17:20:00+01:00,82.22,82.22,82.22,82.22,22,0,0
2019-12-20 09:05:00+01:00,82.46,82.46,82.43,82.44,86,0,0
2019-12-20 15:58:00+01:00,82.59,82.59,82.53,82.53,73,0,0
2019-12-23 09:05:00+01:00,82.9,82.9,82.9,82.9,1,0,0
2019-12-24 09:05:00+01:00,82.93,82.93,82.93,82.93,1,0,0
2019-12-24 13:42:00+01:00,83.05,83.05,83.05,83.05,0,0,0
2019-12-24 14:00:00+01:00,82.89,82.89,82.89,82.89,0,0,0
