Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 17:05:00+01:00,56.14,56.14,56.14,56.14,0,0,0
2019-12-17 17:10:00+01:00,56.13,56.13,56.13,56.13,13,0,0
2019-12-17 17:12:00+01:00,56.12,56.12,56.12,56.12,739,0,0
2019-12-17 17:15:00+01:00,56.11,56.11,56.1,56.1,600,0,0
2019-12-17 17:19:00+01:00,56.13,56.13,56.13,56.13,89,0,0
2019-12-18 09:04:00+01:00,56.14,56.14,56.14,56.14,0,0,0
2019-12-18 09:05:00+01:00,56.14,56.14,56.14,56.14,2,0,0
2019-12-18 09:08:00+01:00,56.15,56.15,56.15,56.15,65,0,0
2019-12-18 09:18:00+01:00,56.22,56.22,56.2,56.2,261,0,0
2019-12-18 09:19:00+01:00,56.22,56.22,56.22,56.22,8,0,0
2019-12-18 09:21:00+01:00,56.21,56.21,56.21,56.21,5,0,0
2019-12-18 09:31:00+01:00,56.21,56.21,56.21,56.21,49,0,0
2019-12-18 09:35:00+01:00,56.2,56.2,56.2,56.2,36,0,0
2019-12-18 09:37:00+01:00,56.19,56.19,56.19,56.19,355,0,0
2019-12-18 09:42:00+01:00,56.17,56.17,56.17,56.17,200,0,0
2019-12-18 09:49:00+01:00,56.19,56.19,56.19,56.19,229,0,0
2019-12-18 09:52:00+01:00,56.2,56.2,56.2,56.2,10,0,0
2019-12-18 09:53:00+01:00,56.2,56.2,56.2,56.2,1,0,0
2019-12-18 09:54:00+01:00,56.2,56.2,56.2,56.2,79,0,0
2019-12-18 09:56:00+01:00,56.19,56.19,56.19,56.19,2,0,0
2019-12-18 09:57:00+01:00,56.21,56.21,56.21,56.21,394,0,0
2019-12-18 09:59:00+01:00,56.23,56.23,56.23,56.23,40,0,0
2019-12-18 10:05:00+01:00,56.21,56.21,56.21,56.21,27,0,0
2019-12-18 10:16:00+01:00,56.2,56.2,56.2,56.2,23,0,0
2019-12-18 10:19:00+01:00,56.18,56.18,56.18,56.18,289,0,0
2019-12-18 10:20:00+01:00,56.18,56.18,56.18,56.18,11,0,0
2019-12-18 10:33:00+01:00,56.23,56.23,56.23,56.23,3,0,0
2019-12-18 10:38:00+01:00,56.2,56.2,56.2,56.2,116,0,0
