Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 12:26:00+01:00,124.93,124.93,124.93,124.93,0,0,0
2019-12-18 17:20:00+01:00,125.56,125.75,125.56,125.75,29,0,0
2019-12-19 09:04:00+01:00,125.62,125.62,125.62,125.62,592,0,0
2019-12-19 10:14:00+01:00,125.71,125.71,125.71,125.71,3,0,0
2019-12-19 14:16:00+01:00,125.15,125.15,125.15,125.15,20,0,0
2019-12-19 17:20:00+01:00,125.8,126.12,125.8,125.8,17,0,0
2019-12-20 12:29:00+01:00,126.47,126.47,126.47,126.47,0,0,0
2019-12-20 17:20:00+01:00,126.86,127.15,126.86,127.15,19,0,0
2019-12-23 12:19:00+01:00,127.63,127.63,127.63,127.63,0,0,0
2019-12-23 13:52:00+01:00,127.69,127.69,127.69,127.69,1000,0,0
2019-12-23 17:19:00+01:00,127.17,127.17,127.08,127.08,0,0,0
