Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 08:12:00+01:00,68.57,68.57,68.57,68.57,0,0,0
2019-12-17 08:13:00+01:00,68.56,68.56,68.56,68.56,0,0,0
2019-12-17 08:35:00+01:00,68.59,68.59,68.59,68.59,0,0,0
2019-12-17 10:35:00+01:00,68.31,68.31,68.31,68.31,0,0,0
2019-12-17 12:13:00+01:00,68.12,68.12,68.12,68.12,0,0,0
2019-12-18 08:14:00+01:00,68.13,68.13,68.13,68.13,0,0,0
2019-12-18 08:35:00+01:00,68.21,68.21,68.21,68.21,0,0,0
2019-12-18 10:36:00+01:00,68.41,68.41,68.41,68.41,0,0,0
2019-12-19 08:10:00+01:00,68.27,68.27,68.27,68.27,0,0,0
2019-12-19 08:13:00+01:00,68.25,68.25,68.25,68.25,0,0,0
2019-12-19 09:07:00+01:00,68.21,68.21,68.21,68.21,0,0,0
2019-12-19 10:37:00+01:00,68.21,68.21,68.21,68.21,0,0,0
2019-12-19 12:12:00+01:00,68.25,68.25,68.25,68.25,0,0,0
2019-12-20 08:10:00+01:00,68.25,68.25,68.25,68.25,0,0,0
2019-12-20 10:37:00+01:00,68.41,68.41,68.41,68.41,0,0,0
2019-12-20 12:12:00+01:00,68.61,68.61,68.61,68.61,0,0,0
2019-12-23 08:09:00+01:00,68.66,68.66,68.66,68.66,0,0,0
2019-12-23 08:35:00+01:00,68.66,68.66,68.66,68.66,0,0,0
2019-12-23 09:07:00+01:00,68.66,68.66,68.66,68.66,0,0,0
2019-12-23 10:34:00+01:00,68.78,68.78,68.78,68.78,0,0,0
2019-12-23 12:13:00+01:00,68.83,68.83,68.83,68.83,0,0,0
2019-12-27 08:09:00+01:00,69.22,69.22,69.22,69.22,0,0,0
2019-12-27 08:46:00+01:00,69.17,69.17,69.17,69.17,0,0,0
2019-12-27 09:07:00+01:00,68.94,68.94,68.94,68.94,0,0,0
2019-12-27 10:35:00+01:00,69.05,69.05,69.05,69.05,0,0,0
2019-12-27 12:12:00+01:00,69.09,69.09,69.09,69.09,0,0,0
2019-12-30 08:05:00+01:00,68.87,68.87,68.87,68.87,0,0,0
2019-12-30 08:13:00+01:00,68.86,68.86,68.86,68.86,0,0,0
2019-12-30 08:35:00+01:00,68.86,68.86,68.86,68.86,0,0,0
2019-12-30 09:08:00+01:00,68.8,68.8,68.8,68.8,0,0,0
2019-12-30 10:36:00+01:00,68.78,68.78,68.78,68.78,0,0,0
2019-12-30 12:13:00+01:00,68.72,68.72,68.72,68.72,0,0,0
2020-01-02 10:13:00+01:00,69.0,69.0,69.0,69.0,0,0,0
2020-01-02 11:12:00+01:00,69.14,69.14,69.14,69.14,0,0,0
2020-01-03 08:20:00+01:00,68.7,68.7,68.7,68.7,0,0,0
2020-01-06 08:20:00+01:00,68.31,68.31,68.31,68.31,0,0,0
2020-01-06 11:11:00+01:00,68.1,68.1,68.1,68.1,0,0,0
