Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:08:00+01:00,24.68,24.68,24.68,24.68,0,0,0
2019-12-16 17:13:00+01:00,24.66,24.66,24.66,24.66,0,0,0
2019-12-16 17:17:00+01:00,24.69,24.69,24.66,24.66,255,0,0
2019-12-16 17:23:00+01:00,24.66,24.66,24.66,24.66,260,0,0
2019-12-16 17:27:00+01:00,24.68,24.68,24.68,24.68,1055,0,0
2019-12-17 09:00:00+01:00,24.55,24.55,24.55,24.55,0,0,0
2019-12-17 09:02:00+01:00,24.47,24.47,24.47,24.47,850,0,0
2019-12-17 09:04:00+01:00,24.5,24.5,24.5,24.5,140,0,0
2019-12-17 09:05:00+01:00,24.5,24.5,24.5,24.5,760,0,0
2019-12-17 09:13:00+01:00,24.5,24.5,24.5,24.5,12720,0,0
2019-12-17 09:14:00+01:00,24.5,24.5,24.5,24.5,800,0,0
2019-12-17 09:23:00+01:00,24.51,24.51,24.51,24.51,0,0,0
2019-12-17 09:28:00+01:00,24.58,24.58,24.58,24.58,90,0,0
2019-12-17 09:31:00+01:00,24.57,24.57,24.57,24.57,420,0,0
2019-12-17 09:45:00+01:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-17 09:49:00+01:00,24.51,24.51,24.51,24.51,510,0,0
2019-12-17 10:14:00+01:00,24.56,24.56,24.56,24.56,2400,0,0
2019-12-17 11:04:00+01:00,24.53,24.53,24.53,24.53,0,0,0
2019-12-17 11:05:00+01:00,24.57,24.57,24.57,24.57,1550,0,0
2019-12-17 11:06:00+01:00,24.53,24.53,24.52,24.52,14133,0,0
2019-12-17 11:08:00+01:00,24.51,24.51,24.51,24.51,0,0,0
2019-12-17 11:09:00+01:00,24.5,24.5,24.5,24.5,190,0,0
2019-12-17 11:30:00+01:00,24.5,24.5,24.5,24.5,155,0,0
2019-12-17 11:35:00+01:00,24.51,24.51,24.51,24.51,140,0,0
2019-12-17 11:45:00+01:00,24.49,24.49,24.49,24.49,4114,0,0
2019-12-17 12:07:00+01:00,24.51,24.51,24.51,24.51,60,0,0
2019-12-17 12:08:00+01:00,24.45,24.45,24.45,24.45,2500,0,0
2019-12-17 12:12:00+01:00,24.47,24.47,24.47,24.47,41374,0,0
2019-12-17 12:27:00+01:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-17 12:29:00+01:00,24.5,24.5,24.5,24.5,160,0,0
2019-12-17 13:02:00+01:00,24.51,24.51,24.51,24.51,20000,0,0
2019-12-17 13:21:00+01:00,24.51,24.51,24.51,24.51,0,0,0
2019-12-17 14:02:00+01:00,24.52,24.52,24.52,24.52,0,0,0
2019-12-17 14:31:00+01:00,24.44,24.44,24.44,24.44,700,0,0
2019-12-17 14:34:00+01:00,24.53,24.53,24.53,24.53,220,0,0
2019-12-17 14:43:00+01:00,24.51,24.51,24.51,24.51,1550,0,0
2019-12-17 14:49:00+01:00,24.52,24.52,24.52,24.52,420,0,0
2019-12-17 15:02:00+01:00,24.5,24.5,24.5,24.5,1230,0,0
2019-12-17 15:17:00+01:00,24.49,24.49,24.49,24.49,2080,0,0
2019-12-17 15:25:00+01:00,24.5,24.5,24.5,24.5,200,0,0
2019-12-17 15:37:00+01:00,24.53,24.53,24.53,24.53,0,0,0
2019-12-17 15:44:00+01:00,24.49,24.49,24.49,24.49,280,0,0
2019-12-17 15:47:00+01:00,24.53,24.53,24.53,24.53,10404,0,0
2019-12-17 15:50:00+01:00,24.5,24.5,24.5,24.5,9800,0,0
2019-12-17 15:55:00+01:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-17 16:05:00+01:00,24.52,24.52,24.52,24.52,440,0,0
2019-12-17 16:09:00+01:00,24.52,24.52,24.52,24.52,177,0,0
2019-12-17 16:14:00+01:00,24.49,24.49,24.49,24.49,800,0,0
2019-12-17 16:23:00+01:00,24.52,24.56,24.52,24.56,1170,0,0
2019-12-17 16:51:00+01:00,24.52,24.52,24.52,24.52,630,0,0
2019-12-17 16:52:00+01:00,24.53,24.53,24.53,24.53,400,0,0
2019-12-17 16:54:00+01:00,24.53,24.53,24.53,24.53,300,0,0
2019-12-17 16:56:00+01:00,24.52,24.52,24.52,24.52,130,0,0
2019-12-17 16:59:00+01:00,24.54,24.54,24.54,24.54,260,0,0
2019-12-17 17:20:00+01:00,24.55,24.55,24.55,24.55,40,0,0
2019-12-18 09:00:00+01:00,24.5,24.5,24.5,24.5,0,0,0
2019-12-18 09:05:00+01:00,24.57,24.57,24.57,24.57,137,0,0
2019-12-18 09:06:00+01:00,24.59,24.59,24.59,24.59,230,0,0
2019-12-18 09:13:00+01:00,24.63,24.63,24.63,24.63,660,0,0
2019-12-18 09:31:00+01:00,24.6,24.6,24.6,24.6,0,0,0
2019-12-18 10:19:00+01:00,24.61,24.61,24.61,24.61,550,0,0
2019-12-18 10:20:00+01:00,24.61,24.61,24.61,24.61,2100,0,0
2019-12-18 10:44:00+01:00,24.59,24.59,24.59,24.59,0,0,0
2019-12-18 10:50:00+01:00,24.61,24.61,24.61,24.61,0,0,0
2019-12-18 10:52:00+01:00,24.62,24.62,24.6,24.6,7000,0,0
2019-12-18 11:10:00+01:00,24.6,24.6,24.6,24.6,0,0,0
2019-12-18 11:25:00+01:00,24.61,24.61,24.61,24.61,780,0,0
2019-12-18 11:38:00+01:00,24.58,24.58,24.58,24.58,0,0,0
2019-12-18 11:40:00+01:00,24.59,24.59,24.59,24.59,290,0,0
2019-12-18 11:41:00+01:00,24.59,24.59,24.59,24.59,290,0,0
2019-12-18 11:46:00+01:00,24.59,24.59,24.59,24.59,500,0,0
2019-12-18 11:52:00+01:00,24.6,24.6,24.6,24.6,950,0,0
2019-12-18 11:56:00+01:00,24.61,24.61,24.61,24.61,3000,0,0
2019-12-18 12:07:00+01:00,24.59,24.59,24.59,24.59,0,0,0
2019-12-18 12:13:00+01:00,24.6,24.6,24.6,24.6,920,0,0
2019-12-18 12:14:00+01:00,24.6,24.6,24.59,24.59,33100,0,0
2019-12-18 12:15:00+01:00,24.58,24.58,24.58,24.58,1000,0,0
2019-12-18 12:26:00+01:00,24.59,24.59,24.59,24.59,100,0,0
2019-12-18 12:39:00+01:00,24.59,24.59,24.59,24.59,1900,0,0
