Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,17.85,17.86,17.85,17.86,0,0,0
2019-12-17 11:02:00-05:00,17.85,17.85,17.85,17.85,2750,0,0
2019-12-17 11:03:00-05:00,17.85,17.85,17.85,17.85,200,0,0
2019-12-17 11:04:00-05:00,17.85,17.85,17.85,17.85,174,0,0
2019-12-17 11:06:00-05:00,17.85,17.85,17.83,17.84,5315,0,0
2019-12-17 11:07:00-05:00,17.84,17.84,17.84,17.84,249,0,0
2019-12-17 11:08:00-05:00,17.83,17.85,17.83,17.85,4237,0,0
2019-12-17 11:09:00-05:00,17.85,17.85,17.85,17.85,725,0,0
2019-12-17 11:10:00-05:00,17.86,17.88,17.86,17.88,4784,0,0
2019-12-17 11:11:00-05:00,17.88,17.88,17.88,17.88,1498,0,0
2019-12-17 11:12:00-05:00,17.88,17.88,17.88,17.88,532,0,0
2019-12-17 11:13:00-05:00,17.88,17.89,17.88,17.89,20210,0,0
2019-12-17 11:14:00-05:00,17.89,17.89,17.89,17.89,100,0,0
2019-12-17 11:15:00-05:00,17.88,17.88,17.87,17.87,2417,0,0
2019-12-17 11:16:00-05:00,17.87,17.88,17.87,17.88,600,0,0
2019-12-17 11:17:00-05:00,17.88,17.89,17.88,17.89,1750,0,0
2019-12-17 11:18:00-05:00,17.89,17.89,17.88,17.88,5946,0,0
2019-12-17 11:19:00-05:00,17.87,17.87,17.86,17.86,4428,0,0
2019-12-17 11:20:00-05:00,17.86,17.87,17.86,17.87,509,0,0
2019-12-17 11:21:00-05:00,17.87,17.88,17.87,17.87,8173,0,0
2019-12-17 11:22:00-05:00,17.87,17.88,17.87,17.87,1310,0,0
2019-12-17 11:23:00-05:00,17.86,17.86,17.86,17.86,4513,0,0
2019-12-17 11:24:00-05:00,17.85,17.85,17.85,17.85,2707,0,0
2019-12-17 11:25:00-05:00,17.85,17.85,17.85,17.85,574,0,0
2019-12-17 11:26:00-05:00,17.86,17.87,17.86,17.87,2275,0,0
2019-12-17 11:27:00-05:00,17.86,17.86,17.86,17.86,2088,0,0
2019-12-17 11:29:00-05:00,17.88,17.88,17.87,17.87,7397,0,0
2019-12-17 11:30:00-05:00,17.87,17.91,17.87,17.89,32150,0,0
2019-12-17 11:31:00-05:00,17.9,17.9,17.9,17.9,2150,0,0
2019-12-17 11:32:00-05:00,17.89,17.89,17.87,17.87,4546,0,0
2019-12-17 11:33:00-05:00,17.87,17.87,17.87,17.87,1846,0,0
2019-12-17 11:34:00-05:00,17.86,17.86,17.85,17.85,1460,0,0
2019-12-17 11:35:00-05:00,17.86,17.86,17.86,17.86,2153,0,0
2019-12-17 11:36:00-05:00,17.85,17.85,17.85,17.85,4600,0,0
2019-12-17 11:37:00-05:00,17.85,17.85,17.85,17.85,1254,0,0
2019-12-17 11:38:00-05:00,17.84,17.84,17.84,17.84,701,0,0
2019-12-17 11:39:00-05:00,17.83,17.83,17.81,17.81,1718,0,0
2019-12-17 11:40:00-05:00,17.81,17.81,17.81,17.81,3787,0,0
2019-12-17 11:41:00-05:00,17.81,17.82,17.81,17.82,718,0,0
2019-12-17 11:42:00-05:00,17.81,17.83,17.81,17.82,3209,0,0
2019-12-17 11:43:00-05:00,17.82,17.83,17.82,17.83,4702,0,0
2019-12-17 11:44:00-05:00,17.82,17.82,17.82,17.82,1100,0,0
2019-12-17 11:45:00-05:00,17.82,17.82,17.79,17.79,18234,0,0
2019-12-17 11:46:00-05:00,17.79,17.8,17.77,17.8,12054,0,0
2019-12-17 11:47:00-05:00,17.79,17.79,17.79,17.79,1220,0,0
