Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 14:00:00-05:00,36.63,36.63,36.63,36.63,0,0,0
2019-12-17 15:55:00-05:00,36.61,36.61,36.61,36.61,0,0,0
2019-12-18 10:08:00-05:00,36.39,36.39,36.39,36.39,102,0,0
2019-12-18 10:17:00-05:00,36.37,36.37,36.37,36.37,1032,0,0
2019-12-18 13:09:00-05:00,36.34,36.34,36.34,36.34,320,0,0
2019-12-18 13:45:00-05:00,36.33,36.33,36.33,36.33,115,0,0
2019-12-18 14:15:00-05:00,36.32,36.32,36.32,36.32,693,0,0
2019-12-18 15:55:00-05:00,36.35,36.35,36.34,36.34,300,0,0
2019-12-19 09:30:00-05:00,36.34,36.34,36.34,36.34,0,0,0
2019-12-19 10:21:00-05:00,36.32,36.32,36.32,36.32,400,0,0
2019-12-19 10:45:00-05:00,36.34,36.34,36.34,36.34,688,0,0
2019-12-19 15:10:00-05:00,36.38,36.38,36.38,36.38,100,0,0
2019-12-19 15:59:00-05:00,36.41,36.41,36.41,36.41,200,0,0
2019-12-20 09:30:00-05:00,36.34,36.34,36.34,36.34,0,0,0
2019-12-20 09:34:00-05:00,36.58,36.58,36.58,36.58,175,0,0
2019-12-20 10:56:00-05:00,36.6,36.6,36.6,36.6,150,0,0
2019-12-20 10:59:00-05:00,36.6,36.6,36.6,36.6,0,0,0
2019-12-20 11:33:00-05:00,36.6,36.6,36.6,36.6,1414,0,0
2019-12-20 12:05:00-05:00,36.6,36.6,36.6,36.6,200,0,0
2019-12-20 13:09:00-05:00,36.6,36.6,36.6,36.6,200,0,0
2019-12-20 14:20:00-05:00,36.58,36.58,36.58,36.58,720,0,0
2019-12-20 14:31:00-05:00,36.55,36.55,36.55,36.55,100,0,0
2019-12-20 15:18:00-05:00,36.55,36.55,36.55,36.55,109,0,0
2019-12-20 15:55:00-05:00,36.53,36.53,36.53,36.53,400,0,0
2019-12-20 15:59:00-05:00,36.49,36.49,36.49,36.49,400,0,0
2019-12-23 09:30:00-05:00,36.37,36.37,36.37,36.37,0,0,0
2019-12-23 09:36:00-05:00,36.53,36.53,36.53,36.53,170,0,0
2019-12-23 13:15:00-05:00,36.52,36.52,36.52,36.52,300,0,0
2019-12-23 13:25:00-05:00,36.52,36.52,36.52,36.52,1700,0,0
2019-12-23 13:26:00-05:00,36.52,36.52,36.52,36.52,700,0,0
2019-12-23 13:34:00-05:00,36.52,36.52,36.52,36.52,800,0,0
2019-12-23 14:10:00-05:00,36.5,36.5,36.5,36.5,208,0,0
2019-12-23 15:26:00-05:00,36.52,36.52,36.52,36.52,102,0,0
2019-12-23 15:55:00-05:00,36.5,36.5,36.5,36.5,200,0,0
2019-12-24 09:30:00-05:00,36.52,36.52,36.52,36.52,0,0,0
2019-12-24 10:55:00-05:00,36.47,36.47,36.47,36.47,155,0,0
