Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 12:18:00-05:00,25.41,25.42,25.38,25.41,0.0,0.0,0
2019-12-16 12:23:00-05:00,25.48,25.48,25.48,25.48,3568.0,0.0,0
2019-12-16 13:03:00-05:00,25.43,25.43,25.43,25.43,300.0,0.0,0
2019-12-16 14:06:00-05:00,25.41,25.41,25.41,25.41,378.0,0.0,0
2019-12-16 14:07:00-05:00,25.42,25.43,25.39,25.42,2376.0,0.0,0
2019-12-16 14:17:00-05:00,25.4,25.43,25.39,25.43,412.0,0.0,0
2019-12-16 14:35:00-05:00,25.39,25.39,25.39,25.39,379.0,0.0,0
2019-12-16 14:44:00-05:00,25.39,25.39,25.39,25.39,969.0,0.0,0
2019-12-16 14:49:00-05:00,25.42,25.42,25.42,25.42,388.0,0.0,0
2019-12-16 14:56:00-05:00,25.48,25.48,25.48,25.48,2300.0,0.0,0
2019-12-16 14:57:00-05:00,25.48,25.48,25.48,25.48,4492.0,0.0,0
2019-12-16 15:38:00-05:00,25.43,25.43,25.43,25.43,5498.0,0.0,0
2019-12-16 15:59:00-05:00,25.36,25.36,25.36,25.36,34092.0,0.0,0
2019-12-17 10:16:00-05:00,25.35,25.35,25.35,25.35,0.0,0.0,0
2019-12-17 10:29:00-05:00,25.35,25.35,25.35,25.35,115.0,0.0,0
2019-12-17 10:33:00-05:00,25.37,25.37,25.37,25.37,1125.0,0.0,0
2019-12-17 10:56:00-05:00,25.35,25.35,25.35,25.35,100.0,0.0,0
2019-12-17 11:11:00-05:00,25.4,25.4,25.4,25.4,1727.0,0.0,0
2019-12-17 11:44:00-05:00,25.33,25.33,25.33,25.33,302.0,0.0,0
2019-12-17 11:48:00-05:00,25.32,25.32,25.32,25.32,100.0,0.0,0
2019-12-17 11:52:00-05:00,25.36,25.36,25.36,25.36,702.0,0.0,0
2019-12-17 12:02:00-05:00,25.38,25.38,25.38,25.38,300.0,0.0,0
2019-12-17 12:12:00-05:00,25.38,25.38,25.38,25.38,420.0,0.0,0
2019-12-17 12:16:00-05:00,25.35,25.35,25.33,25.33,3600.0,0.0,0
2019-12-17 12:19:00-05:00,25.33,25.33,25.32,25.33,4000.0,0.0,0
2019-12-17 12:21:00-05:00,25.36,25.36,25.36,25.36,1800.0,0.0,0
2019-12-17 12:26:00-05:00,25.32,25.33,25.32,25.33,4000.0,0.0,0
2019-12-17 12:30:00-05:00,25.34,25.34,25.34,25.34,2000.0,0.0,0
2019-12-17 12:35:00-05:00,25.31,25.31,25.31,25.31,2000.0,0.0,0
2019-12-17 12:45:00-05:00,25.34,25.35,25.33,25.34,3868.0,0.0,0
2019-12-17 13:22:00-05:00,25.33,25.33,25.33,25.33,1580.0,0.0,0
2019-12-17 13:28:00-05:00,25.38,25.38,25.38,25.38,11933.0,0.0,0
2019-12-17 14:18:00-05:00,25.32,25.32,25.32,25.32,253.0,0.0,0
2019-12-17 14:38:00-05:00,25.33,25.35,25.33,25.35,1105.0,0.0,0
2019-12-17 14:39:00-05:00,25.35,25.35,25.35,25.35,244.0,0.0,0
2019-12-17 14:44:00-05:00,25.38,25.38,25.36,25.37,400.0,0.0,0
2019-12-17 15:06:00-05:00,25.36,25.36,25.36,25.36,100.0,0.0,0
2019-12-17 15:08:00-05:00,25.36,25.36,25.35,25.35,300.0,0.0,0
2019-12-17 15:11:00-05:00,25.35,25.35,25.35,25.35,200.0,0.0,0
2019-12-17 15:30:00-05:00,25.39,25.39,25.39,25.39,2367.0,0.0,0
2019-12-17 15:38:00-05:00,25.37,25.37,25.37,25.37,2415.0,0.0,0
2019-12-17 15:41:00-05:00,25.4,25.4,25.4,25.4,7538.0,0.0,0
2019-12-17 15:45:00-05:00,25.4,25.4,25.4,25.4,427.0,0.0,0
2019-12-17 15:59:00-05:00,25.34,25.34,25.32,25.32,55878.0,0.0,0
2019-12-18 10:05:00-05:00,25.34,25.34,25.34,25.34,0.0,0.0,0
2019-12-18 10:32:00-05:00,25.36,25.36,25.36,25.36,2115.0,0.0,0
